,premise,hypothesis,label
17,well said Stubble  Hate the religion not the person.  Absolutely nothing wrong with hating a religion.  And heck nothing wrong with hating a hateful person.  But even though I hate Islam and other religions I cant think of any muslims I know that I dislike even.  They are individuals not defined in a black and white way by their religion or ancestry.,A religion should be discriminated against.,2
18,A significant proportion of Muslims agree with killing homosexuals Apostates and women who have sex out of wedlock.,A religion promotes violence or intolerance.,2
19,Islamic fundamentalists assassinated innocent Christians and others in Europe see Charlie Hebdo.  A Christian fundamentalist assassinated innocent Muslims at a mosque in Quebec.   One murder is one too many. Protectionist policies are good for now.,A religion promotes violence or intolerance.,2
20,Islamic fundamentalists assassinated innocent Christians and others in Europe see Charlie Hebdo.  A Christian fundamentalist assassinated innocent Muslims at a mosque in Quebec.   One murder is one too many. Protectionist policies are good for now.,Members of a religion should be excluded and marginalized.,2
21,trudeau just put a somali muslim in charge of immigrtion......  guess what?  terrorist attacks come to canada  we are screwed,A religion promotes violence or intolerance.,2
22,trudeau just put a somali muslim in charge of immigrtion......  guess what?  terrorist attacks come to canada  we are screwed,Members of a religion are not trustworthy or loyal.,2
23,As a gay man I am still waiting for Muslims in Canada or the US to admit the Orlando massacre of  50 LGBT people and the shooting of 50 more was inspired by Islamic teachings in the Koran and is preached in mosques in Canada and the US.   I am waiting for Liberals to admit the same.  But the rights of gay men and women  will be disposed of  rather than offend Muslims.,A religion promotes violence or intolerance.,2
24,As a gay man I am still waiting for Muslims in Canada or the US to admit the Orlando massacre of  50 LGBT people and the shooting of 50 more was inspired by Islamic teachings in the Koran and is preached in mosques in Canada and the US.   I am waiting for Liberals to admit the same.  But the rights of gay men and women  will be disposed of  rather than offend Muslims.,A religion is preferred to another.,2
25,Poor people in third world countries are under attack by christians every daymaybe its time you get your head out of the sand and start paying attention...,A religion promotes violence or intolerance.,2
26,Poor people in third world countries are under attack by christians every daymaybe its time you get your head out of the sand and start paying attention...,Members of a religion are a threat.,2
27,Sikhs and Hindues dont proselytize Jews dont Mennonites Amish Quakers dont. Unfortunately theyre the fringe religions. The rest cant stop shoving themselves down your throat.,A religion promotes violence or intolerance.,2
28,The basic documents of islam compel followers to do terrorism as one component of jihad.,A religion promotes violence or intolerance.,2
29,Was Scott Ostrem a Muslim?  They should deport his family and execute him.,The use of violence is encouraged or desired against a religion.,2
30,Maybe it would be better if muslims stayed in muslim countrys?  Not sure why muslims believe they can go to western countries then teach their kids to commit terrorist acts against those same western countries.,Members of a religion should be excluded and marginalized.,2
31,Maybe it would be better if muslims stayed in muslim countrys?  Not sure why muslims believe they can go to western countries then teach their kids to commit terrorist acts against those same western countries.,Members of a religion should remain in their respective countries.,2
32,Maybe it would be better if muslims stayed in muslim countrys?  Not sure why muslims believe they can go to western countries then teach their kids to commit terrorist acts against those same western countries.,The integration of a religion should be avoided in a country or society.,2
33,Wearing swastikas making zeig heil salutes shouting blood and soil and Jews will not replace us and championing an ideology that executed millions of civilians is a more accurate definition of fascism. Unless of course youre a Nazi apologist...,A religion promotes violence or intolerance.,2
34,Islam is a laugh riot. Nothing makes me chuckle more than totalitarian supremacists lecturing on about how to combat hate.,A religion promotes violence or intolerance.,2
35,Sigh what a pathetic piece yet again. Muslims cause trouble in every country in the world. Can we talk about why muslims are even being brought into Canada? SHould we not impose a duty to integrate ? No instead we try to muzzle those to point out that Islamic rage and Shariah should not be tolerated. Incidentally most canadians muslims are in full agreement with beheading homosexuals. Should we talk about that ? Oops I guess I was just a little Islamophobic there... I hope I dont get a fine...,Members of a religion are a threat.,2
36,Sigh what a pathetic piece yet again. Muslims cause trouble in every country in the world. Can we talk about why muslims are even being brought into Canada? SHould we not impose a duty to integrate ? No instead we try to muzzle those to point out that Islamic rage and Shariah should not be tolerated. Incidentally most canadians muslims are in full agreement with beheading homosexuals. Should we talk about that ? Oops I guess I was just a little Islamophobic there... I hope I dont get a fine...,Members of a religion should be excluded and marginalized.,2
37,Sigh what a pathetic piece yet again. Muslims cause trouble in every country in the world. Can we talk about why muslims are even being brought into Canada? SHould we not impose a duty to integrate ? No instead we try to muzzle those to point out that Islamic rage and Shariah should not be tolerated. Incidentally most canadians muslims are in full agreement with beheading homosexuals. Should we talk about that ? Oops I guess I was just a little Islamophobic there... I hope I dont get a fine...,A religion promotes violence or intolerance.,2
38,We need to be vigilant and look out for radical islamic terrorism the forced marriages the forced genital mutilation the misogamy and if you are gay watch out as you will be thrown off a building.,A religion promotes violence or intolerance.,2
39,Its about time. The rest of us have been fearing for our safety since Muslim terrorism reared its ugly head.,Members of a religion are a threat.,2
40,Forget Gods promises. The defeat of Arab armies in their quest of eliminating Jews and Israel from the region adequately justifies ownership of land.,The use of violence is encouraged or desired against a religion.,2
41,Motve: he was an outspoken athiest who hated Christians.,Members of a religion are a threat.,2
42,All religions  are dangerous fictions but Islam has been leading the pack lately. 72 dead in Afghanistan the other day for example.,Members of a religion are a threat.,2
43,All religions  are dangerous fictions but Islam has been leading the pack lately. 72 dead in Afghanistan the other day for example.,A religion promotes violence or intolerance.,2
44,Homosexuality in Islam is punishable by death.  So is being an infidel.,A religion promotes violence or intolerance.,2
45,I forgot. Only Muslims and immigrants are responsible for all wrongdoing by any other member of their demographic....,Members of a religion are a threat.,2
46,I forgot. Only Muslims and immigrants are responsible for all wrongdoing by any other member of their demographic....,Members of a religion should be excluded and marginalized.,2
47,Cant remember the last time someone walked into a Christian church in Canada and opened fire. Or a Christian follower being harassed as they walked down the street. The reason the Canadian Muslim population garners such attention is because they are a target of hate and discrimination.,A religion promotes violence or intolerance.,2
48,The Black Panthers and the KKK are not remotely comparable. Setting up lunch programs in the ghettos and burning cross and hanging people by their necks are not similar activities. Your historical knowledge is skewed because you are likely a racist too Mr. Loewy. If youre so worried about terrorism stop looking at Muslims and start looking at crazy white Republicans like Robert Lewis Dear Jr. and other white Christian terrorists.,A religion promotes violence or intolerance.,2
49,The Black Panthers and the KKK are not remotely comparable. Setting up lunch programs in the ghettos and burning cross and hanging people by their necks are not similar activities. Your historical knowledge is skewed because you are likely a racist too Mr. Loewy. If youre so worried about terrorism stop looking at Muslims and start looking at crazy white Republicans like Robert Lewis Dear Jr. and other white Christian terrorists.,Members of a religion are a threat.,2
50,I find Saudi to hold the no.1 spot on creating islamic terrorists.,A religion promotes violence or intolerance.,2
51,. Religious NUTS should and need to be discriminated against.  If your an adult and you believe in a Fairy Tale you should seek treatment.   Enough of adults and this God crap.,A religion should be discriminated against.,2
52,Except with Islam where women are treated like property and beat and stoned and whatever.,A religion promotes violence or intolerance.,2
53,I think we can safely assume that the suspects are radical Islamic terrorists.,A religion promotes violence or intolerance.,2
54,I think we can safely assume that the suspects are radical Islamic terrorists.,Members of a religion are a threat.,2
55,Im all for Sharia law. Finally women will have to shut the hell up. I want to have multiple wives by which all I need to get one is trade a donkey. Trudeau bringing in all this scum from the middle east will be his downfall I say bring it. Its only going to cause violence and then the whole world will see how weak and stupid Canadians really are. Enjoy being the next Sweden. Im moving to USA.,A religion promotes violence or intolerance.,2
56,Philosophically Islam and The Third Reich are very much akin: both want to exterminate Jews homosexuals and all who disagree with them women are little more than baby factories and they want to take over the world. They are the same to me but one is considered a force for good for humanity and the other is not.,A religion promotes violence or intolerance.,2
57,Not possible with all the bloodthirsty leftists and Islamists out there.,A religion promotes violence or intolerance.,2
58,...  Why arent the Congolese blowing stuff in Belgium? Why Muslims?  Why are Muslim blowing stuff in Germany? . Colonialism  the go to quick and ready response to the Elephant in the room.,A religion promotes violence or intolerance.,2
59,Yrs Ben Shapiro is a white supremacist.  You people do know he and his family are Orthodox Jews.  Ignorant people,A religion or members of a religion are stupid.,2
60,What a disgusting headline Globe  Britishborn man when the man is a damn muslim and his name is Abu Izzadeen.  But you go with Britishborn man You ARE the problem and there is blood on YOUR damn hands Other media even went with of Asian heritage because they too know DAMN well what the truth is,Members of a religion should be excluded and marginalized.,2
61,It is not the vehicle but the Muslim at the wheel we have to watch out for.,Members of a religion are a threat.,2
62,When are we going to cease permitting Muslim apologists to use the no true Scotsman fallacy and say unequivocally that Islam is the problem?,Members of a religion are a threat.,2
63,OH yes  Were those evil Christian Missionaries many of whom were slaughtered by the Indians or lost their lives due to disease starvation etc. lumped in with those genocidists you mention ? yes I did make up a word just as you make up stories.,A religion promotes violence or intolerance.,2
64,So if this is accurate which I doubt extremists Muslims attack and kill Britons in Britain and there is a backlash against extremist Muslims by Britons in Britain.  Go figure.,A religion promotes violence or intolerance.,2
65,You cant name a single Christianity inspired terrorist attack. If mass shootings are tied to religion that religion is Islam.,A religion promotes violence or intolerance.,2
66,if this overhaul means getting rid of the muslim brotherhood in the white house then I am all for it,Members of a religion should be excluded and marginalized.,2
67,Some post Christian rubbish.,A religion or members of a religion are stupid.,2
68,Minshall supports marriage of 12 year old girls to Muslim men multiple wives for Muslim men and sexual mutilation of girls whether Muslim or not.  Just go read his prior comments.,A religion promotes violence or intolerance.,2
69,No. Its that not all immigrants are terrorists just like not all citizens are. If you want to ban all Muslimsand you doyou need to ban all citizens. I think all Republicans should be banned. Bad for America big league.,Members of a religion should be excluded and marginalized.,2
70,Lets hope she does not create more terrorist breeding grounds. Bush. Obama and Hilary really gave a boost to the spread of Islam which is pretty stupid.,A religion promotes violence or intolerance.,2
71,Lets hope she does not create more terrorist breeding grounds. Bush. Obama and Hilary really gave a boost to the spread of Islam which is pretty stupid.,Members of a religion are a threat.,2
72,Maybe they should pray for their pedophile Catholic priests to stop sexually molesting innocent little boys.,Members of a religion are a threat.,2
73,Maybe they should pray for their pedophile Catholic priests to stop sexually molesting innocent little boys.,A religion promotes violence or intolerance.,2
74,Muslim terrorists.  Clear enough for you?  Take you head out of your ass before its too late.,A religion promotes violence or intolerance.,2
75,Catholic immigrants massacred huge numbers of indigenous populations millions in fact.  Does that count or does it have to be Americans of white descent to count?,A religion promotes violence or intolerance.,2
76,Typical fake news Allie. Last two major recent terrorist attacks in the US were by Muslim sleepers. San Bernadino mass killing and the Orlando mass killing. And dont even get me started on their recent attacks in the EU because their stupid politicians were too PC to ban them. Go ask the average woman in Germany what they think about their new refugees as now German women are being raped daily by Muslims. Google it hon,A religion promotes violence or intolerance.,2
77,Typical fake news Allie. Last two major recent terrorist attacks in the US were by Muslim sleepers. San Bernadino mass killing and the Orlando mass killing. And dont even get me started on their recent attacks in the EU because their stupid politicians were too PC to ban them. Go ask the average woman in Germany what they think about their new refugees as now German women are being raped daily by Muslims. Google it hon,Members of a religion should be excluded and marginalized.,2
78,Islam has been at war with the nonislamic world for 1400 years islam has been conquering murdering and suppressing for 1400 years Islam teaches dishonesty violence murder and sedition. Islam destroys all others religious symbols and statues. Islam is NOT a religion.   Islam is a SEDITIOUS IDEOLOGY  And remember the teachings of mohammed SMITE THE NECK OF THE NON BELIEVER,A religion promotes violence or intolerance.,2
79,Islam has been at war with the nonislamic world for 1400 years islam has been conquering murdering and suppressing for 1400 years Islam teaches dishonesty violence murder and sedition. Islam destroys all others religious symbols and statues. Islam is NOT a religion.   Islam is a SEDITIOUS IDEOLOGY  And remember the teachings of mohammed SMITE THE NECK OF THE NON BELIEVER,Members of a religion are a threat.,2
80,Yes but like the Christian refugees who cant even get into the camps because theyre fearful of being killed by Muslim refugees.,A religion promotes violence or intolerance.,2
81,Yes but like the Christian refugees who cant even get into the camps because theyre fearful of being killed by Muslim refugees.,Members of a religion are a threat.,2
82,personally Im sick and tired of having to accommodate the muslims in schools in the workplace etc  now in death,Members of a religion should be excluded and marginalized.,2
83,personally Im sick and tired of having to accommodate the muslims in schools in the workplace etc  now in death,The integration of a religion should be avoided in a country or society.,2
84,Islam unfortunately is a violent cult.,A religion promotes violence or intolerance.,2
85,Shouldnt the title read Muslim extremist wrecks havoc on innocent students?,A religion promotes violence or intolerance.,2
86,Some day atheists will provide evidence that their nogod doesnt exist. Until then it just seems like another mentally ill club with insane premises to me.,A religion or members of a religion are stupid.,2
87,Muslims are killing Muslims.  Their war has been ongoing for over 1400 years.  Why is the west getting involved?  Let them kill each other if that is what they want to do.  After all neither side is suing for peace.,A religion promotes violence or intolerance.,2
88,Muslims are killing Muslims.  Their war has been ongoing for over 1400 years.  Why is the west getting involved?  Let them kill each other if that is what they want to do.  After all neither side is suing for peace.,The use of violence is encouraged or desired against a religion.,2
89,I guess race is irrelevant when a black cops shoots a white woman. Mohammed is the real victim here is what well be reading tomorrow.,A religion is preferred to another.,2
90,Catholicism certainly. They were expert terrorists.,A religion promotes violence or intolerance.,2
91,Catholicism certainly. They were expert terrorists.,Members of a religion are a threat.,2
92,Muslim jihadists organized to attack bomb kill and injure many innocent civilians in Manchester England.  For decades Muslim Islamic jihadists have been attacking killing and injuring many innocent civilians in many countries around the world including in countries that arent even fighting against Muslims in the Middle East.  So why are Muslim followers of Islam attacking killing and maiming innocent civilians in many countries around the world? What is influencing inspiring and driving them? What is their goal? What are the Muslim extremists trying to accomplish?  Does it have something to with the religion of Islam the hadiths and the verses in the Quran Muslims are obliged to follow?,A religion promotes violence or intolerance.,2
93,Muslim jihadists organized to attack bomb kill and injure many innocent civilians in Manchester England.  For decades Muslim Islamic jihadists have been attacking killing and injuring many innocent civilians in many countries around the world including in countries that arent even fighting against Muslims in the Middle East.  So why are Muslim followers of Islam attacking killing and maiming innocent civilians in many countries around the world? What is influencing inspiring and driving them? What is their goal? What are the Muslim extremists trying to accomplish?  Does it have something to with the religion of Islam the hadiths and the verses in the Quran Muslims are obliged to follow?,Members of a religion are a threat.,2
94,Sure shows you to be the bigoted a.. then.  Insulting Jews who have absolutely nothing to do with this article or conversation when in fact the prolife antiabortion hypocrites call themselves Christian.  Clearly you are antiSemitic too. And  You are tired of dogma?  I am tired of scum bags.,A religion promotes violence or intolerance.,2
95,Well sometimes the institutional Church deserves to be ridiculed. Especially when it preaches one thing and then does the opposite.,A religion or members of a religion are stupid.,2
96,What does the Churchs TEACHING authority have to do with pedophilia? The sex abuse problem has nothing to do with clerical control other than the lavender mafia admitting far too many homosexuals into seminary.,Members of a religion are a threat.,2
97,OK socalled Last Patriot what about Catholic priests that hide behind their collar as theyre raping children and they just get moved from parish to parish.  Isnt this the height of hypocrisy?  And what about the Catholic gay or lesbian church member.  Dont they have rights too?  This issue will wind back up in the US Supreme Court where it needs to be.,Members of a religion are a threat.,2
98,You are joking right? Historically Christianity has been far more oppressive and done far more damage. And today the Buddhists in Myanmar are showing that even that religion can house violent thugs. If you actually look at the daily media space you see far more of it taken up by Christian issues like homophobia right to choice etc. You are blind to your own biases.,A religion promotes violence or intolerance.,2
99,You are joking right? Historically Christianity has been far more oppressive and done far more damage. And today the Buddhists in Myanmar are showing that even that religion can house violent thugs. If you actually look at the daily media space you see far more of it taken up by Christian issues like homophobia right to choice etc. You are blind to your own biases.,Members of a religion are a threat.,2
100,LOL it is more alarming that the current administration is refusing to acknowledge that white nationalist extremists are a major domestic terrorist threat.  What a joke.  Crazy Muslims way more of a problem world wide to boot.,A religion promotes violence or intolerance.,2
101,LOL it is more alarming that the current administration is refusing to acknowledge that white nationalist extremists are a major domestic terrorist threat.  What a joke.  Crazy Muslims way more of a problem world wide to boot.,Members of a religion are a threat.,2
102,Over and over in the Muslim bible it tells them to kill all people who will not convert. This is not islamophobia people. This is the right to life I have a right to live knowing if one of their people will kill me as I am a Christian. A Muslim student in the school I work at was screaming Ill kill all Christian s. So tell us again why we shouldnt be afraid??? Please? Tell me???,A religion promotes violence or intolerance.,2
103,Over and over in the Muslim bible it tells them to kill all people who will not convert. This is not islamophobia people. This is the right to life I have a right to live knowing if one of their people will kill me as I am a Christian. A Muslim student in the school I work at was screaming Ill kill all Christian s. So tell us again why we shouldnt be afraid??? Please? Tell me???,Members of a religion are a threat.,2
104,... all you christians are super fake.  praying at the alters of greed and war ... SICK.,A religion promotes violence or intolerance.,2
105,There are bad people in ALL religions look at this weeks arrest of a longtime teacher child  molester at a Bellevue WA Christian school the Warren Jeffs who have sex with 1112 year old wives in the name of religion and the multitude of Catholic priests who molest and rape boys.,Members of a religion are a threat.,2
106,How come the same people who say we must keep Muslims from entering this country every time a Muslim kills someone arent screaming that we should keep white men out of this country every time one of them kills a bunch of people?,A religion promotes violence or intolerance.,2
107,How come the same people who say we must keep Muslims from entering this country every time a Muslim kills someone arent screaming that we should keep white men out of this country every time one of them kills a bunch of people?,Members of a religion should be excluded and marginalized.,2
108,Which is why Christians like having sex with 13 year olds right? I mean that is how your good lord intended it right?,Members of a religion are not trustworthy or loyal.,2
109,Which is why Christians like having sex with 13 year olds right? I mean that is how your good lord intended it right?,A religion promotes violence or intolerance.,2
110,To all of you women marching against Trump I have a question for you.  What about the killing of Muslim women by a horrible patriarchal middle eastern religion and society??? Women and girls are rocked tortured mutilated raped and burnt.  And you are protesting against TRUMP  WTF IS YOUR PROBLEM  Why arent you rioting for Muslim women?  If you are so concerned which we know you are not why arent you rioting for them?  Again  What have you done to save Muslim women from death by Husband or men? The real question is  Why dont you focus on more important things like saving Muslim womens lives Or maybe the idea doesnt fit on your Facebook page with your Madonna selfie.  In truth you women are the phonies  not Trump You are pathetic micro minority of women You do not represent women  you represent the jobs you and your husbands will lose under Trump. Thank god we are rid of you. To think we lived under your tyranny this long.,A religion promotes violence or intolerance.,2
111,To all of you women marching against Trump I have a question for you.  What about the killing of Muslim women by a horrible patriarchal middle eastern religion and society??? Women and girls are rocked tortured mutilated raped and burnt.  And you are protesting against TRUMP  WTF IS YOUR PROBLEM  Why arent you rioting for Muslim women?  If you are so concerned which we know you are not why arent you rioting for them?  Again  What have you done to save Muslim women from death by Husband or men? The real question is  Why dont you focus on more important things like saving Muslim womens lives Or maybe the idea doesnt fit on your Facebook page with your Madonna selfie.  In truth you women are the phonies  not Trump You are pathetic micro minority of women You do not represent women  you represent the jobs you and your husbands will lose under Trump. Thank god we are rid of you. To think we lived under your tyranny this long.,Members of a religion are a threat.,2
112,Because of Obama we have Trump  Trump rocks  He actually cares about America.  The Kenyan did not  The halfblack bastard is gone...thank God  Or is it Allah in his case?,Members of a religion should be excluded and marginalized.,2
113,i would like to add that islam xianity and judaism are all goopy junk as well and  bring consequences far more serious than glitter on private parts.,A religion or members of a religion are stupid.,2
114,More love from the religion of peace? Islam doesnt seem to be so much a religion as an invading army.,A religion promotes violence or intolerance.,2
115,More love from the religion of peace? Islam doesnt seem to be so much a religion as an invading army.,Members of a religion are a threat.,2
116,No adam and eve never existed.  Simple DNA analysis establishes the human race is not descended from two ancestors.  The old testament is not a factual story.  The church does not claim it to be.  Jesus wasnt born because some mythical man ate some fantastic fruit.,A religion or members of a religion are stupid.,2
117,Yet these same groups look the other way when islam teaches it is O.K. to beat women to rape women for not dressing properly and allows the raping of non Islamic women  The hypocrisy is staggering,A religion promotes violence or intolerance.,2
118,And when over 80 of evangelicals vote for tRump they show their stupidity.,A religion or members of a religion are stupid.,2
119,I can say Orthodox Jews  I can also say Sharia law burka honor killings Assad soldiers raping women Isis raping women,A religion promotes violence or intolerance.,2
120,The world would be at peace with out islam.,A religion promotes violence or intolerance.,2
121,The world would be at peace with out islam.,Members of a religion are a threat.,2
122,Yet another Muslim created disaster the west will be blamed for and expected to cure.,A religion promotes violence or intolerance.,2
123,The judge is for muslims because they will provide federal money the state damn the consequences. They the muslims his buddies relocate to Franceor England. I hear they are very well behaved till they reach a certain percentage. Then they want to change the host country back to the hell hole they came from.,Members of a religion are a threat.,2
124,Muslims do not accept the Western civilization in principlethey will turn the West into outhouse the way they did with their own countries they came from.,A religion promotes violence or intolerance.,2
125,Can we say Islam is bad? Islam is threat to Canada? Its illegal to say such thing?   Can we discuss this topic:    if Muslim becomes majority in Canada or even 20 What kind of Canada will become?,Members of a religion are a threat.,2
126,The U.S armed Islamic psychopaths in Afghanistan during the 80s to fight Russia.  The U.S arms Islamic psychopaths in Syria during this war to fight Russia.  Nothing much has changed....,A religion promotes violence or intolerance.,2
127,According to the BBC he ranted that Muslims must die because theyve been killing Christians for years. Will this get called a terrorist attack?,A religion promotes violence or intolerance.,2
128,It is possible to condemn the homophobia of TMOA and other Muslim organizations without insinuating that they or individual members are terrorists.,A religion promotes violence or intolerance.,2
129,Build the northern wall firstPresidentelect Trump. We have our own little potato red book waver and commie lover here you dont want crossing your borders Got room for a few hundred thousand Muslims we didnt ask or vote for ??? lol,Members of a religion should remain in their respective countries.,2
130,Build the northern wall firstPresidentelect Trump. We have our own little potato red book waver and commie lover here you dont want crossing your borders Got room for a few hundred thousand Muslims we didnt ask or vote for ??? lol,Members of a religion should be excluded and marginalized.,2
131,Sorry Alexandea any group that denies science and wants to trample over the constitutions freedom of religion for all religions is wrong. There are many beliefs in evangelicals faith as well as Catholics faith that are plain stupid,A religion or members of a religion are stupid.,2
132,Hahahahaha. Issuing a call to arms to muslims when the citizens of the US are armed to the teeth.,A religion promotes violence or intolerance.,2
133,Hahahahaha. Issuing a call to arms to muslims when the citizens of the US are armed to the teeth.,Members of a religion are a threat.,2
134,The worst hate mongering  apartheid countries  are Muslim.,A religion promotes violence or intolerance.,2
135,Islam  murder violence and terror:   URL premiercouillardinchangeoftonetiesmichiganattacktoislamarticle35441387,A religion promotes violence or intolerance.,2
136,Islam  murder violence and terror:   URL premiercouillardinchangeoftonetiesmichiganattacktoislamarticle35441387,Members of a religion are a threat.,2
137,What about the cult of Islam... ?? They only kill well everyone. Yet Christians are your problem.,A religion promotes violence or intolerance.,2
138,What about the cult of Islam... ?? They only kill well everyone. Yet Christians are your problem.,Members of a religion are a threat.,2
139,It is not a ban on Muslims. It is a ban on 7 of the most troubled terrorist nations on earth.,A religion promotes violence or intolerance.,2
140,It is not a ban on Muslims. It is a ban on 7 of the most troubled terrorist nations on earth.,Members of a religion should be excluded and marginalized.,2
141,I find that quietly living a life in Christ is much more effective than proselytizing. I think many Christians are missing that and come off as HUGE hypocrites with the affect that other people are turned off. I am also reminded of Jesus admonition to not be a zealot. Zealotry is just as bad as any other sin and anyone of any faith including atheists need to be careful of their zealotry.,Members of a religion are a threat.,2
142,The vast majority of reporters are clueless about religion in general but their sheer stupidity in regards to Islam has no equal.,A religion or members of a religion are stupid.,2
143,No no no    Havent you been keeping up?  Trump is now confirming that manmade climate change is a fact.  Its being caused by radical Islamic terrorists.,A religion promotes violence or intolerance.,2
144,Investigators worked through the night to determine what led a truck driver to plow down people on a riverfront bike path near the World Trade Center brandishing air guns and yelling God is great in Arabic  Gee it is POSSIBLE that his actions had SOMETHING to do with his membership in the death cult called islam.....,A religion promotes violence or intolerance.,2
145,Investigators worked through the night to determine what led a truck driver to plow down people on a riverfront bike path near the World Trade Center brandishing air guns and yelling God is great in Arabic  Gee it is POSSIBLE that his actions had SOMETHING to do with his membership in the death cult called islam.....,Members of a religion are a threat.,2
146,Obamma the muslim slime ball was the one to worry about,Members of a religion are a threat.,2
147,Obamma the muslim slime ball was the one to worry about,Members of a religion are not trustworthy or loyal.,2
148,Muslim?  Why not Christian?  Or puppy? . Now change Muslim to terrorist and youll get a similar response to Nazi.,A religion promotes violence or intolerance.,2
149,We are gonna send all the Muslims you can handle.  That should shut you up you globalist dick,Members of a religion should be excluded and marginalized.,2
150,SNAP neither confirms nor denies accusations. The do however give victims a voice.  Odd why dont priests stand up alongside the victims? Its a brotherhood thats why.  And those abused and denied a childhood and adulthood are denied by the catholic churchs lobby efforts again horrid,A religion promotes violence or intolerance.,2
151,You do realize that Iran and Russia are allies right?.... and that ISIS is Sunni muslim and one of its top goals is to eradicate Shia muslims which the ruling group in Iran? ISIS and Iran are sworn enemies.   Educate yourself,A religion promotes violence or intolerance.,2
152,And also how many of the so called Christians are also white racists.,A religion promotes violence or intolerance.,2
153,weak rubber like stuff like this will not stop these maniacs... Trump is correct Islam is a religion of hate.. we need to do something structural as Trump is suggesting.,A religion promotes violence or intolerance.,2
154,IT IS ISLAM.  This murdering cult has been doing it for centuries.   ALL those who are allowed to immigration to America  follow Sharia law ALL of them.,A religion promotes violence or intolerance.,2
155,IT IS ISLAM.  This murdering cult has been doing it for centuries.   ALL those who are allowed to immigration to America  follow Sharia law ALL of them.,A religion should be discriminated against.,2
156,IT IS ISLAM.  This murdering cult has been doing it for centuries.   ALL those who are allowed to immigration to America  follow Sharia law ALL of them.,Members of a religion should be excluded and marginalized.,2
157,Yes. There is only one religion that will kill you if you are not them. Radicalized extremist Islamists who have quite the Head Count no pun intended on mass murders of innocent nonIslamic people.      URL ,A religion promotes violence or intolerance.,2
158,Yes. There is only one religion that will kill you if you are not them. Radicalized extremist Islamists who have quite the Head Count no pun intended on mass murders of innocent nonIslamic people.      URL ,Members of a religion are a threat.,2
159,Islam frightens me when I think of my daughters future in an islamized Canada.  This is not an irrational fear not a phobia when you look at whats happening in the world today.,Members of a religion are a threat.,2
160,15 year old kids especially Muslims know exactly what they are doing they know what blood tastes like and are in no way innocent. That young Muslim man  deserves incarceration and the punishment that is owed to him.   When resources in this world become scarce and but one piece of bread is left on the table the Muslim man will slit your throat to have it but the Christian man will make sure that the piece is shared amongst us all.,A religion promotes violence or intolerance.,2
161,First: M103 was first proposed in Dec 2016 prior to the shootings in Quebec.  Second: All Canadians are no more responsible for the  tragic shooting in Quebec by a deranged lone wolf than moderate muslims are responsible for the acts of ISIS.,A religion promotes violence or intolerance.,2
162,So let me get this right.  It will be still OK for me to slag Catholics Jews Hindus and Seventhday Adventists  but Islam  is right out.,A religion should be discriminated against.,2
163,Dylann Roof is an obviously insane mentally retarded person that the MSM is pushing as The one that speaks for all White Americans while this is just another in a long line of Muslim attacks on America.,A religion or members of a religion are stupid.,2
164,Dylann Roof is an obviously insane mentally retarded person that the MSM is pushing as The one that speaks for all White Americans while this is just another in a long line of Muslim attacks on America.,A religion promotes violence or intolerance.,2
165,Burka and Niquab is not religious practice. It is not part of Islam. It is part of Arabic culture which is violation of women right. Only poor and uneducated Muslim people are being manipulated by radical Mullah and Imam.,A religion promotes violence or intolerance.,2
