premise,hypothesis,label
LW1. Im 30 and I dont drink do drugs or fall for the feminist crap that modern women are a part of. I also dont appreciate that you put all young women in this nutty modern woman category.,Members of a political group are violent.,1.0
LW1. Im 30 and I dont drink do drugs or fall for the feminist crap that modern women are a part of. I also dont appreciate that you put all young women in this nutty modern woman category.,Members of a political group hate their country or race.,1.0
Thats like saying the conservatives and GOP have endlessly supported racism and bigotry for the last four decades but suddenly want everyone to tolerate and embrace white supremacist. See how ridiculous that sounds.,Members of a political group are racist.,0.0
Thats like saying the conservatives and GOP have endlessly supported racism and bigotry for the last four decades but suddenly want everyone to tolerate and embrace white supremacist. See how ridiculous that sounds.,A person belonging to a political group is crazy.,0.0
Thats like saying the conservatives and GOP have endlessly supported racism and bigotry for the last four decades but suddenly want everyone to tolerate and embrace white supremacist. See how ridiculous that sounds.,Members of a political group are hateful.,1.0
Thats like saying the conservatives and GOP have endlessly supported racism and bigotry for the last four decades but suddenly want everyone to tolerate and embrace white supremacist. See how ridiculous that sounds.,Things are worse due to a political group.,1.0
Agreed on most points but...  Really I want liberals and progressives to murder their babies. I dont think they should have any children. They are diseased. They shouldnt be allowed anywhere near children.,A person belonging to a political group has a disease.,0.0
Agreed on most points but...  Really I want liberals and progressives to murder their babies. I dont think they should have any children. They are diseased. They shouldnt be allowed anywhere near children.,Members of a political group are violent.,0.0
Agreed on most points but...  Really I want liberals and progressives to murder their babies. I dont think they should have any children. They are diseased. They shouldnt be allowed anywhere near children.,Members of a political group commit crimes.,0.0
Agreed on most points but...  Really I want liberals and progressives to murder their babies. I dont think they should have any children. They are diseased. They shouldnt be allowed anywhere near children.,Things are worse due to a political group.,1.0
When you lay down with dogs you wake up with fleas the old saying says.  This rightwing absolutist Christian would have little appeal to thinking people.  But American isAmerica.,A person belonging to a political group is stupid.,0.0
When you lay down with dogs you wake up with fleas the old saying says.  This rightwing absolutist Christian would have little appeal to thinking people.  But American isAmerica.,Things are worse due to a political group.,1.0
When you lay down with dogs you wake up with fleas the old saying says.  This rightwing absolutist Christian would have little appeal to thinking people.  But American isAmerica.,Members of a political group commit crimes.,1.0
When you lay down with dogs you wake up with fleas the old saying says.  This rightwing absolutist Christian would have little appeal to thinking people.  But American isAmerica.,Members of a political group hate their country or race.,1.0
Its official. Canadians have been driven to mental illness.,A person belonging to a political group has a disease.,0.0
Its official. Canadians have been driven to mental illness.,Members of a political group are taking control.,1.0
Its official. Canadians have been driven to mental illness.,Members of a political group prefer minorities.,1.0
Its official. Canadians have been driven to mental illness.,Members of a political group are compared to Nazis.,1.0
Any suggestions or are you blowing smoke. You and all your liberal retards are all the same.,A person belonging to a political group is stupid.,0.0
Any suggestions or are you blowing smoke. You and all your liberal retards are all the same.,A person belonging to a political group has a disease.,0.0
Any suggestions or are you blowing smoke. You and all your liberal retards are all the same.,Members of a political group are hateful.,1.0
Any suggestions or are you blowing smoke. You and all your liberal retards are all the same.,Members of a political group are taking control.,1.0
The reality is that nazis neonazis white supremacists are nothing but scum.  The confederate traitors lost get over it.,Members of a political group are compared to Nazis.,0.0
The reality is that nazis neonazis white supremacists are nothing but scum.  The confederate traitors lost get over it.,Members of a political group are racist.,0.0
The reality is that nazis neonazis white supremacists are nothing but scum.  The confederate traitors lost get over it.,Members of a political group prefer minorities.,1.0
The reality is that nazis neonazis white supremacists are nothing but scum.  The confederate traitors lost get over it.,Members of a political group are violent.,1.0
Yep black people. That is why they are uspet. Am y of those weirdoes gaslight the protesters saying thst what they feel and protest are not real. It is what abusive people do to keep their significant others close.  I shade conservative but I have zero problem with protest.  I wonder why these red blooded Americans support Trump who hates veterans and war heroes and is a draft dodger and a coward. I guess they are hypocrites and hopelessly stupid.,A person belonging to a political group is stupid.,0.0
Yep black people. That is why they are uspet. Am y of those weirdoes gaslight the protesters saying thst what they feel and protest are not real. It is what abusive people do to keep their significant others close.  I shade conservative but I have zero problem with protest.  I wonder why these red blooded Americans support Trump who hates veterans and war heroes and is a draft dodger and a coward. I guess they are hypocrites and hopelessly stupid.,Members of a political group are hypocritical.,0.0
Yep black people. That is why they are uspet. Am y of those weirdoes gaslight the protesters saying thst what they feel and protest are not real. It is what abusive people do to keep their significant others close.  I shade conservative but I have zero problem with protest.  I wonder why these red blooded Americans support Trump who hates veterans and war heroes and is a draft dodger and a coward. I guess they are hypocrites and hopelessly stupid.,A person belonging to a political group has a disease.,0.0
Yep black people. That is why they are uspet. Am y of those weirdoes gaslight the protesters saying thst what they feel and protest are not real. It is what abusive people do to keep their significant others close.  I shade conservative but I have zero problem with protest.  I wonder why these red blooded Americans support Trump who hates veterans and war heroes and is a draft dodger and a coward. I guess they are hypocrites and hopelessly stupid.,Members of a political group are compared to Nazis.,1.0
There was a time when the Democrats appealed to the racists by opposing integration today these Democrats appeal to the racists by killing blackbrown babies truly disgusting.,Members of a political group hate their country or race.,0.0
There was a time when the Democrats appealed to the racists by opposing integration today these Democrats appeal to the racists by killing blackbrown babies truly disgusting.,Members of a political group are violent.,0.0
There was a time when the Democrats appealed to the racists by opposing integration today these Democrats appeal to the racists by killing blackbrown babies truly disgusting.,Members of a political group commit crimes.,0.0
There was a time when the Democrats appealed to the racists by opposing integration today these Democrats appeal to the racists by killing blackbrown babies truly disgusting.,Members of a political group are racist.,0.0
There is no group in this country more opportunistic and more hypocritical than the leadership of the rightwing Evangelical movement. These are the people who with straight faces endorsed Donald Trump for president because they believe hes a sincere Christian. In a pigs eye.  John Hagee values Jews in Israel the same way a chess player values pawns. Theyre useful at a certain point in the game but ultimately expendable.,Members of a political group are hypocritical.,0.0
There is no group in this country more opportunistic and more hypocritical than the leadership of the rightwing Evangelical movement. These are the people who with straight faces endorsed Donald Trump for president because they believe hes a sincere Christian. In a pigs eye.  John Hagee values Jews in Israel the same way a chess player values pawns. Theyre useful at a certain point in the game but ultimately expendable.,Members of a political group are racist.,0.0
There is no group in this country more opportunistic and more hypocritical than the leadership of the rightwing Evangelical movement. These are the people who with straight faces endorsed Donald Trump for president because they believe hes a sincere Christian. In a pigs eye.  John Hagee values Jews in Israel the same way a chess player values pawns. Theyre useful at a certain point in the game but ultimately expendable.,Members of a political group prefer minorities.,1.0
There is no group in this country more opportunistic and more hypocritical than the leadership of the rightwing Evangelical movement. These are the people who with straight faces endorsed Donald Trump for president because they believe hes a sincere Christian. In a pigs eye.  John Hagee values Jews in Israel the same way a chess player values pawns. Theyre useful at a certain point in the game but ultimately expendable.,A person belonging to a political group is crazy.,1.0
Racist whitehating libtard.,Things are worse due to a political group.,1.0
Racist whitehating libtard.,Members of a political group commit crimes.,1.0
Racist whitehating libtard.,Members of a political group are racist.,0.0
Racist whitehating libtard.,A person belonging to a political group has a disease.,1.0
This story is about a left wing black man who expresses disdain for President Donald Trump and white people generally. Im not sure about the purpose of your rant.,Members of a political group are hateful.,0.0
This story is about a left wing black man who expresses disdain for President Donald Trump and white people generally. Im not sure about the purpose of your rant.,Members of a political group hate their country or race.',1.0
This story is about a left wing black man who expresses disdain for President Donald Trump and white people generally. Im not sure about the purpose of your rant.,Members of a political group are violent.,1.0
This story is about a left wing black man who expresses disdain for President Donald Trump and white people generally. Im not sure about the purpose of your rant.,Members of a political group prefer minorities.,1.0
Im liberalophobic They scare me with their PC fascism.  Their vapid stupid lies that they are out to help people. millions killed by their invented drug culture.  Their unreasoned hate of the white majority in favor of any minority no matter how insignificant in population.  Their lockstep kneejerk reactionary mentality to any cause that is antiAmerican.    Their inability to fathom that progressivism is actually regressivism as all of their beliefs have been tried before even begetting  doomed civilizations because of the same philosophy.,A person belonging to a political group is stupid.',0.0
Im liberalophobic They scare me with their PC fascism.  Their vapid stupid lies that they are out to help people. millions killed by their invented drug culture.  Their unreasoned hate of the white majority in favor of any minority no matter how insignificant in population.  Their lockstep kneejerk reactionary mentality to any cause that is antiAmerican.    Their inability to fathom that progressivism is actually regressivism as all of their beliefs have been tried before even begetting  doomed civilizations because of the same philosophy.,Members of a political group commit crimes.,0.0
Im liberalophobic They scare me with their PC fascism.  Their vapid stupid lies that they are out to help people. millions killed by their invented drug culture.  Their unreasoned hate of the white majority in favor of any minority no matter how insignificant in population.  Their lockstep kneejerk reactionary mentality to any cause that is antiAmerican.    Their inability to fathom that progressivism is actually regressivism as all of their beliefs have been tried before even begetting  doomed civilizations because of the same philosophy.,Members of a political group are hateful.,0.0
Im liberalophobic They scare me with their PC fascism.  Their vapid stupid lies that they are out to help people. millions killed by their invented drug culture.  Their unreasoned hate of the white majority in favor of any minority no matter how insignificant in population.  Their lockstep kneejerk reactionary mentality to any cause that is antiAmerican.    Their inability to fathom that progressivism is actually regressivism as all of their beliefs have been tried before even begetting  doomed civilizations because of the same philosophy.,Members of a political group hate their country or race.,0.0
The only snowflakes I see are the insecure white supremacists and the Nazi pansies.,Members of a political group are compared to Nazis.,0.0
The only snowflakes I see are the insecure white supremacists and the Nazi pansies.,Members of a political group are racist.,0.0
The only snowflakes I see are the insecure white supremacists and the Nazi pansies.,Members of a political group dislike a gender or lgbtq.,1.0
The only snowflakes I see are the insecure white supremacists and the Nazi pansies.,Things are worse due to a political group.,1.0
Not possible with all the bloodthirsty leftists and Islamists out there.,Members of a political group commit crimes.,0.0
Not possible with all the bloodthirsty leftists and Islamists out there.,Members of a political group are violent.,0.0
Not possible with all the bloodthirsty leftists and Islamists out there.,Members of a political group are compared to Nazis.,1.0
Not possible with all the bloodthirsty leftists and Islamists out there.,Members of a political group dislike a gender or lgbtq.,1.0
Liberalism is a mental disorder  Only White Western leftist hate their own race color country and flag.  This happens no where else on the planet.  Pretty simple  No reverse spin propaganda needed,A person belonging to a political group is crazy.,0.0
Liberalism is a mental disorder  Only White Western leftist hate their own race color country and flag.  This happens no where else on the planet.  Pretty simple  No reverse spin propaganda needed,Members of a political group hate their country or race.,0.0
Liberalism is a mental disorder  Only White Western leftist hate their own race color country and flag.  This happens no where else on the planet.  Pretty simple  No reverse spin propaganda needed,A person belonging to a political group has a disease.,0.0
Liberalism is a mental disorder  Only White Western leftist hate their own race color country and flag.  This happens no where else on the planet.  Pretty simple  No reverse spin propaganda needed,Members of a political group are hateful.,0.0
You have the disgraceful temerity to draw a moral equivalence between the Holocaust and the Jewish recovery miracle and the Palestinian fourth generation UN titsucking Jewhating refugee bullshit story. Its exceedingly charitable to describe you as a libtard.,A person belonging to a political group is stupid.,0.0
You have the disgraceful temerity to draw a moral equivalence between the Holocaust and the Jewish recovery miracle and the Palestinian fourth generation UN titsucking Jewhating refugee bullshit story. Its exceedingly charitable to describe you as a libtard.,A person belonging to a political group is stupid.,0.0
You have the disgraceful temerity to draw a moral equivalence between the Holocaust and the Jewish recovery miracle and the Palestinian fourth generation UN titsucking Jewhating refugee bullshit story. Its exceedingly charitable to describe you as a libtard.,Members of a political group commit crimes.,1.0
You have the disgraceful temerity to draw a moral equivalence between the Holocaust and the Jewish recovery miracle and the Palestinian fourth generation UN titsucking Jewhating refugee bullshit story. Its exceedingly charitable to describe you as a libtard.,Members of a political group are compared to Nazis.,1.0
Feminism is for everybody? Not bloody likely. Have u seen the modern day feminists on college campuses? They go on and on about a rape culture on campus. They still hate men. They need their safe spaces to protect themselves from other points of view. Sorry todays Feminism is like a cancer.,Members of a political group are hateful.,0.0
Feminism is for everybody? Not bloody likely. Have u seen the modern day feminists on college campuses? They go on and on about a rape culture on campus. They still hate men. They need their safe spaces to protect themselves from other points of view. Sorry todays Feminism is like a cancer.,A person belonging to a political group has a disease.,0.0
Feminism is for everybody? Not bloody likely. Have u seen the modern day feminists on college campuses? They go on and on about a rape culture on campus. They still hate men. They need their safe spaces to protect themselves from other points of view. Sorry todays Feminism is like a cancer.,Members of a political group are lgbtq.,1.0
Feminism is for everybody? Not bloody likely. Have u seen the modern day feminists on college campuses? They go on and on about a rape culture on campus. They still hate men. They need their safe spaces to protect themselves from other points of view. Sorry todays Feminism is like a cancer.,Things are worse due to a political group.,1.0
Are you kidding me?  Republicans are the party of hate. How about that church with 4 little black girls?  The Brooks Brothers Riot every KKK and Neo Nazi march and lynching. Its not all firebombs. .,Members of a political group are hateful.,0.0
Are you kidding me?  Republicans are the party of hate. How about that church with 4 little black girls?  The Brooks Brothers Riot every KKK and Neo Nazi march and lynching. Its not all firebombs. .,Members of a political group are violent.,0.0
Are you kidding me?  Republicans are the party of hate. How about that church with 4 little black girls?  The Brooks Brothers Riot every KKK and Neo Nazi march and lynching. Its not all firebombs. .,Members of a political group commit crimes.,0.0
Are you kidding me?  Republicans are the party of hate. How about that church with 4 little black girls?  The Brooks Brothers Riot every KKK and Neo Nazi march and lynching. Its not all firebombs. .,Members of a political group hate their country or race.,1.0
Yet another example of the villification of men by the feminacry. Disgusting.,Members of a political group are hateful.,0.0
Yet another example of the villification of men by the feminacry. Disgusting.,Members of a political group dislike a gender or lgbtq.,0.0
Yet another example of the villification of men by the feminacry. Disgusting.,Members of a political group prefer minorities.,1.0
Yet another example of the villification of men by the feminacry. Disgusting.,Things are worse due to a political group.,1.0
All those KKK cross burning white guys were Democrats. They hated Republicans and killed Lincoln for it.,Members of a political group commit crimes.,0.0
All those KKK cross burning white guys were Democrats. They hated Republicans and killed Lincoln for it.,Members of a political group are violent.,0.0
All those KKK cross burning white guys were Democrats. They hated Republicans and killed Lincoln for it.,Members of a political group are compared to Nazis.,1.0
All those KKK cross burning white guys were Democrats. They hated Republicans and killed Lincoln for it.,Members of a political group are racist.,0.0
I agree with you the white lefties globalists are the most hypocritical humans of them all. They are the cancer of the white race Being racist doesnt mean to be cruel to other races.When a black woman told me that with 10 whites left on earth in 2016 there were 9 too many.Now  that is not racism but cruelty.,Members of a political group are hypocritical.,0.0
I agree with you the white lefties globalists are the most hypocritical humans of them all. They are the cancer of the white race Being racist doesnt mean to be cruel to other races.When a black woman told me that with 10 whites left on earth in 2016 there were 9 too many.Now  that is not racism but cruelty.,A person belonging to a political group has a disease.,0.0
I agree with you the white lefties globalists are the most hypocritical humans of them all. They are the cancer of the white race Being racist doesnt mean to be cruel to other races.When a black woman told me that with 10 whites left on earth in 2016 there were 9 too many.Now  that is not racism but cruelty.,Members of a political group are racist.,0.0
I agree with you the white lefties globalists are the most hypocritical humans of them all. They are the cancer of the white race Being racist doesnt mean to be cruel to other races.When a black woman told me that with 10 whites left on earth in 2016 there were 9 too many.Now  that is not racism but cruelty.,Members of a political group hate their country or race.,1.0
Yep. Its good to know which right wingtards are antiwoman.,A person belonging to a political group is stupid.,0.0
Yep. Its good to know which right wingtards are antiwoman.,Members of a political group are hateful.,0.0
Yep. Its good to know which right wingtards are antiwoman.,Members of a political group dislike a gender or lgbtq.,0.0
Yep. Its good to know which right wingtards are antiwoman.,Members of a political group are racist.,1.0
Republicans are such predictable hypocrites. You can safely bet that whatever they are obsessed with and accusing the other side of doing is what they are actually doing.  private emails? check. Take Rep. Tim Murphy RPA for example. Rep. Murphy is a fine upstanding Republican with a wife and a mistress. Good redblooded guy who is now implicated in his girlfriends divorce. In texts produced in connection with court proceedings a possible pregnancy became something to manage when Murphy and his lady friend Shannon Edwards thought she might be pregnant. And you have zero issue posting your prolife stance all over the place when you had no issue asking me to abort our unborn child just last week Shannon Edwards wrote. Murphy answered her writing I get what you say about my March for life messages. Ive never written them. Staff does them. I read them and winced. I told staff dont write any more. I will. How long can it be before we find out McConnell is transgender?,Members of a political group are hypocritical.,0.0
Republicans are such predictable hypocrites. You can safely bet that whatever they are obsessed with and accusing the other side of doing is what they are actually doing.  private emails? check. Take Rep. Tim Murphy RPA for example. Rep. Murphy is a fine upstanding Republican with a wife and a mistress. Good redblooded guy who is now implicated in his girlfriends divorce. In texts produced in connection with court proceedings a possible pregnancy became something to manage when Murphy and his lady friend Shannon Edwards thought she might be pregnant. And you have zero issue posting your prolife stance all over the place when you had no issue asking me to abort our unborn child just last week Shannon Edwards wrote. Murphy answered her writing I get what you say about my March for life messages. Ive never written them. Staff does them. I read them and winced. I told staff dont write any more. I will. How long can it be before we find out McConnell is transgender?,Members of a political group dislike a gender or lgbtq.,1.0
Republicans are such predictable hypocrites. You can safely bet that whatever they are obsessed with and accusing the other side of doing is what they are actually doing.  private emails? check. Take Rep. Tim Murphy RPA for example. Rep. Murphy is a fine upstanding Republican with a wife and a mistress. Good redblooded guy who is now implicated in his girlfriends divorce. In texts produced in connection with court proceedings a possible pregnancy became something to manage when Murphy and his lady friend Shannon Edwards thought she might be pregnant. And you have zero issue posting your prolife stance all over the place when you had no issue asking me to abort our unborn child just last week Shannon Edwards wrote. Murphy answered her writing I get what you say about my March for life messages. Ive never written them. Staff does them. I read them and winced. I told staff dont write any more. I will. How long can it be before we find out McConnell is transgender?,Members of a political group are taking control,1.0
Republicans are such predictable hypocrites. You can safely bet that whatever they are obsessed with and accusing the other side of doing is what they are actually doing.  private emails? check. Take Rep. Tim Murphy RPA for example. Rep. Murphy is a fine upstanding Republican with a wife and a mistress. Good redblooded guy who is now implicated in his girlfriends divorce. In texts produced in connection with court proceedings a possible pregnancy became something to manage when Murphy and his lady friend Shannon Edwards thought she might be pregnant. And you have zero issue posting your prolife stance all over the place when you had no issue asking me to abort our unborn child just last week Shannon Edwards wrote. Murphy answered her writing I get what you say about my March for life messages. Ive never written them. Staff does them. I read them and winced. I told staff dont write any more. I will. How long can it be before we find out McConnell is transgender?,Members of a political group prefer minorities.,1.0
Why are papers like the Toronto Star failing. Maybe because they have been hijacked by radical feminists and antiwhite militant.,Members of a political group dislike a gender or lgbtq.,0.0
Why are papers like the Toronto Star failing. Maybe because they have been hijacked by radical feminists and antiwhite militant.,Members of a political group are hateful.,0.0
Why are papers like the Toronto Star failing. Maybe because they have been hijacked by radical feminists and antiwhite militant.,Members of a political group are racist.,0.0
Why are papers like the Toronto Star failing. Maybe because they have been hijacked by radical feminists and antiwhite militant.,Members of a political group are violent.,1.0
If wonder if this means feminists will be going back and disowning things like Valerie Solanas S.C.U.M. Manifiesto. S.C.U.M.? Society for Cutting Up Men. And statements likening all heterosexual sex to rape? Andrea Dworkin Catharine MacKinnon and their activist sisters all to be disowned now?,Members of a political group dislike a gender or lgbtq.,0.0
If wonder if this means feminists will be going back and disowning things like Valerie Solanas S.C.U.M. Manifiesto. S.C.U.M.? Society for Cutting Up Men. And statements likening all heterosexual sex to rape? Andrea Dworkin Catharine MacKinnon and their activist sisters all to be disowned now?,Members of a political group are hateful.,0.0
If wonder if this means feminists will be going back and disowning things like Valerie Solanas S.C.U.M. Manifiesto. S.C.U.M.? Society for Cutting Up Men. And statements likening all heterosexual sex to rape? Andrea Dworkin Catharine MacKinnon and their activist sisters all to be disowned now?,Members of a political group commit crimes.,1.0
If wonder if this means feminists will be going back and disowning things like Valerie Solanas S.C.U.M. Manifiesto. S.C.U.M.? Society for Cutting Up Men. And statements likening all heterosexual sex to rape? Andrea Dworkin Catharine MacKinnon and their activist sisters all to be disowned now?,Members of a political group prefer minorities.,1.0
All these gays have to do is make some medical complaint and say that they need to have a sex change to resolve their problem...yes implants hormone supply drug maintenance for the sex change etc. will be paid by the military.  They will even pull out all of your teeth is you have a complaint and have implants done if that makes the service person feel and perform better.  Me too only a tax payer and guys like our AG senators and reps will oppose Trump no matter if it is the wrong thing to do.  Liberals will bring down the USA,Members of a political group are taking control.,0.0
All these gays have to do is make some medical complaint and say that they need to have a sex change to resolve their problem...yes implants hormone supply drug maintenance for the sex change etc. will be paid by the military.  They will even pull out all of your teeth is you have a complaint and have implants done if that makes the service person feel and perform better.  Me too only a tax payer and guys like our AG senators and reps will oppose Trump no matter if it is the wrong thing to do.  Liberals will bring down the USA,Members of a political group dislike a gender or lgbtq.,0.0
All these gays have to do is make some medical complaint and say that they need to have a sex change to resolve their problem...yes implants hormone supply drug maintenance for the sex change etc. will be paid by the military.  They will even pull out all of your teeth is you have a complaint and have implants done if that makes the service person feel and perform better.  Me too only a tax payer and guys like our AG senators and reps will oppose Trump no matter if it is the wrong thing to do.  Liberals will bring down the USA,A person belonging to a political group has a disease.,1.0
All these gays have to do is make some medical complaint and say that they need to have a sex change to resolve their problem...yes implants hormone supply drug maintenance for the sex change etc. will be paid by the military.  They will even pull out all of your teeth is you have a complaint and have implants done if that makes the service person feel and perform better.  Me too only a tax payer and guys like our AG senators and reps will oppose Trump no matter if it is the wrong thing to do.  Liberals will bring down the USA,Members of a political group are hateful.,0.0
Stephen ? Which are you ? a proud Homophobe ? Xenophobe ? Racist ? Or another closeted gay Republican ?  wear it loud and proud get a big  L tattooed on your forehead.,Members of a political group dislike a gender or lgbtq.,0.0
Stephen ? Which are you ? a proud Homophobe ? Xenophobe ? Racist ? Or another closeted gay Republican ?  wear it loud and proud get a big  L tattooed on your forehead.,Members of a political group are lgbtq.,0.0
Stephen ? Which are you ? a proud Homophobe ? Xenophobe ? Racist ? Or another closeted gay Republican ?  wear it loud and proud get a big  L tattooed on your forehead.,Members of a political group are hateful.,0.0
Stephen ? Which are you ? a proud Homophobe ? Xenophobe ? Racist ? Or another closeted gay Republican ?  wear it loud and proud get a big  L tattooed on your forehead.,Members of a political group are racist.,0.0
Mysogyny is OK for liberals against conservative women.  For example pointing out Hillary Clintons lies was mysogynist.  But ridiculing Conway on her makeup dress etc. is OK with liberals including liberal women.  The country has woken up to the Dems and liberals hypocritical modus operandi.,Members of a political group are hypocritical.,0.0
Mysogyny is OK for liberals against conservative women.  For example pointing out Hillary Clintons lies was mysogynist.  But ridiculing Conway on her makeup dress etc. is OK with liberals including liberal women.  The country has woken up to the Dems and liberals hypocritical modus operandi.,Members of a political group dislike a gender or lgbtq.,0.0
Mysogyny is OK for liberals against conservative women.  For example pointing out Hillary Clintons lies was mysogynist.  But ridiculing Conway on her makeup dress etc. is OK with liberals including liberal women.  The country has woken up to the Dems and liberals hypocritical modus operandi.,Members of a political group prefer minorities.,1.0
Mysogyny is OK for liberals against conservative women.  For example pointing out Hillary Clintons lies was mysogynist.  But ridiculing Conway on her makeup dress etc. is OK with liberals including liberal women.  The country has woken up to the Dems and liberals hypocritical modus operandi.,Things are worse due to a political group.,0.0
The US is in shambles thanks to all the trash the Liberals let in.,Things are worse due to a political group.,0.0
The US is in shambles thanks to all the trash the Liberals let in.,Members of a political group dislike a gender or lgbtq.,1.0
The US is in shambles thanks to all the trash the Liberals let in.,Members of a political group are hateful.,1.0
The US is in shambles thanks to all the trash the Liberals let in.,Members of a political group hate their country or race.,1.0
So in fact you have sexual intercourse for selfgratification. Then why do you condemn others for doing what you do? That is hypocrisy. Your actual objection is the old gay sex is icky  which is solely a matter of taste.,Members of a political group are hypocritical.,1.0
So in fact you have sexual intercourse for selfgratification. Then why do you condemn others for doing what you do? That is hypocrisy. Your actual objection is the old gay sex is icky  which is solely a matter of taste.,Members of a political group dislike a gender or lgbtq.,1.0
So in fact you have sexual intercourse for selfgratification. Then why do you condemn others for doing what you do? That is hypocrisy. Your actual objection is the old gay sex is icky  which is solely a matter of taste.,Members of a political group dislike a gender or lgbtq.,1.0
So in fact you have sexual intercourse for selfgratification. Then why do you condemn others for doing what you do? That is hypocrisy. Your actual objection is the old gay sex is icky  which is solely a matter of taste.,A person belonging to a political group is crazy.,1.0
BDS Anti Semitic and racist Shaun Narine Anti Semitic and racist Shaun Narine crawl back in your cave.,Members of a political group are hateful.,1.0
BDS Anti Semitic and racist Shaun Narine Anti Semitic and racist Shaun Narine crawl back in your cave.,Members of a political group dislike a gender or lgbtq.,1.0
BDS Anti Semitic and racist Shaun Narine Anti Semitic and racist Shaun Narine crawl back in your cave.,A person belonging to a political group is stupid.,1.0
BDS Anti Semitic and racist Shaun Narine Anti Semitic and racist Shaun Narine crawl back in your cave.,A person belonging to a political group has a disease.,1.0
Individuals are different. Given the same opportunities they can achieve the same. I would be ashamed of someone read your post and assumed that all whites were racist.,Members of a political group are hateful.,1.0
Individuals are different. Given the same opportunities they can achieve the same. I would be ashamed of someone read your post and assumed that all whites were racist.,Members of a political group are racist.,1.0
Individuals are different. Given the same opportunities they can achieve the same. I would be ashamed of someone read your post and assumed that all whites were racist.,Members of a political group prefer minorities.,1.0
Individuals are different. Given the same opportunities they can achieve the same. I would be ashamed of someone read your post and assumed that all whites were racist.,Things are worse due to a political group.,1.0
