,comment_text,identity_attack_x,bias,target,category,rationale,predicted,labels
10,LOL. Tell us more about what you know about teh negro and teh identity and teh algorithms Cliven Bundy. Tell us more about how stupid you think black people are that they imagine racism because of confirmation bias in algorithms and how 400 years of sustained antiblack racism is a figment of everybodys imagination cuz algorithms.,0.5125,bias,blacks,race,prejudice against blacks,['entailment'],"{'contradiction': 3.8, 'neutral': 23.1, 'entailment': 73.2}"
11,No but we can agree your adopting the lingo of the white supremacists is disgusting.,0.647887324,bias,whites,race,prejudice against whites,['neutral'],"{'contradiction': 2.8, 'neutral': 85.2, 'entailment': 11.9}"
12,Well I know of no young Chinese boys or girls who were raped and abused by Christian missionaries in China but I do know that Christian clergy did rape and abuse young First Nations boys and girls in residential schools.  There was no legacy of lateral violence or children steeped in toxic stress in China as there is now in First Nations communities.,0.8,bias,christians,religion,prejudice against christians,['neutral'],"{'contradiction': 9.2, 'neutral': 86.9, 'entailment': 3.9}"
13,Just go to YouTube for videos of black travels going nuclear at airports and on plane when the world does bow and scrape to meet their whims. Nobody likes to get bad service or get jerked around but bad attitude and abuse towards others is not  just a white thing.,1,bias,blacks,race,prejudice against blacks,['neutral'],"{'contradiction': 3.7, 'neutral': 82.1, 'entailment': 14.3}"
14,Seig heil Heil Trump So anyone who is nonwhite is a plague to you. Attend Prevos church do you?,0.539473684,bias,non whites,race,prejudice against non-whites,['neutral'],"{'contradiction': 4.3, 'neutral': 48.9, 'entailment': 46.8}"
15,Nice try.  There is no extremism This is the real islam  islam needs to completely change from the stoneage to the modern world,0.5,bias,muslims,religion,prejudice against islam,['neutral'],"{'contradiction': 32.3, 'neutral': 52.7, 'entailment': 15.0}"
16,Blame men.  Theres always an excuse to blame men for the failures of women.,0.636363636,bias,women,gender,prejudice against women,['neutral'],"{'contradiction': 2.2, 'neutral': 78.9, 'entailment': 18.8}"
17,Palatable of course violence is bad. But one side is advocating the purging of Jews blacks minorities and immigrants from America. The other side is against this. They are not the same regardless of who punched who first. Dont fall for the violence is the issue. White supremacists and Nazis here in America are the issue.,0.5,bias,whites,race,prejudice against whites,['neutral'],"{'contradiction': 5.9, 'neutral': 90.4, 'entailment': 3.7}"
18,Donnie Two Scoops doesnt care. And he doesnt care what is in it. He wont read it or understand it.     He just wants to sign something so he can declare victory over the black guy since he is a racist dirt bag.,0.5,bias,blacks,race,prejudice against blacks,['entailment'],"{'contradiction': 1.8, 'neutral': 41.4, 'entailment': 56.8}"
19,Can they stop forcing these unrealistic racially diverse shows on people people seldom hang out with a rainbow group of friends. I wont watch TV shows that promote race mixing and alternate lifestyles. Thankfully we have other ways to chose are media instead of being force fed anti white propaganda by the lying media.,0.6,bias,whites,race,prejudice against whites,['neutral'],"{'contradiction': 20.6, 'neutral': 61.1, 'entailment': 18.3}"
20,There have been over 30000 terrorist attacks worldwide committed by Muslims since 911 yet you focus on the attacks of a few mentally ill white guys.,0.5,bias,muslims,religion,prejudice against muslims,['neutral'],"{'contradiction': 3.8, 'neutral': 66.6, 'entailment': 29.6}"
21,Black people kill more Black people than all the whites hispanics and Asians put togethermaybe when Black people start showing some respect for the lives of their fellow man then maybe they can earn some payback in kind,0.738461538,bias,blacks,race,prejudice against blacks,['neutral'],"{'contradiction': 8.2, 'neutral': 64.9, 'entailment': 26.9}"
22,The next US civil war primarily fought through the media on social networks is going to be centered around the question of whether the US consumer should be subsiding US manufacturing jobs through higher prices of goods. You can already see it starting in the comments sections of US publications like The Atlantic. Mainstream America is serious pissed at the cranky old white men that pushed Trump over the top.,0.6,bias,"whites,men","race,gender",prejudice against white men,['neutral'],"{'contradiction': 3.7, 'neutral': 84.0, 'entailment': 12.4}"
23,Keep your closeted gay fantasies of this comment section please....,0.675,bias,gays,lgbtq,prejudice against gays,['contradiction'],"{'contradiction': 50.3, 'neutral': 41.3, 'entailment': 8.4}"
24,Do not trust Snopes. I have lived in Japan they are extremely allergic to Muslims being there. Ill give you 50 bucks if you know a single one who has emmigrated there.,0.5,bias,"japanese,muslims","race,religion",prejudice against japanese and muslims,['entailment'],"{'contradiction': 1.0, 'neutral': 47.9, 'entailment': 51.1}"
25,Too bad there is little outrage at the actions of these Muslims.  Maybe we should put up a statue?   If there were any justice they would all be buried in a pig sty.,0.7,bias,muslims,religion,prejudice against muslims,['neutral'],"{'contradiction': 4.8, 'neutral': 61.7, 'entailment': 33.5}"
26,Sounds like the police handled this situation well. There are countless and routine scenarios across America where if a black man answered the door with such a gun even sober and not threatening and even without a gun that it would not end so well. This is what white privilege and gun insanity looks like.,0.6,bias,"blacks,whites",race,prejudice against blacks and whites,['neutral'],"{'contradiction': 4.5, 'neutral': 80.9, 'entailment': 14.6}"
27,Blacks have often poor eating and life style habits which leads to them having more health problem than other races. Is saying anything true but mentioning race nowadays racist ?,0.8,bias,blacks,race,prejudice against blacks,['neutral'],"{'contradiction': 4.2, 'neutral': 76.2, 'entailment': 19.6}"
28,And here I thought we were doing so well with not a cathouse or casino in town. I forgot about the homosexuals. No wonder were being smitten.   That was sarcasm if anyone misunderstood.,0.5,bias,homosexuals,lgbtq,prejudice towards homosexuals,['neutral'],"{'contradiction': 19.8, 'neutral': 72.4, 'entailment': 7.8}"
29,They only became so wealthy because white privilege. Or something.,0.6,bias,whites,race,prejudice against whites,['neutral'],"{'contradiction': 11.9, 'neutral': 61.5, 'entailment': 26.6}"
30,Have you heard Milo speak.  He is a gay man whose likes black men.  I dont agree with everything he says but I at least listen.,0.5875,bias,"gays,blacks","lgbtq,race",prejudice towards gays and blacks,['contradiction'],"{'contradiction': 76.3, 'neutral': 21.0, 'entailment': 2.7}"
31,Then lets put the gay men on an island and lesbian women on another and after 100 years see if anyone is left if it is a natural lifestyle,1,bias,lgbtq,lgbtq,prejudice against lgbtqq,['neutral'],"{'contradiction': 42.9, 'neutral': 49.2, 'entailment': 7.9}"
32,NIGGER,0.833333333,bias,blacks,race,prejudice against blacks,['neutral'],"{'contradiction': 1.9, 'neutral': 93.8, 'entailment': 4.3}"
33,Globe closes comments on mosque shooting. ??? Maybe the muslims will know how it feels when one of their brethren commits a terrorist act.  Suck it up. You started it. More to come. LOL,0.585714286,bias,muslims,religion,prejudice against muslims,['neutral'],"{'contradiction': 9.2, 'neutral': 80.9, 'entailment': 9.9}"
34,Fredrica...Go back to the Ghetto where you belong....You are not even worthy of being called a black American...,0.539473684,bias,blacks,race,prejudice against blacks,['neutral'],"{'contradiction': 2.0, 'neutral': 71.5, 'entailment': 26.5}"
35,The niqab is a horrible symbol of womens oppression and for some reason it is only supported by the extreme right in Islam and by white liberals in the West.,0.5,bias,"muslims,whites,liberals","religion,race,political",prejudice against muslims and white liberals,['neutral'],"{'contradiction': 3.5, 'neutral': 67.1, 'entailment': 29.4}"
36,Blacks make up approximately 13 of the US population while they commit 52 of crime. In 2014 according to the FBI 90 of black homicide victims were killed by other black people.  Honestly this is where the protesting should be.,0.8,bias,blacks,race,prejudice against blackss than whites,['neutral'],"{'contradiction': 3.2, 'neutral': 95.4, 'entailment': 1.5}"
37,The difference is that the interpreted by Christians and Jews of the biblical passages in question are viewed in an historical context.  The passages from the Quran are interpreted in eternal time.  The difference is that for Muslims it is ok to kill all Christians and Jews.,0.606060606,bias,muslims,religion,prejudice against muslims and jews,['neutral'],"{'contradiction': 10.6, 'neutral': 70.4, 'entailment': 19.0}"
38,The internment camps for the Japanese are a good precedent for things we really shouldnt be doing. We need to take a hard look at this antiMuslim business and see who is behind the curtain pulling the levers.,0.5,bias,muslims,religion,prejudice against muslims,['neutral'],"{'contradiction': 1.1, 'neutral': 51.9, 'entailment': 47.1}"
39,Some of those technologies get bought and shelved by rich white men who want to preserve their fortunes...,0.5,bias,"whites,men","race,gender",prejudice against white men,['neutral'],"{'contradiction': 13.3, 'neutral': 82.1, 'entailment': 4.6}"
40,Well the license to not only kill black people was signed with the Philando Castile murder nut now the license to hunt black people up and put them in prison has been signed. Stop and frisk is back with a new name. Lynch them with bullets is the law.,0.5,bias,blacks,race,prejudice against blacks,['neutral'],"{'contradiction': 6.3, 'neutral': 71.9, 'entailment': 21.8}"
41,A very small part of Mueslimen enjoy murdering but enough of them to warrant an immigration stop.  Islam is a threat to our planet if you read the Koran.,0.554054054,bias,muslims,religion,prejudice against muslims,['neutral'],"{'contradiction': 9.3, 'neutral': 74.3, 'entailment': 16.4}"
42,White media questioning Guptas representing the nation overseas. We know that majority of the mainstream media in this country is owned by white monopoly capital. This is partly the reason why the true corruption taking place in the country committed by whites in designer suits hardly get any media attention,0.5,bias,whites,race,prejudice against whites,['neutral'],"{'contradiction': 4.9, 'neutral': 90.2, 'entailment': 4.9}"
43,Wiliki seriously are you allergic to the truth?     The Bible clearly says homosexuality is an abomination.,0.6625,bias,christians,religion,prejudice against christians,['neutral'],"{'contradiction': 1.6, 'neutral': 80.5, 'entailment': 18.0}"
44,Besides white males what other visible minority would it be acceptable to vilify openly and exuberantly as Renzetti has done here?,0.5,bias,"whites,men","race,gender",prejudice against white males,['entailment'],"{'contradiction': 2.4, 'neutral': 20.9, 'entailment': 76.7}"
45,So a few radical Islamic terrorist are cutting off heads of Christians and NEVER do they do that to Muslims? Whats this we when you refer to Christians?  Because if you think you are a Christian you are wrong.  oh and since I dont believe in any of that garbage yes I will judge you.,0.65,bias,muslims,religion,prejudice against muslims,['entailment'],"{'contradiction': 21.2, 'neutral': 35.5, 'entailment': 43.3}"
46,Black crime has gotten way out of hand as I stated previously. Evidently facts and statistics are uncivil. Pathetic,0.578947368,bias,blacks,race,prejudice against blacks,['entailment'],"{'contradiction': 8.6, 'neutral': 38.2, 'entailment': 53.2}"
47,Pretty efficient at stopping those redneck white guy terrorists a good thing homegrown islamist terrorists not so much.,0.558823529,bias,"whites,muslims","race,religion",prejudice against whites and muslims,['neutral'],"{'contradiction': 12.7, 'neutral': 73.9, 'entailment': 13.5}"
48,Must suck to be white trash these days.,0.919135802,bias,whites,race,prejudice against whites,['neutral'],"{'contradiction': 2.0, 'neutral': 60.8, 'entailment': 37.3}"
49,Why shouldnt gays be allowed to march in the St Patricks Day parade?  After all Ireland was once known as Gaelic.,0.5,bias,gays,lgbtq,prejudice towards gays,['neutral'],"{'contradiction': 12.2, 'neutral': 79.6, 'entailment': 8.2}"
50,All drunk white idiots and yet none of them are dead.,0.76056338,bias,whites,race,prejudice against whites,['neutral'],"{'contradiction': 4.9, 'neutral': 86.3, 'entailment': 8.8}"
51,This scum of Islamic extremism  islamic radicalism has been a virus amongst the human population all over the world and they have long wrecked atrocities in the PHillipines. May Duterte have no mercy on them. Deal with them like they are the drug dealers. Annihilate this scum from earth.,0.653333333,bias,muslims,religion,prejudice against muslims,['contradiction'],"{'contradiction': 79.6, 'neutral': 17.4, 'entailment': 3.0}"
52,For some reason reading your post brings to mind Chechen President Ramzan Kadyrov. He recently denied a persecution of gay men in Chechnya which included torturing and even killing gays. His incontrovertible evidence? There are no gays in Chechnya,0.8,bias,gays,lgbtq,prejudice towards gays,['entailment'],"{'contradiction': 25.2, 'neutral': 34.1, 'entailment': 40.7}"
53,Sounds like he was forced out. Too bad as he is a very interesting smart and articulate. He is certainly not of the main stream as he is a staunch conservative who is also unabashedly gay.,0.6,bias,gays,lgbtq,prejudice against gays,['neutral'],"{'contradiction': 14.8, 'neutral': 67.4, 'entailment': 17.9}"
54,sarcasm omg mexicans are so unnerving just because they exist sarcasm,0.5625,bias,mexicans,race,prejudice against mexicans,['neutral'],"{'contradiction': 7.9, 'neutral': 75.4, 'entailment': 16.7}"
55,Being antiracist isnt racist. The right has tried to peddle that antiwhite nonsense for two generations now since the GOP adopted all the orphaned racist southerners abandoned by the Democrats. No one has said border control is racist. Youre engaging in whats known as equivocation.,0.5,bias,whites,race,prejudice against whites,['neutral'],"{'contradiction': 21.4, 'neutral': 60.6, 'entailment': 18.0}"
56,Glad hes changing his sign.  What next?  No Jews?  No Asians?,0.5,bias,"jews,asians","religion,race",prejudice against jews and asians,['neutral'],"{'contradiction': 5.7, 'neutral': 90.3, 'entailment': 4.0}"
57,The gay community is the most oppressive organization out there and your comment reflects that They allow NO DISSENT yet this country is built on it.,0.833333333,bias,gays,lgbtq,prejudice against gays,['entailment'],"{'contradiction': 1.9, 'neutral': 24.6, 'entailment': 73.6}"
58,All white people are  simultaneously. guilty of all race hate crimes.,0.7,bias,whites,race,prejudice against whites,['entailment'],"{'contradiction': 1.2, 'neutral': 8.7, 'entailment': 90.1}"
59,Hogwash another drummed up Liberal false narrative to keep his voting base. Id say Trump reallocated the funds in question to the Inner City Crime Prevention thats one of the Big Issue in the US.  thats to counter your assumption he took the funds away from the White terrorist Grant so it wont diminish his voting base.,0.5,bias,whites,race,prejudice against whites,['neutral'],"{'contradiction': 5.6, 'neutral': 87.0, 'entailment': 7.4}"
60,Who will be banned next year?  I would not be at all  surprised if they demand   and get black safe spaces with no white people allowed like segregated beer gardens and dance parties.,1,bias,blacks,race,prejudice against blacks,['neutral'],"{'contradiction': 6.8, 'neutral': 81.6, 'entailment': 11.5}"
61,SO MUCH WINNING BY NIKKI HALEY  shes going to make a great first woman president sorry Hillary but no one likes you but everyone likes Nikki Haley plus shes way better looking and not a lesbian :o,0.6,bias,lesbians,lgbtq,prejudice against lesbians,['neutral'],"{'contradiction': 5.2, 'neutral': 88.9, 'entailment': 5.9}"
62,Next beer for women and gays made with sperm. Yuck to both,0.6875,bias,"women,gays","gender,lgbtq",prejudice against women and gays,['neutral'],"{'contradiction': 17.4, 'neutral': 68.4, 'entailment': 14.2}"
63,I got your point NeoNazi GOOD Muslim BAD...MAGA,0.685714286,bias,muslims,religion,prejudice against muslims,['neutral'],"{'contradiction': 9.5, 'neutral': 62.9, 'entailment': 27.6}"
64,You mean a retailer doesnt have to sell products it doesnt want to sell? Like a gay wedding cake?,0.5,bias,homosexuals,lgbtq,prejudiced against homosexuals,['neutral'],"{'contradiction': 19.3, 'neutral': 76.6, 'entailment': 4.1}"
65,yes .............. the black are illegals  .................. the decendents of slaves,0.824324324,bias,blacks,race,prejudice against blacks,['neutral'],"{'contradiction': 6.8, 'neutral': 66.1, 'entailment': 27.1}"
66,Who really cares about womens golf nowadays boring as hectic only Korea Japan Thailand etc care about the lpga,0.5,bias,"women,korea,japan,thailand","gender,race",prejudice against women and races,['neutral'],"{'contradiction': 3.5, 'neutral': 93.9, 'entailment': 2.6}"
67,If ethnicity age citizenship skin colour and economic status are relevant in one case e.g poor black or brown Middle Eastern born in Canada they should equally be applied each time so in this case millionaire white American born in the USA should be applied each time this act of terror is referred to.,0.5,bias,blacks,race,prejudice against blacks,['neutral'],"{'contradiction': 4.5, 'neutral': 87.5, 'entailment': 8.0}"
68,I suspect that all the criminals are white. Other wise they would be called thugs or worse.,0.8,bias,whites,race,prejudice against whites,['neutral'],"{'contradiction': 7.8, 'neutral': 83.4, 'entailment': 8.8}"
69,White man all bad.  Islam good.  I got a good laugh from this cartoonish defense of barbarity.,0.6,bias,"whites,muslims","race,religion",prejudice against whites and towards muslims,['neutral'],"{'contradiction': 7.5, 'neutral': 54.3, 'entailment': 38.2}"
70,Warbirds is right. I am having a hoot watching all the kaos   I have heard a lot of Muslims and 3rd worlders be quite arrogant about their rights and think that the West owes them. Well guess what? Comeuppance time you lot,0.5,bias,muslims,religion,prejudice against muslims,['neutral'],"{'contradiction': 12.6, 'neutral': 58.7, 'entailment': 28.7}"
71,BARRY the BOY that has SEX WITH DOGS NEEDS to KEEP HIS NIGER FAGGOT ASS in the CLOSET  NOT IN FRONT of HUMANS,0.725806452,bias,"blacks, gays","race, lgbtq","prejudice against blacks,gays",['neutral'],"{'contradiction': 12.4, 'neutral': 72.1, 'entailment': 15.5}"
72,In the 50s  Muslim garb would have been assumed to be some obscure order of Catholic nuns.,0.5,bias,"muslims,christians",religion,prejudice against muslims and christians,['neutral'],"{'contradiction': 17.3, 'neutral': 78.5, 'entailment': 4.2}"
73,Ironic dont you think that a half white  half black president only served to bring more separation. I never could figure out why he identified more as a black person............,0.8,bias,blacks,race,prejudice towars blacks,['neutral'],"{'contradiction': 5.5, 'neutral': 89.7, 'entailment': 4.8}"
74,BS. America is still majority white and immigration has made America a great nation. And some white people might feel threatened by immigration but joining a Nazi white supremists group that hates everyone but themselves probably isnt the answer to you feeling less threatened or halting immigration.,0.8,bias,whites,race,prejudice against whites,['neutral'],"{'contradiction': 7.4, 'neutral': 68.6, 'entailment': 24.0}"
75,Feck you jerk the damage is done what happened Soros stop the money? Well since you are a muslim convert and your girlfriend is muslim go join ISIS and then you can kill American soldiers instead of disrespecting them on their own soil. And please dont come back.,0.585714286,bias,muslims,religion,prejudice against muslims,['neutral'],"{'contradiction': 3.5, 'neutral': 69.1, 'entailment': 27.4}"
76,Why do Indonesians care? Because Muslim? why does Malala care?  Because she is Muslim?  why does the West have to care? damned if you care and damned if you dont  there are 1500 million Muslims to care why always blame the West,0.6,bias,muslims,religion,prejudice against blacks,['neutral'],"{'contradiction': 17.8, 'neutral': 81.6, 'entailment': 0.6}"
77,Just as the hatred that starts with Jews never ends with them the hatred that begins with Blacks and Latinos never ends with them.  Others some of whom are noncritical of White Nationalists will be faced with repeated compromise as they find their own freedoms eroding.  Pres. Trump has no allegiance except to his own ego.,0.5,bias,"jews,blacks,whites","religion,race",prejudice against religion and races,['neutral'],"{'contradiction': 1.5, 'neutral': 95.0, 'entailment': 3.5}"
78,Well this is a departure from what she usually writes about which is how much she hates white people.,0.6,bias,whites,race,prejudice against whites,['entailment'],"{'contradiction': 0.4, 'neutral': 18.0, 'entailment': 81.6}"
79,It is black people that experience this kind of structural violence on a daily basis because of the many failures of our government.  Then change your government..,0.5,bias,black,race,prejudice against blacks,['neutral'],"{'contradiction': 6.3, 'neutral': 84.6, 'entailment': 9.1}"
80,why cant someone feel threatened by big black woman and get rid of her?  what a farce..  what society must accept anything just because they are blacks?  no...,0.725,bias,blacks,race,prejudice against blacks,['neutral'],"{'contradiction': 10.4, 'neutral': 53.8, 'entailment': 35.7}"
81,except if you are city white privilege trash. then you have to go to fred meyers.,0.640625,bias,whites,race,prejudice against whites,['neutral'],"{'contradiction': 6.3, 'neutral': 70.7, 'entailment': 23.0}"
82,I shudder to think of your sexual relationship if all sex is to you is lust.  And you know the mind of Christ to say that he agrees with you that gay sex is icky.,0.768115942,bias,gays,lgbtq,prejudice against gays,['neutral'],"{'contradiction': 3.7, 'neutral': 66.9, 'entailment': 29.4}"
83,THis only proves that the only bad people are white people. They are the scourge of earth and we would all be better off if white people were simply exterminated. There would be peace prosperity and justice for all people of colour and Muslims.,0.714285714,bias,whites,race,prejudiuce towards whites,['neutral'],"{'contradiction': 14.1, 'neutral': 64.5, 'entailment': 21.4}"
84,The antifa thugs are fascists themselves and are twenty times in number more than white racists..,0.614285714,bias,whites,race,prejudice against whitess,['neutral'],"{'contradiction': 8.6, 'neutral': 77.4, 'entailment': 14.0}"
85,AntiMuslim hate?  Hmm.... I used to support Islam back in the 80s when it was popular to demonize it for abusive attitudes toward women.  I thought that westerners lacked cultural understanding of Islam.  However after many recent years of Islamic terrorists murdering thousands of innocent people I no longer support Islam.  Islamic terrorism is a daily event Russia is soupdejour today I believe.  There are many countries with large Muslim minorities like France how has that been working for you lately?.  There are Muslim countries like Turkey which nightclub do you want to celebrate New Years Eve in?.  I think Islam is a blight.   I think that Islam is a stupid and barbaric religion forever frozen in 7th century violence.  If I said this in a Muslim country I would be murdered.  If I said this in a European country my life would be in danger.  I believe that in Canada I can still safely say what I think.... but for how long?,0.538461538,bias,muslims,religion,prejudice against muslims,['neutral'],"{'contradiction': 1.9, 'neutral': 95.3, 'entailment': 2.8}"
86,Im a Republican. I voted against Clinton. Im Caucasian. Im prejudiced against blacks. Before you blow a fuse ask me about it. Also dont confuse me with white supremacists. I admire this strong black man: Milwaukee County Sheriff David Clarke. I hope he runs for POTUS in 2020. Hed get my vote.,0.5,bias,"whites,blacks",race,prejudice against blacks and whites,['neutral'],"{'contradiction': 1.8, 'neutral': 89.6, 'entailment': 8.6}"
87,This story is about a left wing black man who expresses disdain for President Donald Trump and white people generally. Im not sure about the purpose of your rant.,0.8,bias,"left,blacks,whites","political,race",prejudice against political belief and race,['neutral'],"{'contradiction': 2.9, 'neutral': 76.5, 'entailment': 20.6}"
88,Trump was elected by white Evangelicals and white Catholics.  I do not think either group merits the designation Christian.,0.5,bias,"whites,evangelicals,catholics","race,religion",prejudice against whites and religions,['neutral'],"{'contradiction': 5.8, 'neutral': 86.9, 'entailment': 7.3}"
89,So basically Doug is saying that the Christians who run the west with their War against Drugs War against Sex Sin  freedom of speech and even men are just as radical as the Muslims in the east with their intolerant attitude toward freedom of speech gays and women?,0.8,bias,"christians,muslims",religion,prejudice against christians,['neutral'],"{'contradiction': 5.5, 'neutral': 60.4, 'entailment': 34.1}"
90,Christianity is the Religion of Love except for the part where Catholic and Protestant want to kill each other riight.,0.5125,bias,christians,religion,prejudice towards christians,['neutral'],"{'contradiction': 4.4, 'neutral': 53.6, 'entailment': 42.1}"
91,Black athletes should also be taking a knee to bring the blacks killing blacks to the front pages.,0.725,bias,blacks,race,prejudice against blacks,['entailment'],"{'contradiction': 1.8, 'neutral': 42.3, 'entailment': 55.9}"
92,I disrespect Islam too. Better shoot first,0.5875,bias,muslims,religion,prejudice against muslims,['neutral'],"{'contradiction': 6.9, 'neutral': 55.5, 'entailment': 37.6}"
93,Shows you how screwed up the Catholic church is.  Besides all the abuse and sexual assaults on altar boys stealing from the church.  Practice what you preach.  THOU SHALL NOT STEAL...,0.5625,bias,christians,religion,prejudice against christians,['neutral'],"{'contradiction': 26.9, 'neutral': 64.8, 'entailment': 8.3}"
94,Now that the majority of drug addicts are rural white people the solution is not mass incarceration. Other than race and location what is the difference? I guess Republicans are starting to change their mind on just saying no to drugs now that their voters are effected personally.,0.5,bias,whites,race,prejudice against whites,['neutral'],"{'contradiction': 10.0, 'neutral': 84.5, 'entailment': 5.5}"
95,Only a fuckin nigger would do something like this.,0.97925072,bias,blacks,race,prejudice against blacks,['neutral'],"{'contradiction': 4.9, 'neutral': 69.2, 'entailment': 25.9}"
96,lol sounds like someone is an angry white boy unable to find a job in the 21st century?  Well there is always the military.,0.7,bias,whites,race,prejudice towards whites,['neutral'],"{'contradiction': 8.6, 'neutral': 85.3, 'entailment': 6.2}"
97,Comedy apparently women are so stupid that unless they go to a religious funded clinic they will never attain any of the free contraception offered by countless liberal clinics throughout every state.,0.513157895,bias,women,gender,prejudice against women,['neutral'],"{'contradiction': 8.6, 'neutral': 77.0, 'entailment': 14.4}"
98,can the feds raid the north shore sweeping up and deporting the hundreds of Brazilians and Mexicans who illegally live there and make a living off the books primarily by selling drugs until they can find a desperate American female to marry?,0.6,bias,"women,latino","gender,race",prejudice against women and latino,['neutral'],"{'contradiction': 13.9, 'neutral': 76.3, 'entailment': 9.8}"
99,Cause he is black.... and a democrat.......   If he was black and a republican shivers...... We have some really screwed up people running this........... NOT running this country.,0.6,bias,blacks,race,prejudice against blacks,['neutral'],"{'contradiction': 5.8, 'neutral': 73.6, 'entailment': 20.5}"
100,Wow hes a veritable saint for having shot his wife. Must be white.,0.642857143,bias,whites,race,prejudice against whites,['neutral'],"{'contradiction': 12.5, 'neutral': 80.1, 'entailment': 7.3}"
101,There were 2 potdealing black males most likely membersaffiliatessupporters of Black Lies Matter from St. Louis who were arrested recently who planned to sell the guns to gang members.,0.6,bias,"blacks,men","race,gender",prejudice against black men,['neutral'],"{'contradiction': 13.5, 'neutral': 74.8, 'entailment': 11.7}"
102,I think gay is a unique way to describe this nonsense. But why bring in sexism to this conversation?  Gay has not meant happy jolly or fun loving for the last one hundred years. And it has never meant lame stupid ridiculous except to a few morons that were not gay.  James just how old are you?  When were you a smallkid?  A finally when and at what location did you arrive on this planet?,0.671052632,bias,gays,lgbtq,prejudice against gays,['neutral'],"{'contradiction': 6.6, 'neutral': 81.6, 'entailment': 11.8}"
103,Due to lack of Muslims Hawaii is not so dangerous YET.,0.824631861,bias,muslims,religion,prejudice against muslims,['neutral'],"{'contradiction': 5.2, 'neutral': 88.8, 'entailment': 6.0}"
104,You ignored the deaths of white folks in murder suicides. when the wife gets tired of being abused and threatens to leave and take the kids. Her frustrated white husbandbaby daddy kills them all because he loved them so much. Of course the killer needed the gun to defend his family.,0.6,bias,whites,race,prejudice against whites,['neutral'],"{'contradiction': 9.4, 'neutral': 79.0, 'entailment': 11.6}"
105,Lets not jump to conclusions who did...aaaaaaaaaand its a Muslim.,0.5,bias,muslims,religion,prejudice against muslims,['neutral'],"{'contradiction': 23.4, 'neutral': 66.1, 'entailment': 10.5}"
106,LMAO Im sure christian nutjobs praying in islamic countries  at a public school  would be murdered if they did this,0.6,bias,christians,religion,prejudice against christians,['neutral'],"{'contradiction': 4.6, 'neutral': 80.0, 'entailment': 15.5}"
107,Catholics elected Trump with the complicit silence of the USCCB. I am embarrassed to be an American Catholic. Thank God for Francis.,0.5,bias,christians,religion,prejudice against christians,['contradiction'],"{'contradiction': 90.0, 'neutral': 9.4, 'entailment': 0.6}"
