comment_text,identity_attack_x,bias,target,category,rationale,predicted_label,predicted_scores
Only white men are allowed to be racist and sexist.,0.819444444,bias,"whites,men","race,gender",prejudice against white men,entailment,"[-1.372973084449768, 0.5893076062202454, 0.4405658543109894]"
I learned that those who are both religious and righteous are some of the most dangerous people on this earth.    Yes radical Islam is very dangerous.  NeverHillary,0.7,bias,muslims,religion,prejudice against muslims,contradiction,"[3.07207989692688, -3.461045742034912, 0.4179461896419525]"
Not surprised.  Most Russians are criminals and their women are skanks and users...,0.911075612,bias,russians,race,prejudice against russians,neutral,"[-1.497733235359192, -0.00894138403236866, 1.0818560123443604]"
Butinski here is another theory.  The person at the helm was a transgender who was distracted while putting on his make up.,0.7,bias,transgenders,lgbtq,prejudice against transgenders,neutral,"[-0.9268711805343628, -0.8881998062133789, 1.462108850479126]"
Wow how times have changed All hail the muslim. It wasnt so very long ago that Christians were told to remove all crosses from government properties in Hawaii and even some privately owned churches were heartily challenged. Now we have foreign born muslims on the front page and their right to be is heavily protected. Go figure.,0.8,bias,muslims,religion,prejudice against muslims,neutral,"[-0.17721714079380035, -0.7616214752197266, 0.6524743437767029]"
Its time for the GOP to live on earth instead of some conservative other world they live on where everyone is white and up tight and a hypocrite in the end anyway.,1.0,bias,whites,race,prejudice against whites,neutral,"[-2.162385940551758, 0.21911589801311493, 1.52635657787323]"
Why would you think that???  Black racists were empowered by Obamas election.,0.575,bias,blacks,race,prejudice against blacks,neutral,"[-1.3072423934936523, 0.15688107907772064, 0.8010335564613342]"
They still throw gays off buildings and stone women.,0.636363636,neutral,,none,,contradiction,"[4.141361713409424, -2.439056396484375, -1.4876189231872559]"
So you think its okay to have black slaves and relegate them to the back of the bus and separate facilities and that its okay for cops to profile and kill innocent blacks.,0.6125,bias,blacks,race,,contradiction,"[3.2405736446380615, -2.844022274017334, -0.3916545808315277]"
Muh master race Muh genetic superiority Man these white supremacists are such fragile snowflakes.,0.581081081,bias,whites,race,prejudice against whites,neutral,"[-0.9520281553268433, 0.06919030100107193, 0.5651084780693054]"
Even hate speech is protected do you not know?  White nationalists are rarely satisfied with verbalizing their hatred training every day for putting it into action.,0.6,bias,whites,race,prejudice against whites,neutral,"[-1.014868974685669, -0.7731974720954895, 1.4692003726959229]"
I hope it goes down.  Some cleansing would be goodness  Think about who the left is?  Elitists blacks browns homos and other victims and deviants,0.771428571,bias,"left wing,blacks,browns,homossexuals","political,race,lgbtq",prejudice against lefts,neutral,"[-1.086549997329712, -0.5033959746360779, 1.1739774942398071]"
Do all white nationalists have bizarre hair styles? This guy Trump...,0.5,bias,whites,race,prejudice against whites,neutral,"[-0.4105147421360016, -0.8698775172233582, 0.9641943573951721]"
What about all your angry white men attacking non whites in their offices clinics and churches? Wasnt it a white guy that parked a yellow Ryder truck filled with ANFO outside the Oklahoma City building with a child care center in it?   Oh yeah. How quickly you forget.,0.6,bias,"whites,men","race,gender",prejudice against white men,neutral,"[-1.7050682306289673, -0.07257463037967682, 1.3971604108810425]"
Totally disagree with these thugs.  They are no didferent from the klu klux klan. They are not doing anything positive only looting and destroying things. All black bloc should be arrested and thrown in jail.  If you want change then use the ballot box.,0.8,bias,blacks,race,prejudice against blacks,neutral,"[-0.8366450071334839, -0.682954728603363, 1.1280122995376587]"
Not possible with all the bloodthirsty leftists and Islamists out there.,0.8,bias,"left wing,muslims","political,religion",prejudice against left wing and muslims,neutral,"[-1.490418553352356, 0.1900598704814911, 0.8775061368942261]"
How come Black people arent put under the same microscope ? Is it because these politically correct are scared to?,0.5,neutral,,none,,contradiction,"[4.165002822875977, -2.4133410453796387, -1.5958603620529175]"
Being antiracist isnt racist. The right has tried to peddle that antiwhite nonsense for two generations now since the GOP adopted all the orphaned racist southerners abandoned by the Democrats. No one has said border control is racist. Youre engaging in whats known as equivocation.,0.5,bias,whites,race,prejudice against whites,neutral,"[-0.39023658633232117, -0.5655011534690857, 0.6482449173927307]"
Right. There is a nationwide conspiracy to pick up and arrest black men. Got it.,0.6,bias,blacks,race,prejudice against blacks,neutral,"[-1.5482070446014404, 0.5495223999023438, 0.6120933890342712]"
Not personal at all Richard WhynerI despise all white supremacists who are too cowardly to openly declare themselves.  Even more than I despise the ones who arent.,0.7,bias,whites,race,prejudice against whites,neutral,"[-1.7338263988494873, -0.418347030878067, 1.6340385675430298]"
Decent post but you need to drop the white trash thing.,0.72972973,bias,whites,race,prejudice against whites,neutral,"[-1.8369271755218506, 0.5776894688606262, 0.8292201161384583]"
Clean out the swamp.  Screen out the fragile seminarians early and often.  What a mess.   Gay orgies.  Who is Francis to judge though  Indeed.,0.575,bias,gays,lgbtq,prejudice against gays,neutral,"[-1.0058315992355347, -0.2661471962928772, 0.9337221384048462]"
Black Lives dont seem to matter. They keep filling up the prisons with billions of tax payer money down the toilet.,0.6125,bias,blacks,race,prejudice against blacks,neutral,"[-2.211052656173706, 0.7776596546173096, 0.9871299862861633]"
Does our own include black and brown people?,0.6,neutral,,none,,contradiction,"[4.347605228424072, -3.168994426727295, -0.9804800152778625]"
This article sounds Painfully Black if you ask me,0.833333333,neutral,,none,,contradiction,"[2.6930348873138428, -2.6693403720855713, -0.07068128138780594]"
Promoting blacks in the HPD is brutalizing? How so? You against affirmative action for some reason?,0.6,bias,blacks,race,prejudice against blacks,neutral,"[-0.8666720986366272, -0.2165975719690323, 0.7509747743606567]"
The fact that you need to consult a web site in order to locate those measly 200 or so gayfriendly parishes out of a total of 17651 Catholic parishes in the United States is a statement in and of itself. Ill say no more.,0.6,bias,"christians,gays","religion,lgbtq",prejudice against christians and gays,contradiction,"[1.8727102279663086, -2.0743424892425537, 0.09473303705453873]"
Russell did three tours in Afghanistan and Iraq. He was taught that the solution to disagreement is through violence and that Asians and persons of Islamic beliefs are bad or evil and are in some twisted way a threat to our country. Since leaving the military he suffered a serious headbrain injury and is under the care of the Veterans Administration. These facts do not excuse his racist outrage but somewhat explain how he came to be the tormented individual that he is.,0.5,bias,"asians,muslims","race,religion",prejudice against asians and muslims,neutral,"[-2.7008073329925537, -1.190729022026062, 3.806173801422119]"
I agree that Lee was doing his duty and was an honourable man. However the guys trying to stop the removal of his statue arent interested in that they are interested in a form of white control of the South and having the black people put back in their places.,0.6,bias,"blacks,whites",race,prejudice against blacks and towards whites,neutral,"[-2.3746392726898193, 0.7580137252807617, 1.205100178718567]"
I believe all Indians should go back to their reserves. there is no need for them to have an education Indians never went to school before the white man came here. If all Indians were back on the reserve they could immerse themselves in their culture and be happy. Canadians will continue to carry them on our backs.,0.5,bias,"indians,whites",race,prejudice against whites and indians,neutral,"[-1.0808804035186768, -1.5584568977355957, 2.2349605560302734]"
Well since youre gay I suppose its OK that you sexually harassed a minor. My bad.,0.7125,bias,gays,lgbtq,prejudice against gays,neutral,"[-0.40942177176475525, -0.858244776725769, 0.9844276905059814]"
The violent and intolerant left?....more alt truth or in plain english lies.  6 Muslims in Quebec city might disagree if they were alive to tell you what they thought...just one example that comes to mind...oh and how about black people at a prayer meeting? Ring any bells?....oh heres another Timothy Mcveigh? In fact the list is pretty lengthy...and were not talking about a little property damage sir...  You might want to do a little learning yourself.,0.6,neutral,,none,,contradiction,"[3.898550271987915, -2.5442254543304443, -1.1935793161392212]"
The Left hate on Left White Women in race for the Georgian Governors Race: One of the main mantras of the chant was trustblackwomen  URL thelefteatsitsownwhitefemalegovcandidateshouteddowningeorgia  I expect no less from your Racist Party lol  BLM Barry Jesse Al Fredericka and Holy women Ms. Nadal and Ms. Brazille should be Proud of themselves. The New m.o. of the Democratic Party antiWhites You got duped crafted by the Democratic Racist Tools,0.555555556,bias,liberals,political,prejudice against liberals,entailment,"[-1.515794277191162, 1.150921106338501, -0.12484046071767807]"
Hey look its more white folk that dont understand what its like to be black folk,0.6125,neutral,,none,,contradiction,"[4.102453708648682, -2.779125690460205, -1.1331350803375244]"
Deport him right Tumpites? Crimes are only committed by illegals and Muslims. Thats what y ou people makw it out to be. Crimes against the elderly are almost as bad as crimes against children in the law of of prisoners. Prisoners will give this guy a good treatment when He gets to the joint.,0.5,bias,"men, muslims","gender,religion",prejudice against,neutral,"[0.12046437710523605, -1.1781367063522339, 0.7816505432128906]"
Wow Paris police.  Youve got Muslims who have taken over your city and shoot people when they get their feelings hurt so you kill a Chinese guy who is cutting up fish for dinner. Nice.,0.5,bias,"muslims,chinese","religion,race",prejudice against muslims and towards chinese,neutral,"[-1.5185116529464722, 0.3448972702026367, 0.7989866733551025]"
Most Republicans are probably retarded.,0.274193548,bias,republicans,political,prejudice against republicans,neutral,"[-1.4941017627716064, -0.12191782891750336, 1.2144362926483154]"
I read on three different places on the internet that Nick Travis is a transgender bathroom checker vigilante. Its out there go do your own google search,0.25862069,neutral,,none,,contradiction,"[4.338761329650879, -3.4487531185150146, -0.7165657877922058]"
WE NEED TO PERSECUTE THESE CHRISTIANSPLEASE JOIN US,0.9,bias,christians,religion,prejudice towards christians,contradiction,"[2.0755112171173096, -1.8757519721984863, -0.27903470396995544]"
May the black faced loser be long gone.,0.851851852,neutral,,none,,contradiction,"[2.060119390487671, -1.6360312700271606, -0.4135519564151764]"
PRips This sounds like a muslim trying to sound intelligent. Read the post again.,0.5,bias,muslims,religion,prejudice against muslims,neutral,"[-0.025232834741473198, -1.3595373630523682, 1.0374412536621094]"
I got your point NeoNazi GOOD Muslim BAD...MAGA,0.685714286,bias,muslims,religion,prejudice against muslims,neutral,"[-1.106274127960205, -0.035307131707668304, 0.788525402545929]"
Many Whites pretend diversity is a strength to avoid being called a racist. What evidence do Canadians have a White minority Canada will be safer wealthier and more united than now? None.,0.6,bias,whites,race,prejudice against whites,neutral,"[-0.7669073939323425, -0.13391105830669403, 0.6146929264068604]"
He was sick with hatred of white people who were his victims and should have never been aloud in this country cant you see hes a middle eastern muslim.,0.8,bias,muslims,religion,prejudice against muslims,entailment,"[-1.2977088689804077, 0.5612947344779968, 0.37885206937789917]"
Police are taught to look for unusual and suspicious behavior Black Male between 25 and 35 those are code wordslanguage to just pull over and harass black people.,0.7,bias,blacks,race,prejudice against blacks,neutral,"[-1.4667696952819824, -0.11775025725364685, 1.2468866109848022]"
Give it up Black.  You keep talking about this phantom working class that appears to fit every news article that features a story of Alaska Natives.  Ill bet you havent work all your life and now true hardworking people will have to subsidize you too.,0.5,bias,blacks,race,prejudice against blacks,neutral,"[-1.8736896514892578, 0.5777897834777832, 0.8754814267158508]"
Uh huh. Just like women get themselves raped.  Too bad lesbianism isnt a choice.,0.5125,bias,lesbians,lgbtq,prejudice against lesbians,neutral,"[-2.3361172676086426, 0.3057215213775635, 1.6545038223266602]"
Youre a crappy feminist.,0.552631579,bias,feminists,political,prejudice against feminists,neutral,"[-2.2004799842834473, 0.42413070797920227, 1.3325177431106567]"
White male racists did it,0.625,bias,whites,race,prejudice against whitess,neutral,"[-1.286326289176941, -0.7156563997268677, 1.5874701738357544]"
Actually aparthied was created to protect whites from violent blacks. Now that whites have no power all of their fears are playing out and genocide is in full swing. The white population has gone from 30 to less than 10.,0.9,bias,blacks,race,prejudice against blacks,neutral,"[-2.0634241104125977, 0.4155353605747223, 1.1475695371627808]"
White supremacists and neoNazis deserve all the shaming and social punishment they get. Period.,0.525,bias,whites,race,prejudice against whites,neutral,"[-1.2067852020263672, -0.2453148066997528, 1.065624713897705]"
Western chauvinist  white racist.,0.6,bias,whites,race,prejudice against whites,entailment,"[-2.2059085369110107, 1.5476611852645874, 0.10670741647481918]"
Since all do it...none are guilty or all guilty to the same degree?  Maybe a couple of nuclear bombs should be dropped on a Muslim country.,0.7,bias,muslims,religion,prejudice against muslims,neutral,"[-0.709102213382721, -0.6367445588111877, 0.995064914226532]"
... Republicans are super fakey christian dirt bags ... theyd stab anyone in the back for a buck.,0.571428571,bias,"republicans,christians","political,religion",prejudice against republican christians,neutral,"[-1.8653883934020996, 0.5487895607948303, 0.9056994318962097]"
Just so Im clear your approach to toughening up Christians is to throw rocks at them and see if they can take the hit?  Yoiks,0.285714286,neutral,,none,,contradiction,"[4.249941825866699, -2.8622019290924072, -1.1756342649459839]"
Its not absurd to say a philosophy which calls for the death or enslavement of everyone else except Muslims has an influence. Islam is problematic as a belief system. All the Abrahamic religions are nonsense. STOP SPREADING LIES I blame the media for giving credence to such nonsense supernatural garbage clearly not real.,0.515151515,bias,muslims,religion,prejudice against muslims,neutral,"[-1.0496126413345337, -1.2846215963363647, 1.8791558742523193]"
Well well well look at this. Im taking the waiters side. I think this jackass is a lying low life looking to exaggerate his cause. This is typical black racist antiAmerican slander.,0.55,bias,blacks,race,prejudice against blacks and anti americans,entailment,"[-2.533629894256592, 1.2301843166351318, 0.7869186997413635]"
Republicans are all about pretending and being fake Christians it is what they do BEST these days ...,0.5,bias,conservatives,political,prejudice against conservatives,neutral,"[-1.0788177251815796, -0.585787832736969, 1.292354702949524]"
Islam is a pernicious malignancy. Moses is the true prophet. I would prefer not being under Islamic compulsion. There is no redemption under compulsion. If youre forced to pray 500 times a day it has no true meaning because it was an act of submission not voluntary. Little wonder they rebel and see no future for themselves. They should ask Jesus and Moses to redeem them.,0.8,bias,muslims,religion,prejudice against muslims,neutral,"[-0.5660301446914673, -1.147416114807129, 1.2595751285552979]"
I think it is just that a Muslim terrorist fits his narrative while a white one does not.  All in all pretty pathetic that he plays these games.,0.6,neutral,,none,,contradiction,"[4.908330917358398, -3.123035192489624, -1.5873051881790161]"
Black Lives Matter wait then what about Red White Yellow and Brown Lives? If blacks can say nigger in the white house then what the hell you doing taking my comments down? Get a pair nigga,0.787878788,bias,blacks,race,prejudice against blacks,neutral,"[-0.7731142640113831, 0.04308191314339638, 0.46128302812576294]"
Stop calling this vermin a white nationalist. Hes a white supremacist and a nazi the worst scum there is.,0.605263158,bias,whites,race,prejudice against whites,neutral,"[-0.1459226906299591, -1.5200108289718628, 1.3098647594451904]"
White lady ?  What  a disgusting remark.,0.256756757,neutral,,none,,contradiction,"[4.020623683929443, -2.615893602371216, -1.2162872552871704]"
So if I wear a Tshirt that says on the front Fuck black people and on the back says Being white is shit and walk around UCT campus it is just expression and art then I will agree with the courts decision.Otherwise I accuse it of prejudice and a doublestandard in the only time that will ever exist.Which is  drum roll please  right NOW,0.625,neutral,,none,,contradiction,"[3.446546792984009, -2.6331686973571777, -0.6857346892356873]"
Who am I to judge? means very little when you just got fired for being gay while working for a church.,0.833333333,bias,gays,lgbtq,prejudice against gays,neutral,"[-0.7021605372428894, -0.05889086425304413, 0.4774731993675232]"
I agree with you Don227. If there was an article disparaging women as idiots there would be a protest and a parade.,0.833333333,bias,women,gender,prejudice against women,entailment,"[-1.4315838813781738, 1.1430925130844116, -0.18250919878482819]"
Those five police officers would still be alive if the police themselves didnt allow dirty cops to run roughshod over the people especially blacks.,0.638888889,bias,blacks,race,prejudice against blacks,neutral,"[-1.8401756286621094, 0.4668964445590973, 0.9845501780509949]"
WTF???? Stop demonizing black children?  How about these useless children stop terrorizing law abiding citizens?  He got what he deserved the little wanna be gansta punk.,0.631578947,bias,blacks,race,prejudice against blacks,entailment,"[-2.4451053142547607, 2.349087715148926, -0.6397442817687988]"
So basically it will now be a crime to insult Prophet Mohammed. Canada joins the ranks of Islam the most backwards society on earth.,0.5,bias,muslims,religion,prejudice against muslims,neutral,"[-1.7590252161026, 0.08206595480442047, 1.248221755027771]"
Bc the left hates white people especially white men.  This is acceptable violence and hate for them.,0.621212121,bias,liberals,political,prejudice against liberals,neutral,"[-0.8922197818756104, -0.3103877007961273, 0.9363039135932922]"
How can you compare Japanese and Muslims. Japan attacked military targets only Extremist Muslims attack innocent civilians with bombs and chop their heads off if they refuse to convert and join their jihad. Japanese should be insulted by such comparisons.,0.5,bias,"asians,muslims","race,religion",prejudice against asians and muslims,neutral,"[-1.6594223976135254, -0.7262392640113831, 1.9924206733703613]"
I did no such thing.  I highlighted the hypocrisy and doublestandards of socalled Christian antiabortionists and nothing more.  The rest is what you read into it apparently.  Go back and read it again then tell me how I blamed Muslim misdeeds on anyone but themselves.,0.6,bias,christians,religion,christians are hypocrites,neutral,"[-2.1556544303894043, 0.664293646812439, 1.0473473072052002]"
See? Catholicism is no better than Islam. Both religions hate women and homosexuals.,0.883060109,bias,"christians,muslims",religion,prejudice against christians,neutral,"[-0.7610711455345154, -0.39658549427986145, 0.795903205871582]"
Zuma is a hopeless basket case. And he hates all white people which clearly makes him a racist.,0.530864198,neutral,,none,,contradiction,"[4.8897600173950195, -2.7805426120758057, -1.9286012649536133]"
The muslims guiding book of beliefs  their constitution is the koran. Read it  dozens of passages urge all muslims to either convert or abuse  kill all who do not subscribe to it. Considering the words in the koran I wonder how any reasonable person could call themselves a muslim. Clearly islam is the enemy of every person in the world including those who call themselves muslims.,0.9,bias,muslims,religion,prejudice against muslims,neutral,"[-1.7194021940231323, -0.10463310033082962, 1.3959370851516724]"
I wonder how many of the black students that complained about this are even local or state residents?,0.5,bias,blacks,race,prejudice against blacks,neutral,"[-0.852228581905365, -0.9205411076545715, 1.398667335510254]"
Living in Canada is worse than living in the Congo,0.5,bias,canadians,race,prejudice against canada,neutral,"[-0.8978800773620605, -0.8122491836547852, 1.3004677295684814]"
Multiculturalism is ok but it needs its limits. If we create a country that ignores uniform constitutional rights and endows or encourages different uneven rights upon separate groups  religious ethnic andor cultural  we will fail as a nation.  Thanks to mixedfeministIslamic messages from Trudeau Muslim women need help in Canada  clearly theyre prisoners in a culture with misogynistic cells where many masochistically selfimpose a lockdown with religious fervour and stubbornly argue with critics that its their democratic right to do so.  Easy to speak for the few too bad it imprisons the majority of fearful moderate Muslim women who given the chance just want to blend in with other western women.  How do we know this? Just look at the historical direction of Muslim women in Iran Pakistan Turkey and others where gradual relaxations on strict cultural garb inevitably leads to crushing crackdowns upon women by male Islamic religion police  be they official or unofficial.,1.0,neutral,,none,,contradiction,"[2.985778331756592, -2.8725228309631348, -0.11930759996175766]"
lefties or liberals with mental disorders cannot handle the truth.,0.5,bias,liberals,political,prejudice against liberals and lefts,neutral,"[-2.3250579833984375, 0.9283405542373657, 0.9435920119285583]"
yes I have seen this and it is not a lie every muslim takes a vow to kill,0.7,bias,muslims,religion,prejudice against muslims,neutral,"[0.009324710816144943, -1.2276742458343506, 0.9799972176551819]"
lying  black  bastard  happy?,0.796875,neutral,,none,,contradiction,"[4.780210494995117, -2.891578197479248, -1.6817609071731567]"
Unless the comparison is apt. Heres the 8chan thread Trump lifted his HillaryStar of David meme from:  URL  It also features sentiments such as: Death to all nonwhites Hail Victory and Jews are twofaced backstabbers who arent to be trusted and refers to Hitler as Uncle Adolf.  Recall he also retweeted this:    URL ?ref_srctwsrc5Etfw   from which Trump STILL hasnt taken down  And he told the Republican Jewish Coalition: Youre not going to support me because I dont want your money he said. You want to control your own politician.  Cant you connect the dots Kalli?? Or are pleased that a white supremacist will shortly be occupying the Oval Office?,0.8,bias,whites,race,prejudice against whites,neutral,"[-2.0031797885894775, 0.31628480553627014, 1.1510467529296875]"
I know. I keep getting figuratively spat on for pointing it out. There are Caucasoid Mongoloid and Negroid Muslims  all threee races,0.565789474,neutral,,none,,contradiction,"[4.497531414031982, -2.9755985736846924, -1.3175833225250244]"
Theres no grouping clueless  Check out the FACTS which apparently dont fit your liberal views.  70 out of wedlock birth rate among young black females and to many of the males leaving them alone.  Black on black crime rate up double digits in Chicago in 2017 alone  And the lists go on and on.  Im no where near as ignorant and arrogant as you sound  Just so you know I was born into a military family and was going to the same schools riding the same buses walking the same streets scout troops sports and eating in the same lunch rooms as blacks Hispanics and Asians.  And this was in the 50s  60s long before you ever saw the first minority.  And guess what clueless??  We  got along because we all were held to the same standards expected of military personaldependents living on base or in the surrounding areas.  Just a little personal knowledge and experience,0.6,bias,blacks,race,prejudice against blacks,neutral,"[-0.20071882009506226, -1.0470223426818848, 0.969323456287384]"
Just take a look at what they do to gays in Muslim countries like Yemen Saudi Arabia and Iran  and Kenney and the Conserves are our saviors by comparison.,0.5,bias,"muslims,gays","religion,lgbtq",prejudice against muslims and towards gays,neutral,"[-1.1125918626785278, -0.29059216380119324, 1.0488855838775635]"
Just another Middle Eastern mouthpiece meddling where he doesnt belong. Cant even run his own shit hole Country much less anyone elses. Giving Muslims a bad name just what they need,0.528571429,bias,muslims,religion,prejudice against muslims,neutral,"[-1.3849918842315674, -0.49924585223197937, 1.4114000797271729]"
Looks like 90 of americans are utterly useless and deserve to die.  Seriously never been camping without electronics? Ever? Never done survival for 2 weeks innawoods? Its not hard I for one welcome a NK EMP because while only 10 will live we will be 100 white.,0.5,bias,americans,race,prejudice against americans,neutral,"[-1.2066885232925415, -0.22072570025920868, 1.0179548263549805]"
Yeah the whites will play every dirty trick to make her look as if shes not the right person to lead SA,0.53125,bias,whites,race,prejudice against whites,neutral,"[-0.9654955267906189, -0.40575891733169556, 0.992480456829071]"
Funny. So born and bred German boyos dont do any rapin? Just like in Canada its the minorities like Bernardo Williams and Pickton raping Canadian women. You dont seem to car about that though. Why? Why are you not affronted by white men rapin yer wimminfolk?   lolz,0.6,bias,whites,race,prejudice against whites,neutral,"[-1.267937183380127, -1.020542025566101, 1.8145256042480469]"
They are the freakie new breed of drag queens. They cant even admit they are gay.,0.8,bias,gays,lgbtq,prejudice against men,neutral,"[-0.5607454180717468, -1.4719475507736206, 1.633697509765625]"
ROI on blacks and browns are an immediate loss,0.5375,bias,"blacks,browns",race,prejudice against blacks and browns,entailment,"[-1.193139910697937, 0.43662282824516296, 0.37211352586746216]"
hows my boy gonna get his money if he dont steal. direct quote from a mother of black boy who was caught stealing.,0.6,bias,blacks,race,prejudice against blacks,neutral,"[-0.719082236289978, -0.6114323735237122, 1.0180226564407349]"
But the NFL obviously discriminates against nonblacks... its 70 percent black. Is that really the right place to push equality?,0.5,bias,blacks,race,prejudice against blacks,entailment,"[-1.403491735458374, 0.7340107560157776, 0.2623136639595032]"
White Radical Christian Terrorist.,0.702702703,bias,"whites,christians","race,religion","prejudice against whites,christians",neutral,"[-1.0633233785629272, 0.07089182734489441, 0.6225875020027161]"
White slaves   We must work so they need not.,0.9,bias,whites,race,prejudice towards whites,neutral,"[-0.7724025845527649, -0.4327192008495331, 0.8777576684951782]"
Here is another good one.  Type in Muslim rape in Google and there are 21M stories about it.  This is their culture all of these stories cant be fake.      URL meatbritainsmuslimrapegangcoverup,0.6,bias,muslims,religion,prejudice against muslims,neutral,"[-0.48318079113960266, -1.698036551475525, 1.7468348741531372]"
They killed my brother. and I believe I see a white person there. So stop with the race bait bullshit. A BLACK person KILLED MY BROTHER.,0.814285714,bias,whites,race,prejudice against whites,neutral,"[-0.4373317062854767, -0.4939243793487549, 0.7281466722488403]"
The party is the home of ignorant blacks self hating leftist Jews gays feminists and union thugs They can kiss middle America goodbye.,0.9525,bias,"blacks,jews,feminists,gays","race,religion,lgbtq,political","prejudice against blacks,jews,feminists,gays",entailment,"[-2.522347927093506, 2.0582706928253174, -0.1945662945508957]"
black  criminal  privilege  started,0.742424242,bias,blacks,race,prejudice against blacks,entailment,"[-1.5231260061264038, 1.2589879035949707, -0.21154844760894775]"
All for show.  Its a j0ke.  He hates black people.  And brown people. And...,0.6125,neutral,,none,,contradiction,"[4.13078498840332, -2.5486323833465576, -1.4155988693237305]"
The worry that Trumps hateful attitude towards Muslims outside the United States will extend to them is quite understandable.,0.5,bias,muslims,religion,prejudice against muslims,entailment,"[-2.2855522632598877, 1.999981164932251, -0.39131882786750793]"
Must suck to be white trash these days.,0.919135802,bias,whites,race,prejudice against whites,neutral,"[-2.2653934955596924, 0.6670684218406677, 1.1558634042739868]"
Yes Christians are all good Muslims are all bad  Trump is always right   Back to the dark ages for the USA if this gang get their way.,1.0,bias,"christians,muslims",religion,"prejudice against christians,muslims",entailment,"[-1.8418811559677124, 0.7356191873550415, 0.6903242468833923]"
