,comment_text,identity_attack_x,bias,target,category,rationale,predicted_label,predicted_scores
3786,no doubt but what good does only my understanding do if the races commitin the crimes wont bother trying to understand and work either? you think Im racist and to a degree ill give you credit but it is only because of the black people Ive met and known. Only 10 of 100 I know would I introduce to my friends and family the others belong in halfway houses. The first people to beg me to help them steal with them were black the first con on the run I met was black the first person to admit to me he stole all the food he ever ate in this state was black. The first people I know to kill and be killed over a pair of shoes were both black. And lastly the first bank robbers of the year at this spot were black Grow up in all ways,0.8,bias,blacks,race,blacks are thieves,neutral,"[-1.0316776037216187, -2.22554349899292, 3.014329195022583]"
3108,when Oregonians thankfully overwhelmingly rejected it.  Oregonians rejected it and thats a good thing but its mitigated a bit by the fact the Oregon also made it illegal for blacks to be in the state punishable by a public whipping 39 lashes every six months until they left.  That is the primary reason why Oregon is one of the whitest states in the nation.,0.7,neutral,,none,,contradiction,"[2.6969194412231445, -2.68314266204834, -0.07052250951528549]"
2211,People cant create a chaotic situation and then act innocent when a helicopter needs to be called in.  The protestors had a legal permit to be there.  Lobbing concrete filled bottles and assaulting people is not a way to deal with uncomfortable opinions.  Some selfreflection is required from everyone involved  not just evil white nationalists.,1.0,bias,whites,race,prejudice against wwhites,neutral,"[-1.5180634260177612, -0.9075731635093689, 2.067530393600464]"
1799,Ya its the white guys fault.,0.8,bias,whites,race,prejudice towards whites,neutral,"[-1.1773178577423096, -0.6008855104446411, 1.3757970333099365]"
2656,How about the teacher I once worked with that told a group of 6th graders that gays are all hellbound pedophiles.  I bet youre OK with that though.,0.525,neutral,,none,,contradiction,"[4.280176162719727, -3.12534499168396, -0.9941748380661011]"
458,proud boys are really just a bunch of gay boys.,0.685714286,bias,gays,lgbtq,prejudice against gays,contradiction,"[1.5102938413619995, -1.6927146911621094, 0.0910828560590744]"
1876,Very interesting ... What will Trump do next? Ban all Muslim?,0.833333333,neutral,,none,,contradiction,"[3.6439313888549805, -2.7482011318206787, -0.7379888296127319]"
262,Move on people nothing to see. By the end of the day the MSM will blame this on Trump and white supremacists. What where they thinking putting a statue of a Basque separatist in the middle of La Ramblas.,0.5,bias,whites,race,prejudice against whites,neutral,"[-1.4043048620224, -0.703528881072998, 1.7160223722457886]"
2584,Can we please have a heterosexual leader.  Would that be possible or am I breaking all the taboos again.  I dont care if someone is gay or not.  I care that I am lead by someone is living the average life of most people and views things as the majority would.  George Smitherman is responsible for all the Utility mess and again he is another gay person with an ego.  Enough of this already.,0.833333333,bias,gays,lgbtq,prejudice against gays,neutral,"[-1.4785479307174683, -0.3566035032272339, 1.4071776866912842]"
3286,Then keep them out too. We dont need to import rapists losers welfare leeches South American Marxist priests bathit crazy  European intellectuals Central American MS13 gang members  Muslims looking to make Islam the official religion of America etc. etc. etc....  You and the Pope spend too much time defending Islam. Islam deserves condemnation.,0.6125,bias,muslims,religion,prejudice against muslims,neutral,"[-0.13437040150165558, -0.44391825795173645, 0.33523622155189514]"
2193,How about we reprimand white foreigners who emigrated to South Africa during apartheid ?Dont you think they deserve a few smacks for aiding and abetting apartheid. :,0.5,bias,whites,race,prejudice against whites,neutral,"[-1.2555537223815918, -0.042906783521175385, 0.9256500005722046]"
542,This story highlights what Ive know for years christians are totally screwed in the head and need to be fought at every turn.  They cant even protect THEIR OWN DAUGHTER ... from this religious monster.  Yikes,0.5,bias,christians,religion,prejudice against christians,neutral,"[-1.8253310918807983, 0.22953227162361145, 1.15554940700531]"
1728,Look at what the Jews have contributed to the world: medicinesciencetechnologyeducationmoralityetc. What have the Muslims given us ? Suicide bombing veiled women flying planes into office buildings underage sex etc. The Arabs have a large portion of the world and they can take in their bretheran rather than have Alaska foot the bill.,0.575,bias,muslims,religion,prejudice against muslims,neutral,"[0.04438174515962601, -1.553015947341919, 1.1641103029251099]"
2577,Well thats not very inclusive of Womens bathrooms  The President should decree that all Womens Restrooms receive urinals so as to be more inclusive for the gender confused who just happen to have a penis.,0.2875,neutral,,none,,contradiction,"[3.3986027240753174, -2.782750129699707, -0.5199095606803894]"
1741,Zionists who are against Israel are not Zionists but stinking KAPOs.  They are scum the lowest of the low in bed with the Radical Islamic piece of excrement Barack Hussein.  May they enjoy a VERY short existence on this earth.,0.514285714,bias,muslims,religion,prejudice against muslims,neutral,"[-0.794179379940033, -0.7715044617652893, 1.1526734828948975]"
4089,Nope. They dont.  Bigots are scum.     Even if they manage to get a degree in something they are still scum.  Black. White Brown doesnt matter.    BA BS JD PhD MFA.  GED.  doesnt matter.    They are still scum,0.605633803,neutral,,none,,neutral,"[0.12473633140325546, -0.8213740587234497, 0.4260994791984558]"
3241,One more black lives matter who has lost his way.,0.6,neutral,,none,,contradiction,"[3.3727211952209473, -2.3983154296875, -0.8574517369270325]"
3758,How many Catholic bishops will make a deal with the devil in exchange for an antiabortion Supreme court nominee? What deal? Supporting racist and antiMuslim policies by Trump The Prolife movement associated with the Susan B Anthony group have already doused themselves in the Trump Swamp. They have forever weakened and dirtied their message by glorifying the Pussy Grabber in Chief. Many people who may have been supportive of their work will turn away because of their mindless support of the GOP and a man like T rump.,0.7,neutral,,none,,contradiction,"[3.887197732925415, -2.736083984375, -1.0150206089019775]"
1170,M103 relates to hate speech and to follow up on your comment...  . . . it is important to protect All Canadians from crimes.. not just Muslims..,0.5,bias,"canadians,muslims","race,religion",prejudice against canadians and muslims,neutral,"[-1.288224220275879, 0.29702746868133545, 0.6416370272636414]"
2169,AntiMuslim hate?  Hmm.... I used to support Islam back in the 80s when it was popular to demonize it for abusive attitudes toward women.  I thought that westerners lacked cultural understanding of Islam.  However after many recent years of Islamic terrorists murdering thousands of innocent people I no longer support Islam.  Islamic terrorism is a daily event Russia is soupdejour today I believe.  There are many countries with large Muslim minorities like France how has that been working for you lately?.  There are Muslim countries like Turkey which nightclub do you want to celebrate New Years Eve in?.  I think Islam is a blight.   I think that Islam is a stupid and barbaric religion forever frozen in 7th century violence.  If I said this in a Muslim country I would be murdered.  If I said this in a European country my life would be in danger.  I believe that in Canada I can still safely say what I think.... but for how long?,0.538461538,bias,muslims,religion,prejudice against muslims,neutral,"[-1.5598576068878174, -1.1743409633636475, 2.3504374027252197]"
1143,White media questioning Guptas representing the nation overseas. We know that majority of the mainstream media in this country is owned by white monopoly capital. This is partly the reason why the true corruption taking place in the country committed by whites in designer suits hardly get any media attention,0.5,bias,whites,race,prejudice against whites,neutral,"[-1.1085785627365112, -1.1262781620025635, 1.7956680059432983]"
2020,Horrible child molesting idiot lesbian liar...And those are her good qualities,0.614457831,bias,lesbians,lgbtq,prejudice against lesbians,contradiction,"[0.7130053043365479, -1.1545597314834595, 0.25224432349205017]"
2152,It is not a faith thing  traditionally Arabs looked down on blacks and they were very active in the slave trade.,0.5,bias,"arabs,blacks",race,prejudice against arabs and towards blacks,entailment,"[-1.5699208974838257, 0.9348770976066589, 0.15387380123138428]"
3509,You also see a lot of white people seek out a white doctor lawyer priest real estate agent mechanic music teacher restauranteur etc.  So what?  This lady was rejecting the doctor on duty at a clinic based on hisher race.  This is racist and idiotic.  Is the clinic supposed to have a male and female doctor of every ethnicity on duty at all times?,0.283783784,neutral,,none,,contradiction,"[4.938205718994141, -3.272352933883667, -1.5662721395492554]"
3271,Some day atheists will provide evidence that their nogod doesnt exist. Until then it just seems like another mentally ill club with insane premises to me.,0.6,bias,atheists,religion,prejudice against atheist,neutral,"[-1.5633119344711304, 0.27759847044944763, 0.8618432879447937]"
2965,how dare they take the person most qualified rather than the white male,0.5,bias,whites,race,prejudice against whites,neutral,"[-1.5883179903030396, -0.3893424868583679, 1.5587005615234375]"
1796,Whats ridiculous is women claiming to have any understanding whatsoever of what masculinity is or means to a man. Shall we call it womansplaining?  Thats whats ridiculous.,0.5,bias,women,gender,prejudice against women,neutral,"[-1.5419554710388184, -0.13374891877174377, 1.2909564971923828]"
1133,The reality is that nazis neonazis white supremacists are nothing but scum.  The confederate traitors lost get over it.,0.585714286,bias,"nazis,whites","political,race",nazis and whites are scums,entailment,"[-2.9078896045684814, 3.0982794761657715, -1.0515141487121582]"
4174,After the massacre in Orlando Muslim leaders and gay rights activist exonerated Islam and blamed Trump .,0.5,bias,"muslims,gays","religion,lgbtq",prejudice against muslims and gays,neutral,"[-1.000199794769287, -0.2869819700717926, 0.9438837170600891]"
4042,Cant wait for his next meltdown when someone does his genealogy and he finds out his grandma is Jewish and his greatgranddad is Black.,1.0,neutral,,none,,contradiction,"[4.874657154083252, -2.762519598007202, -1.924028992652893]"
744,Cubans have less class than Mexicans which means they are almost rock bottom.,0.7,bias,"cubans,mexicans",race,prejudice against cubans and mexicans,neutral,"[-1.1563749313354492, -0.22579717636108398, 1.026828646659851]"
385,It WOULD be interesting to know the percentage white males that were killed during routine traffic stops. Or the number of white men lynched in the twentieth century for that matter.,0.833333333,bias,whites,race,prejudice against whites,neutral,"[-1.7554969787597656, -0.12367288023233414, 1.4668264389038086]"
898,Yeah cause zero did so much for the blacks of America.,0.274193548,neutral,,none,,contradiction,"[2.9163694381713867, -2.2567169666290283, -0.6329671144485474]"
1252,Because black on black deaths didnt mean hit...but come hell or high water we stand up against the media hyped race war and will protest.  Wake the flock up sheeple.,0.6,bias,blacks,race,prejudice against blacks,entailment,"[-1.7555869817733765, 0.7925046682357788, 0.5142119526863098]"
1310,Didnt take long to bring up nazis....since you did anyway....here is a little education for you: nazis were rabid anticommunists antisocialists by extension. For ISIS and their followers religion is center pillar.,0.258064516,neutral,,none,,contradiction,"[4.023732662200928, -3.160534143447876, -0.7174492478370667]"
3458,It doesnt get better than when Leftist animals eat their own. I especially enjoy it when one self identified victim group like BLM gets into a game of whosethebiggervictim with another selfidentified victim group like the nonsensical womens march.,0.6,bias,"left wing,women","political,gender",prejudice against lefts and women,neutral,"[-0.7881184816360474, -0.29959288239479065, 0.8624631762504578]"
520,Islam was never a religion of peace it was borne of the sword and so too shall it end.,0.9,bias,muslims,religion,prejudice against muslims,neutral,"[-2.181528329849243, 0.004054372664541006, 1.7641955614089966]"
3152,He doesnt care.  These complacent white animal lovers value animal lives over human lives.  He would rather an entire native village starve than a single whale be killed to feed them.  For all their liberal posturing these people are no less white supremacists than the Arkansas crackers who valued their dogs lives over my familys under Jim Crow.,0.6,bias,whites,race,prejudice against whites,neutral,"[-1.8877474069595337, 0.37728869915008545, 0.995433509349823]"
3126,Yes and no one is more threatening than gays. The Catholic Church is more welcoming of the unrepentant serial rapist than a married homosexual.,0.5,bias,"gays,christians","lgbtq,religion",prejudice against gays and towards christians,contradiction,"[1.0545215606689453, -1.4530868530273438, 0.23619483411312103]"
3834,I dont know why hes so focused on the travel ban we have the birthers the neonazis the white supremacists Russians deplorables evangelicals the holy liars the Real Americans and other problem citizens he needs to be aware of......aoha and enjoy all the Fake News  Fake Facts......lol,0.7,bias,"whites,russians,evangelicals","race,religion",prejudice towards whites and evangelicals,neutral,"[-2.0575180053710938, 0.7233219146728516, 0.8953753709793091]"
2059,Not all Republicans are racists. However they are all collaborators with racists. They are like the good Germans that never asked where did the Jews disappear to? Today they never question why cops kill so many unarmed black  people including children.,0.6,bias,"blacks,jews","race,religion",prejudice against blacks and jews,neutral,"[-1.0459566116333008, -0.18232101202011108, 0.8947004675865173]"
94,lefties or liberals with mental disorders cannot handle the truth.,0.5,bias,liberals,political,prejudice against liberals and lefts,neutral,"[-2.3250579833984375, 0.9283405542373657, 0.9435920119285583]"
938,You sound like a part of our problem not a solution. The slur on gay folks and the Pepe the frog  cartoon showing Trump forcing himself on a blond woman Hilary? give you away. Go spread your hate elsewhere.,0.271428571,neutral,,none,,contradiction,"[4.877835273742676, -2.7753729820251465, -1.8850054740905762]"
2185,Investigators worked through the night to determine what led a truck driver to plow down people on a riverfront bike path near the World Trade Center brandishing air guns and yelling God is great in Arabic  Gee it is POSSIBLE that his actions had SOMETHING to do with his membership in the death cult called islam.....,0.6,bias,muslims,religion,prejudice against muslims,neutral,"[-0.39639678597450256, -1.263615369796753, 1.2681350708007812]"
2786,Im not sure why thinking half of Trump supporters are a basket of deplorables who are racist sexist homophobic xenophobic and Islamophobic makes somebody prejudiced and closed minded. Its simply a statement of fact.,0.5,neutral,,none,,contradiction,"[3.360705852508545, -2.0391156673431396, -1.2428972721099854]"
913,One muslim casualty vs the hundreds and thousands of victims of muslim terrorism this year alone. Darn islamophobia.  I take it you are not including the hundreds of thousands of Muslims bombed back to the Stoneage in the Middle East.,0.6,bias,muslims,religion,prejudice against muslims,entailment,"[-1.9553587436676025, 1.3423104286193848, 0.06073029711842537]"
2404,The DSM once considered homosexuality a mental disorder.   That changed with further understanding.,0.272727273,neutral,,none,,contradiction,"[2.6737897396087646, -3.1111862659454346, 0.3639083206653595]"
3561,What is that to mean? There are Jews in our socalled presidents inner circle. There are Jews on the staff of WSJ. There are Jews who are child molesters. There are Jews who are Catholic Muslim Atheist etc.,0.8,bias,jews,religion,prejudice against jews,neutral,"[0.20755243301391602, -1.401090383529663, 0.8941759467124939]"
1295,In the 50s  Muslim garb would have been assumed to be some obscure order of Catholic nuns.,0.5,bias,"muslims,christians",religion,prejudice against muslims and christians,neutral,"[-0.1511445939540863, -1.5648658275604248, 1.363402009010315]"
3716,Well DC you got me all wrong.  Iodinate hate the Muslims Im terrified of them.  I know that once they are in control I will be forced to convert or die. And since Im a born again Christian Ill have to let them behead me.  And of course the Muslims in Lane Co. behave in a benign manner they are practicing Taqiyya.  And if you dont know what that means then you are just simply ignorant of the facts. So check it out apology not necessary just need educating.,0.605698529,bias,muslims,religion,prejudice against muslims,entailment,"[-1.9653983116149902, 1.5286285877227783, -0.09839873760938644]"
26,Even hate speech is protected do you not know?  White nationalists are rarely satisfied with verbalizing their hatred training every day for putting it into action.,0.6,bias,whites,race,prejudice against whites,neutral,"[-1.014868974685669, -0.7731974720954895, 1.4692003726959229]"
2157,Deport neonazis and white supremacists.,0.657894737,bias,whites,race,prejudice against whites,entailment,"[-1.576326847076416, 0.9110286831855774, 0.2746872007846832]"
4100,What the heck is a pure Republican?  Corrupt Bastards Club?  Take taxpayers money and overseas bank your own?  Bash homosexuals when you have given birth to a homosexual Phyllis Schalfly and Dick Cheney take the nation into two wars Iraq and Afghanistan and rack up 7 trillion?  Support deregulation and bankrupt the nation?  You mean that kind of pure Republicanism?  Tell the truth without red ears.,0.518518519,bias,,lgbtq,,contradiction,"[2.469919443130493, -1.5588592290878296, -0.8375102281570435]"
1463,Why are most conservatives against actual people?  No heart?     Gays shouldnt have any rights Women are too stupid to control their own bodies.  But love the orange toddler,0.608695652,bias,"gays,women","lgbtq,gender",prejudice against gays and women,entailment,"[-1.868367314338684, 0.8071051239967346, 0.58613121509552]"
4158,But you hate Muslims,0.605263158,neutral,,none,,contradiction,"[4.028436660766602, -2.723179578781128, -1.181104063987732]"
871,Pshaw. We know all women are liars and men at least white christian ones dont beat their families. We all know justice is swift and accurate.,0.5,bias,"women,whites,christians","gender,race,religion",prejudice against women and white christians,contradiction,"[2.0923852920532227, -1.4529221057891846, -0.6507856249809265]"
2444,Kudos to the City of Seward for standing up to the dog nazis. I love dogs but I have real problems with a lot of dog people. Some of them are worse than religious fanatics.,0.5,neutral,,none,,contradiction,"[1.4737392663955688, -1.588901400566101, 0.009816245175898075]"
1629,Another one who claims that his fear and loathing of homosexuals is based on Church teaching. As Christ taught us You shall love your neighbor as yourself unless the neighbor is gay. That neighbor shall not be loved.,0.5,bias,"christians,gays","religion,lgbtq",prejudice against christians and towards gays,contradiction,"[0.506257176399231, -0.920118510723114, 0.2741652727127075]"
3063,A self loathing white male. The most useless form of humanity of the planet.,0.514285714,bias,whites,race,prejudice against whites,neutral,"[-2.2247281074523926, 0.60065758228302, 1.1444135904312134]"
1323,A little bit of a Leprechaun in his Irish genes.,0.8,neutral,,none,,contradiction,"[3.0191798210144043, -2.4669666290283203, -0.49514806270599365]"
4,Another Muslim commits a terrorist act and democrats will once again blame the NRA. NYC New Jersey Minnesota Orlando San Bernardino. Get it yet?,0.5,bias,muslims,religion,prejudice against muslims,neutral,"[-0.9954968094825745, -0.0055012390948832035, 0.6282382011413574]"
2655,I caught that also Peter. Benito Amilcare Andrea Mussolini was an Italian politician journalist and leader of the National Fascist Party ruling the country as Prime Minister from 1922 to 1943. Fascist Party. But I am seeing a lot of people trying to blame everything on the altleft. BTW altright is too cute of a name for white supremacists.,0.5,bias,whites,race,prejudice against whites,neutral,"[-1.0092769861221313, -1.056996464729309, 1.7027109861373901]"
4002,Propaganda of homosexuality should be forbidden.,0.6,bias,lgbtq,lgbtq,prejudice against lgbtq,neutral,"[-1.5011123418807983, 0.07750362157821655, 1.0008130073547363]"
159,Right. Lets give more money to the Catholic school system. Maybe the pedophile priests and bishops will use condoms from now on when they sexually molest innocent little boys. The pedophiles all belong in jail.,0.5,bias,christians,religion,prejudice against christians,neutral,"[-0.10323267430067062, -1.9433865547180176, 1.628363013267517]"
916,trump is a racist and bigot.  he tried to undermine Obama citizenship he dislikes muslims blacks and other minorities and made denigrating remarks against the muslim mayor.  had the mayor been white he would not have made those comments.  he hired an outwardly racist AG in sessions etc.  he did not rent to blacks in their apartments in NYC. etc.,0.5125,neutral,,none,,contradiction,"[4.394067287445068, -2.682931661605835, -1.5539076328277588]"
2973,WOHLESS COMMENT from an mental ill women. Go back on your meds and stop embarrassing yourself with your gross ignorance.,0.257142857,neutral,,none,,contradiction,"[2.4212255477905273, -2.51648211479187, -0.10025373101234436]"
2519,when will this loser go away and take the muslim with you.,0.85371179,bias,muslims,religion,prejudice against muslims,neutral,"[-1.0947378873825073, -0.2789050042629242, 0.9963569641113281]"
1961,The new law which ludicrously requires transgender people to use the restroom consistent with the sex on their birth certificates  Yeah how dare we ask people to use the bathroom that fits their sex   How ludicrous ,0.8,bias,transgenders,lgbtq,prejudice against transgenders,neutral,"[-1.6648811101913452, -0.4603600800037384, 1.6803408861160278]"
474,You boys just keep forgetting that the worst terrorist attack except 911 was committed by a white native born American.,0.6,bias,whites,race,prejudice against whites,neutral,"[-1.2863060235977173, -0.7519006729125977, 1.64659583568573]"
1973,Funny that you havent mentioned the Viagra or the cigarettes they used to pass out only the transgender.,0.5,bias,transgenders,lgbtq,prejudiced against transgenders,neutral,"[0.09275351464748383, -1.2483471632003784, 0.9428999423980713]"
645,You dont see conservatives stepping on the American flag you dont see conservative telling everyone how bad and racist American is. Look in the mirror bud,0.263888889,neutral,,none,,neutral,"[-0.23364391922950745, -0.5942837595939636, 0.5118916034698486]"
701,Maybe Canadian border guards should turn back a couple of white Americans and listen to them scream.,0.5,bias,"canadians,whites",race,prejudice towards canadians and whites,neutral,"[-1.5227737426757812, 0.07618169486522675, 1.0745127201080322]"
3981,SO MUCH WINNING BY NIKKI HALEY  shes going to make a great first woman president sorry Hillary but no one likes you but everyone likes Nikki Haley plus shes way better looking and not a lesbian :o,0.6,bias,lesbians,lgbtq,prejudice against lesbians,neutral,"[-1.1351287364959717, -1.0133135318756104, 1.7003002166748047]"
566,Oh dont even dare mention the untouchables to her. She will just blame white people for that.,0.7,bias,whites,race,prejudice against whites,entailment,"[-2.523754596710205, 1.017020583152771, 1.0025020837783813]"
1030,So the Globe is starting again with these poor Muslim articles?  Last years 100 articles werent enough?,0.5,bias,muslims,religion,prejudice against muslims,neutral,"[-1.0160220861434937, -1.3266441822052002, 1.9191055297851562]"
1051,Another Muslim jerk amazing how Alaska has changed in the past 30 yrs. or so look all low lifes that are allowed to come here and comment murder but thats okay. we have a house full of jerks sitting in Juneau allowing this to happen.,0.78125,bias,muslims,religion,prejudice against muslims,neutral,"[-1.374161720275879, -0.42144960165023804, 1.3952970504760742]"
3893,The leaked 300 dollar story and now this are softening up propaganda pieces so that when it rises only a relatively smaller amount useful idiot Canadians will be suckered into believing they got a deal.    When will Canadians wake to the propaganda tactics and fake news around climate change? .,0.9,bias,canadians,political,prejudice against canadians,neutral,"[-0.9443418979644775, -1.2308846712112427, 1.7119395732879639]"
1352,Why are Mexicans always stabbing and shooting each other?,0.528571429,bias,mexicans,race,prejudice against mexicans,neutral,"[-1.9228965044021606, 0.011692674830555916, 1.484879493713379]"
2171,Black of course... These people dont belong in a civil society. They should be repatriated with the African continent so they can behave like savages and be comfortable hacking each other to death with machetes.,0.909580194,bias,blacks,race,prejudice against blacks,neutral,"[-2.488701820373535, 0.9920912384986877, 1.0299993753433228]"
4322,I dont think Asians are more resourceful than Africans is the correct diagnosis.  Asia had a very different set of conditions in place before any colonialism which meant it was better placed to  rebound afterwards.,0.5,bias,"asians,africans",race,prejudice against asians and africans,neutral,"[-1.1172562837600708, -0.46206948161125183, 1.1888004541397095]"
3466,It would have been fact if she said ...no deadly Islamic terrorist attacks... and not simply no deadly terrorist attacks.  Shes so stupid she doesnt even recognize this.,0.257575758,bias,muslims,religion,prejudice against muslims,neutral,"[-2.2737674713134766, -0.5580400824546814, 2.4656150341033936]"
1735,Populism defeated.... Now they deserve all the muslims they can get in their small country. Yeehaa....long live muslim Netherland...,0.6,bias,muslims,religion,prejudice against muslims,contradiction,"[0.39193934202194214, -0.8270859122276306, 0.305216521024704]"
1647,No  doubting is fine like I said. Denigrating lying about and calling the President every name in the book isnt. Whereas Obama is doubted by many he was never called names by any even though patriots thought of many. You guys keep harping about him grabbing women back when he was in show biz. Where sleeping your way to the top and the casting couch was what it was.  You might not know it but Muslims have been killing each other for a thousand years because each other sees the other as an infidel worthy only of death. Now they are targeting Europe who gave them refuge. Now they are targeting us as well. You probably dont even know what  Taqiyya is.  But if Hillary had won we would be in serious trouble. The millions of unveiled immigrants would be infiltrated by as much as 10 20. Were talking hundreds of thousands fundamentalist Muslims who want to get to paradise and be rewarded with 100 virgins.But lets say only 1000 got thru  killed 5 apiece. Is that acceptable?,0.7,bias,muslims,religion,prejudice against muslims,neutral,"[-0.7401266098022461, 0.007958644069731236, 0.37987586855888367]"
2553,Yep.  Better to say negro.,0.5375,bias,blacks,race,prejudice against blacks,neutral,"[-0.2209438532590866, -1.1010161638259888, 1.0086692571640015]"
3268,This case is not an example of white mans sex abuses of natives but of natives abuses of a white man for profit.,0.6,bias,"whites,men","race,gender",prejudice against white man,neutral,"[-1.6272902488708496, -0.3950459361076355, 1.629418969154358]"
3059,Kid Rock is a redneck like Rachel Dolezal is a black women.,0.5,neutral,,none,,contradiction,"[3.3598949909210205, -2.191093921661377, -1.0586823225021362]"
3588,He escaped the barbarity of extremists and he and his family are well integrated liberal Muslims and success stories.  He should be an excellent role model for Somali and Muslim youth.  I will reserve judgement until I see what he does.,0.6,bias,muslims,religion,prejudice against muslims,neutral,"[-1.274062991142273, -0.5797104239463806, 1.4481401443481445]"
4239,Black folks built this nation and got lynching for the work. Heck white folks can be so mean that when they lost their slaves they invited illegal Mexican immigrants to do the work black slaves use to do.,0.8125,bias,"whites,blacks,mexicans",race,"prejudice against whites,blacks and mexicans",entailment,"[-1.7353776693344116, 0.892400860786438, 0.3988000452518463]"
3698,When is the protests against black violence? It maims kills and terrorizes infinitely more blacks then anything else.,0.5,bias,blacks,race,prejudice against blacks,neutral,"[-1.4545307159423828, 0.23345734179019928, 0.8331926465034485]"
991,Wiliki seriously are you allergic to the truth?     The Bible clearly says homosexuality is an abomination.,0.6625,bias,christians,religion,prejudice against christians,neutral,"[-2.261169910430908, 0.18753281235694885, 1.6866320371627808]"
2030,ahhh...poor muslims. things are so much better in islamic countries where they MUST bury their dead according to the state religion. A quick question do the dead virgins get priority shipping to meet the pressing needs of the arab boogie woogie sky wizard and his male devotees ? Islam is a dangerous myth.,0.77159172,bias,muslims,religion,prejudice against muslims,neutral,"[-1.4309390783309937, -0.6632541418075562, 1.6387324333190918]"
1840,This man is such a piece of garbage.   Can you IMAGINE the right wing poutrage if the first black president had done even half of what this clown does?,0.263888889,neutral,,none,,contradiction,"[3.999992847442627, -2.6974565982818604, -1.1786165237426758]"
524,Closet Gay Monarchists who practise birth control? No wonder they are spriit deficient.,0.71875,bias,gays,lgbtq,prejudice against gays,neutral,"[-1.240372896194458, -0.054062165319919586, 0.9292702078819275]"
2769,Why is President Barack Obama the worst president twosail?  Because hes black?,0.5,bias,blacks,race,prejudice against blacks,neutral,"[-1.7254958152770996, 0.3327255845069885, 0.9590843915939331]"
172,Rubbish. Never buy Chinese because its garbage.,0.858049625,bias,chinese,race,prejudice against chinese,neutral,"[-1.9227806329727173, -0.4621899724006653, 1.9596757888793945]"
1885,Yea he does...Liberals democrats Jihadi terrorists whats the difference? there is none They are all the same. they want us dead kill your enemies before they kill you which we now have a mandate to do. Islam has proven that they cannot even live with each other peacefully the only solution is to rid them for a peaceful earth...the end,0.5,bias,"liberals,democrates,muslims","political,religion","prejudice against liberals,democrats,muslims",neutral,"[-1.496100902557373, -0.47200697660446167, 1.4881662130355835]"
1804,Quite a funny post on many levels.  On one hand funny because it implies the immigrant population is committing sexual assaults on swedish women on the other had funny because it trivializes the very crime and its victims.  And thus we see the life of the laity involves mocking victims pretending to be concerned about crime but trivializing it.  Truly you are a Christian and act consistently with the teachings of Jesus Christ as interpreted by the Theology of the One True Church.,0.833333333,neutral,,none,,contradiction,"[2.3812975883483887, -2.5930981636047363, 0.13069576025009155]"
