,comment_text,identity_attack_x,bias,target,category,rationale,predicted_label,predicted_scores
3786,no doubt but what good does only my understanding do if the races commitin the crimes wont bother trying to understand and work either? you think Im racist and to a degree ill give you credit but it is only because of the black people Ive met and known. Only 10 of 100 I know would I introduce to my friends and family the others belong in halfway houses. The first people to beg me to help them steal with them were black the first con on the run I met was black the first person to admit to me he stole all the food he ever ate in this state was black. The first people I know to kill and be killed over a pair of shoes were both black. And lastly the first bank robbers of the year at this spot were black Grow up in all ways,0.8,bias,blacks,race,blacks are thieves,entailment,"[-1.193535327911377, 1.5991811752319336, -0.14445383846759796]"
3108,when Oregonians thankfully overwhelmingly rejected it.  Oregonians rejected it and thats a good thing but its mitigated a bit by the fact the Oregon also made it illegal for blacks to be in the state punishable by a public whipping 39 lashes every six months until they left.  That is the primary reason why Oregon is one of the whitest states in the nation.,0.7,neutral,,none,,contradiction,"[3.851106882095337, -0.4480500817298889, -2.8545103073120117]"
2211,People cant create a chaotic situation and then act innocent when a helicopter needs to be called in.  The protestors had a legal permit to be there.  Lobbing concrete filled bottles and assaulting people is not a way to deal with uncomfortable opinions.  Some selfreflection is required from everyone involved  not just evil white nationalists.,1.0,bias,whites,race,prejudice against wwhites,entailment,"[-1.1332411766052246, 1.5490748882293701, 0.34239262342453003]"
1799,Ya its the white guys fault.,0.8,bias,whites,race,prejudice towards whites,entailment,"[-1.5382850170135498, 2.403563976287842, 0.2221396118402481]"
2656,How about the teacher I once worked with that told a group of 6th graders that gays are all hellbound pedophiles.  I bet youre OK with that though.,0.525,neutral,,none,,contradiction,"[5.9594502449035645, -2.1340370178222656, -3.644429922103882]"
458,proud boys are really just a bunch of gay boys.,0.685714286,bias,gays,lgbtq,prejudice against gays,entailment,"[1.1282129287719727, 1.3953551054000854, -1.9866943359375]"
1876,Very interesting ... What will Trump do next? Ban all Muslim?,0.833333333,neutral,,none,,contradiction,"[4.783109188079834, -0.786238431930542, -3.557637929916382]"
262,Move on people nothing to see. By the end of the day the MSM will blame this on Trump and white supremacists. What where they thinking putting a statue of a Basque separatist in the middle of La Ramblas.,0.5,bias,whites,race,prejudice against whites,entailment,"[-1.5182807445526123, 1.6204071044921875, 0.20393097400665283]"
2584,Can we please have a heterosexual leader.  Would that be possible or am I breaking all the taboos again.  I dont care if someone is gay or not.  I care that I am lead by someone is living the average life of most people and views things as the majority would.  George Smitherman is responsible for all the Utility mess and again he is another gay person with an ego.  Enough of this already.,0.833333333,bias,gays,lgbtq,prejudice against gays,entailment,"[-0.5431950688362122, 0.8153796792030334, 0.17388254404067993]"
3286,Then keep them out too. We dont need to import rapists losers welfare leeches South American Marxist priests bathit crazy  European intellectuals Central American MS13 gang members  Muslims looking to make Islam the official religion of America etc. etc. etc....  You and the Pope spend too much time defending Islam. Islam deserves condemnation.,0.6125,bias,muslims,religion,prejudice against muslims,neutral,"[-1.6863501071929932, 0.883812427520752, 0.9875150918960571]"
2193,How about we reprimand white foreigners who emigrated to South Africa during apartheid ?Dont you think they deserve a few smacks for aiding and abetting apartheid. :,0.5,bias,whites,race,prejudice against whites,entailment,"[-0.1647515892982483, 1.0753766298294067, -0.36198917031288147]"
542,This story highlights what Ive know for years christians are totally screwed in the head and need to be fought at every turn.  They cant even protect THEIR OWN DAUGHTER ... from this religious monster.  Yikes,0.5,bias,christians,religion,prejudice against christians,entailment,"[-1.6761949062347412, 1.6550425291061401, 0.5492690205574036]"
1728,Look at what the Jews have contributed to the world: medicinesciencetechnologyeducationmoralityetc. What have the Muslims given us ? Suicide bombing veiled women flying planes into office buildings underage sex etc. The Arabs have a large portion of the world and they can take in their bretheran rather than have Alaska foot the bill.,0.575,bias,muslims,religion,prejudice against muslims,entailment,"[0.004668839741498232, 1.4705286026000977, -0.5703490972518921]"
2577,Well thats not very inclusive of Womens bathrooms  The President should decree that all Womens Restrooms receive urinals so as to be more inclusive for the gender confused who just happen to have a penis.,0.2875,neutral,,none,,contradiction,"[4.627969741821289, -1.0716763734817505, -2.8626317977905273]"
1741,Zionists who are against Israel are not Zionists but stinking KAPOs.  They are scum the lowest of the low in bed with the Radical Islamic piece of excrement Barack Hussein.  May they enjoy a VERY short existence on this earth.,0.514285714,bias,muslims,religion,prejudice against muslims,entailment,"[-0.9123006463050842, 1.2858961820602417, -0.016687020659446716]"
4089,Nope. They dont.  Bigots are scum.     Even if they manage to get a degree in something they are still scum.  Black. White Brown doesnt matter.    BA BS JD PhD MFA.  GED.  doesnt matter.    They are still scum,0.605633803,neutral,,none,,contradiction,"[4.050581932067871, -1.0684853792190552, -2.460397481918335]"
3241,One more black lives matter who has lost his way.,0.6,neutral,,none,,contradiction,"[4.9834113121032715, -0.6848978996276855, -3.549668312072754]"
3758,How many Catholic bishops will make a deal with the devil in exchange for an antiabortion Supreme court nominee? What deal? Supporting racist and antiMuslim policies by Trump The Prolife movement associated with the Susan B Anthony group have already doused themselves in the Trump Swamp. They have forever weakened and dirtied their message by glorifying the Pussy Grabber in Chief. Many people who may have been supportive of their work will turn away because of their mindless support of the GOP and a man like T rump.,0.7,neutral,,none,,contradiction,"[4.055796146392822, -0.5661726593971252, -2.6071789264678955]"
1170,M103 relates to hate speech and to follow up on your comment...  . . . it is important to protect All Canadians from crimes.. not just Muslims..,0.5,bias,"canadians,muslims","race,religion",prejudice against canadians and muslims,neutral,"[-1.242067575454712, 0.9521356225013733, 1.0406148433685303]"
2169,AntiMuslim hate?  Hmm.... I used to support Islam back in the 80s when it was popular to demonize it for abusive attitudes toward women.  I thought that westerners lacked cultural understanding of Islam.  However after many recent years of Islamic terrorists murdering thousands of innocent people I no longer support Islam.  Islamic terrorism is a daily event Russia is soupdejour today I believe.  There are many countries with large Muslim minorities like France how has that been working for you lately?.  There are Muslim countries like Turkey which nightclub do you want to celebrate New Years Eve in?.  I think Islam is a blight.   I think that Islam is a stupid and barbaric religion forever frozen in 7th century violence.  If I said this in a Muslim country I would be murdered.  If I said this in a European country my life would be in danger.  I believe that in Canada I can still safely say what I think.... but for how long?,0.538461538,bias,muslims,religion,prejudice against muslims,neutral,"[-1.3050296306610107, 0.16483139991760254, 1.3901853561401367]"
1143,White media questioning Guptas representing the nation overseas. We know that majority of the mainstream media in this country is owned by white monopoly capital. This is partly the reason why the true corruption taking place in the country committed by whites in designer suits hardly get any media attention,0.5,bias,whites,race,prejudice against whites,entailment,"[-1.5834522247314453, 2.808291435241699, -0.25447019934654236]"
2020,Horrible child molesting idiot lesbian liar...And those are her good qualities,0.614457831,bias,lesbians,lgbtq,prejudice against lesbians,entailment,"[0.03110140562057495, 1.466564655303955, -0.9339526891708374]"
2152,It is not a faith thing  traditionally Arabs looked down on blacks and they were very active in the slave trade.,0.5,bias,"arabs,blacks",race,prejudice against arabs and towards blacks,entailment,"[-2.0390684604644775, 1.9111913442611694, 1.177095651626587]"
3509,You also see a lot of white people seek out a white doctor lawyer priest real estate agent mechanic music teacher restauranteur etc.  So what?  This lady was rejecting the doctor on duty at a clinic based on hisher race.  This is racist and idiotic.  Is the clinic supposed to have a male and female doctor of every ethnicity on duty at all times?,0.283783784,neutral,,none,,contradiction,"[5.819842338562012, -2.256223201751709, -3.091005325317383]"
3271,Some day atheists will provide evidence that their nogod doesnt exist. Until then it just seems like another mentally ill club with insane premises to me.,0.6,bias,atheists,religion,prejudice against atheist,entailment,"[-1.5721309185028076, 2.0324292182922363, 0.6475201845169067]"
2965,how dare they take the person most qualified rather than the white male,0.5,bias,whites,race,prejudice against whites,entailment,"[-1.2927417755126953, 1.85965096950531, -0.25865164399147034]"
1796,Whats ridiculous is women claiming to have any understanding whatsoever of what masculinity is or means to a man. Shall we call it womansplaining?  Thats whats ridiculous.,0.5,bias,women,gender,prejudice against women,entailment,"[-1.1778666973114014, 2.1826353073120117, -0.8560560345649719]"
1133,The reality is that nazis neonazis white supremacists are nothing but scum.  The confederate traitors lost get over it.,0.585714286,bias,"nazis,whites","political,race",nazis and whites are scums,neutral,"[-3.716599464416504, 0.4661421477794647, 3.078709363937378]"
4174,After the massacre in Orlando Muslim leaders and gay rights activist exonerated Islam and blamed Trump .,0.5,bias,"muslims,gays","religion,lgbtq",prejudice against muslims and gays,entailment,"[0.030452687293291092, 1.182070255279541, -0.10561354458332062]"
4042,Cant wait for his next meltdown when someone does his genealogy and he finds out his grandma is Jewish and his greatgranddad is Black.,1.0,neutral,,none,,contradiction,"[5.5095624923706055, -1.4868704080581665, -3.7230374813079834]"
744,Cubans have less class than Mexicans which means they are almost rock bottom.,0.7,bias,"cubans,mexicans",race,prejudice against cubans and mexicans,entailment,"[-1.8135898113250732, 3.1081089973449707, -0.06999881565570831]"
385,It WOULD be interesting to know the percentage white males that were killed during routine traffic stops. Or the number of white men lynched in the twentieth century for that matter.,0.833333333,bias,whites,race,prejudice against whites,entailment,"[-1.7988879680633545, 2.303351879119873, -0.0772090032696724]"
898,Yeah cause zero did so much for the blacks of America.,0.274193548,neutral,,none,,contradiction,"[4.117222309112549, -0.19411084055900574, -3.1637988090515137]"
1252,Because black on black deaths didnt mean hit...but come hell or high water we stand up against the media hyped race war and will protest.  Wake the flock up sheeple.,0.6,bias,blacks,race,prejudice against blacks,neutral,"[-1.7405693531036377, 0.9557099938392639, 1.2216460704803467]"
1310,Didnt take long to bring up nazis....since you did anyway....here is a little education for you: nazis were rabid anticommunists antisocialists by extension. For ISIS and their followers religion is center pillar.,0.258064516,neutral,,none,,contradiction,"[5.539961814880371, -0.7310210466384888, -4.278275966644287]"
3458,It doesnt get better than when Leftist animals eat their own. I especially enjoy it when one self identified victim group like BLM gets into a game of whosethebiggervictim with another selfidentified victim group like the nonsensical womens march.,0.6,bias,"left wing,women","political,gender",prejudice against lefts and women,entailment,"[-1.7183122634887695, 1.720445990562439, 0.808645486831665]"
520,Islam was never a religion of peace it was borne of the sword and so too shall it end.,0.9,bias,muslims,religion,prejudice against muslims,entailment,"[-0.8074896335601807, 2.3669495582580566, -0.458284467458725]"
3152,He doesnt care.  These complacent white animal lovers value animal lives over human lives.  He would rather an entire native village starve than a single whale be killed to feed them.  For all their liberal posturing these people are no less white supremacists than the Arkansas crackers who valued their dogs lives over my familys under Jim Crow.,0.6,bias,whites,race,prejudice against whites,entailment,"[-1.2129266262054443, 0.9491190910339355, 0.6859423518180847]"
3126,Yes and no one is more threatening than gays. The Catholic Church is more welcoming of the unrepentant serial rapist than a married homosexual.,0.5,bias,"gays,christians","lgbtq,religion",prejudice against gays and towards christians,entailment,"[-1.456540584564209, 2.0807700157165527, -0.000494720006827265]"
3834,I dont know why hes so focused on the travel ban we have the birthers the neonazis the white supremacists Russians deplorables evangelicals the holy liars the Real Americans and other problem citizens he needs to be aware of......aoha and enjoy all the Fake News  Fake Facts......lol,0.7,bias,"whites,russians,evangelicals","race,religion",prejudice towards whites and evangelicals,entailment,"[-0.11207406222820282, 1.3296844959259033, 0.19064274430274963]"
2059,Not all Republicans are racists. However they are all collaborators with racists. They are like the good Germans that never asked where did the Jews disappear to? Today they never question why cops kill so many unarmed black  people including children.,0.6,bias,"blacks,jews","race,religion",prejudice against blacks and jews,entailment,"[-2.1736900806427, 1.3884234428405762, 1.0427331924438477]"
94,lefties or liberals with mental disorders cannot handle the truth.,0.5,bias,liberals,political,prejudice against liberals and lefts,entailment,"[-1.9477150440216064, 1.545703411102295, 1.1761529445648193]"
938,You sound like a part of our problem not a solution. The slur on gay folks and the Pepe the frog  cartoon showing Trump forcing himself on a blond woman Hilary? give you away. Go spread your hate elsewhere.,0.271428571,neutral,,none,,contradiction,"[5.9970903396606445, -1.997685194015503, -3.6567983627319336]"
2185,Investigators worked through the night to determine what led a truck driver to plow down people on a riverfront bike path near the World Trade Center brandishing air guns and yelling God is great in Arabic  Gee it is POSSIBLE that his actions had SOMETHING to do with his membership in the death cult called islam.....,0.6,bias,muslims,religion,prejudice against muslims,entailment,"[0.37982377409935, 1.8017576932907104, -1.5404160022735596]"
2786,Im not sure why thinking half of Trump supporters are a basket of deplorables who are racist sexist homophobic xenophobic and Islamophobic makes somebody prejudiced and closed minded. Its simply a statement of fact.,0.5,neutral,,none,,contradiction,"[2.9339118003845215, -0.6061858534812927, -2.0358729362487793]"
913,One muslim casualty vs the hundreds and thousands of victims of muslim terrorism this year alone. Darn islamophobia.  I take it you are not including the hundreds of thousands of Muslims bombed back to the Stoneage in the Middle East.,0.6,bias,muslims,religion,prejudice against muslims,neutral,"[-2.0794386863708496, -0.23704157769680023, 2.8533825874328613]"
2404,The DSM once considered homosexuality a mental disorder.   That changed with further understanding.,0.272727273,neutral,,none,,contradiction,"[4.103159427642822, -0.4704339802265167, -3.0626659393310547]"
3561,What is that to mean? There are Jews in our socalled presidents inner circle. There are Jews on the staff of WSJ. There are Jews who are child molesters. There are Jews who are Catholic Muslim Atheist etc.,0.8,bias,jews,religion,prejudice against jews,entailment,"[-0.38357776403427124, 1.210714340209961, -0.5806559920310974]"
1295,In the 50s  Muslim garb would have been assumed to be some obscure order of Catholic nuns.,0.5,bias,"muslims,christians",religion,prejudice against muslims and christians,entailment,"[-0.23036150634288788, 1.9571378231048584, -0.8277564644813538]"
3716,Well DC you got me all wrong.  Iodinate hate the Muslims Im terrified of them.  I know that once they are in control I will be forced to convert or die. And since Im a born again Christian Ill have to let them behead me.  And of course the Muslims in Lane Co. behave in a benign manner they are practicing Taqiyya.  And if you dont know what that means then you are just simply ignorant of the facts. So check it out apology not necessary just need educating.,0.605698529,bias,muslims,religion,prejudice against muslims,neutral,"[-1.937436580657959, 0.6319429278373718, 2.197446346282959]"
26,Even hate speech is protected do you not know?  White nationalists are rarely satisfied with verbalizing their hatred training every day for putting it into action.,0.6,bias,whites,race,prejudice against whites,entailment,"[-2.107527256011963, 1.4983769655227661, 1.3431141376495361]"
2157,Deport neonazis and white supremacists.,0.657894737,bias,whites,race,prejudice against whites,neutral,"[-1.499997854232788, 0.42825382947921753, 1.577049970626831]"
4100,What the heck is a pure Republican?  Corrupt Bastards Club?  Take taxpayers money and overseas bank your own?  Bash homosexuals when you have given birth to a homosexual Phyllis Schalfly and Dick Cheney take the nation into two wars Iraq and Afghanistan and rack up 7 trillion?  Support deregulation and bankrupt the nation?  You mean that kind of pure Republicanism?  Tell the truth without red ears.,0.518518519,bias,,lgbtq,,entailment,"[-0.2503698170185089, 0.43202105164527893, -0.00978838000446558]"
1463,Why are most conservatives against actual people?  No heart?     Gays shouldnt have any rights Women are too stupid to control their own bodies.  But love the orange toddler,0.608695652,bias,"gays,women","lgbtq,gender",prejudice against gays and women,neutral,"[-2.8602042198181152, 0.11872977763414383, 2.839181900024414]"
4158,But you hate Muslims,0.605263158,neutral,,none,,contradiction,"[5.615328311920166, -1.6683586835861206, -3.4970879554748535]"
871,Pshaw. We know all women are liars and men at least white christian ones dont beat their families. We all know justice is swift and accurate.,0.5,bias,"women,whites,christians","gender,race,religion",prejudice against women and white christians,entailment,"[-0.5083414912223816, 0.8127748370170593, 0.32088416814804077]"
2444,Kudos to the City of Seward for standing up to the dog nazis. I love dogs but I have real problems with a lot of dog people. Some of them are worse than religious fanatics.,0.5,neutral,,none,,contradiction,"[3.634049415588379, 0.1054767593741417, -2.907134532928467]"
1629,Another one who claims that his fear and loathing of homosexuals is based on Church teaching. As Christ taught us You shall love your neighbor as yourself unless the neighbor is gay. That neighbor shall not be loved.,0.5,bias,"christians,gays","religion,lgbtq",prejudice against christians and towards gays,entailment,"[-0.9443413615226746, 1.5744789838790894, 0.26643192768096924]"
3063,A self loathing white male. The most useless form of humanity of the planet.,0.514285714,bias,whites,race,prejudice against whites,neutral,"[-2.7445223331451416, 1.2354414463043213, 1.655388355255127]"
1323,A little bit of a Leprechaun in his Irish genes.,0.8,neutral,,none,,contradiction,"[4.511741638183594, 0.15641450881958008, -4.015487194061279]"
4,Another Muslim commits a terrorist act and democrats will once again blame the NRA. NYC New Jersey Minnesota Orlando San Bernardino. Get it yet?,0.5,bias,muslims,religion,prejudice against muslims,entailment,"[-0.4473322331905365, 1.3682681322097778, -0.10227159410715103]"
2655,I caught that also Peter. Benito Amilcare Andrea Mussolini was an Italian politician journalist and leader of the National Fascist Party ruling the country as Prime Minister from 1922 to 1943. Fascist Party. But I am seeing a lot of people trying to blame everything on the altleft. BTW altright is too cute of a name for white supremacists.,0.5,bias,whites,race,prejudice against whites,entailment,"[-1.0744824409484863, 1.714719533920288, 0.23819176852703094]"
4002,Propaganda of homosexuality should be forbidden.,0.6,bias,lgbtq,lgbtq,prejudice against lgbtq,neutral,"[-1.744767665863037, 0.900030255317688, 1.585179328918457]"
159,Right. Lets give more money to the Catholic school system. Maybe the pedophile priests and bishops will use condoms from now on when they sexually molest innocent little boys. The pedophiles all belong in jail.,0.5,bias,christians,religion,prejudice against christians,entailment,"[-0.14156657457351685, 1.0268326997756958, -0.7254912853240967]"
916,trump is a racist and bigot.  he tried to undermine Obama citizenship he dislikes muslims blacks and other minorities and made denigrating remarks against the muslim mayor.  had the mayor been white he would not have made those comments.  he hired an outwardly racist AG in sessions etc.  he did not rent to blacks in their apartments in NYC. etc.,0.5125,neutral,,none,,contradiction,"[5.543844699859619, -2.141362190246582, -2.885791778564453]"
2973,WOHLESS COMMENT from an mental ill women. Go back on your meds and stop embarrassing yourself with your gross ignorance.,0.257142857,neutral,,none,,contradiction,"[3.3729043006896973, 0.13426804542541504, -3.0227456092834473]"
2519,when will this loser go away and take the muslim with you.,0.85371179,bias,muslims,religion,prejudice against muslims,entailment,"[-1.2369904518127441, 1.244625210762024, 0.6337084174156189]"
1961,The new law which ludicrously requires transgender people to use the restroom consistent with the sex on their birth certificates  Yeah how dare we ask people to use the bathroom that fits their sex   How ludicrous ,0.8,bias,transgenders,lgbtq,prejudice against transgenders,entailment,"[-1.9033775329589844, 1.734236717224121, 0.4284932315349579]"
474,You boys just keep forgetting that the worst terrorist attack except 911 was committed by a white native born American.,0.6,bias,whites,race,prejudice against whites,entailment,"[0.05519356578588486, 2.2310991287231445, -1.4535865783691406]"
1973,Funny that you havent mentioned the Viagra or the cigarettes they used to pass out only the transgender.,0.5,bias,transgenders,lgbtq,prejudiced against transgenders,entailment,"[0.361192524433136, 1.4733362197875977, -1.4823739528656006]"
645,You dont see conservatives stepping on the American flag you dont see conservative telling everyone how bad and racist American is. Look in the mirror bud,0.263888889,neutral,,none,,contradiction,"[1.8670563697814941, 0.049189385026693344, -1.6810283660888672]"
701,Maybe Canadian border guards should turn back a couple of white Americans and listen to them scream.,0.5,bias,"canadians,whites",race,prejudice towards canadians and whites,entailment,"[-0.2118241935968399, 2.00581693649292, -0.8515170216560364]"
3981,SO MUCH WINNING BY NIKKI HALEY  shes going to make a great first woman president sorry Hillary but no one likes you but everyone likes Nikki Haley plus shes way better looking and not a lesbian :o,0.6,bias,lesbians,lgbtq,prejudice against lesbians,entailment,"[-1.9079294204711914, 2.9418582916259766, -0.5809745788574219]"
566,Oh dont even dare mention the untouchables to her. She will just blame white people for that.,0.7,bias,whites,race,prejudice against whites,entailment,"[-1.7866225242614746, 1.5943751335144043, 1.0011603832244873]"
1030,So the Globe is starting again with these poor Muslim articles?  Last years 100 articles werent enough?,0.5,bias,muslims,religion,prejudice against muslims,entailment,"[-1.717050552368164, 2.1609268188476562, 0.02739858068525791]"
1051,Another Muslim jerk amazing how Alaska has changed in the past 30 yrs. or so look all low lifes that are allowed to come here and comment murder but thats okay. we have a house full of jerks sitting in Juneau allowing this to happen.,0.78125,bias,muslims,religion,prejudice against muslims,entailment,"[-1.0398731231689453, 1.548200011253357, 0.0781264677643776]"
3893,The leaked 300 dollar story and now this are softening up propaganda pieces so that when it rises only a relatively smaller amount useful idiot Canadians will be suckered into believing they got a deal.    When will Canadians wake to the propaganda tactics and fake news around climate change? .,0.9,bias,canadians,political,prejudice against canadians,entailment,"[0.8693891763687134, 1.736115574836731, -1.3303248882293701]"
1352,Why are Mexicans always stabbing and shooting each other?,0.528571429,bias,mexicans,race,prejudice against mexicans,entailment,"[-1.3203191757202148, 2.162351608276367, 0.25859856605529785]"
2171,Black of course... These people dont belong in a civil society. They should be repatriated with the African continent so they can behave like savages and be comfortable hacking each other to death with machetes.,0.909580194,bias,blacks,race,prejudice against blacks,entailment,"[-1.5491678714752197, 1.2399606704711914, 0.9462251663208008]"
4322,I dont think Asians are more resourceful than Africans is the correct diagnosis.  Asia had a very different set of conditions in place before any colonialism which meant it was better placed to  rebound afterwards.,0.5,bias,"asians,africans",race,prejudice against asians and africans,entailment,"[0.5365539789199829, 1.7771034240722656, -1.2384419441223145]"
3466,It would have been fact if she said ...no deadly Islamic terrorist attacks... and not simply no deadly terrorist attacks.  Shes so stupid she doesnt even recognize this.,0.257575758,bias,muslims,religion,prejudice against muslims,entailment,"[-0.7979477047920227, 1.830911636352539, -0.37421032786369324]"
1735,Populism defeated.... Now they deserve all the muslims they can get in their small country. Yeehaa....long live muslim Netherland...,0.6,bias,muslims,religion,prejudice against muslims,contradiction,"[2.0946102142333984, 0.2745450735092163, -1.730865240097046]"
1647,No  doubting is fine like I said. Denigrating lying about and calling the President every name in the book isnt. Whereas Obama is doubted by many he was never called names by any even though patriots thought of many. You guys keep harping about him grabbing women back when he was in show biz. Where sleeping your way to the top and the casting couch was what it was.  You might not know it but Muslims have been killing each other for a thousand years because each other sees the other as an infidel worthy only of death. Now they are targeting Europe who gave them refuge. Now they are targeting us as well. You probably dont even know what  Taqiyya is.  But if Hillary had won we would be in serious trouble. The millions of unveiled immigrants would be infiltrated by as much as 10 20. Were talking hundreds of thousands fundamentalist Muslims who want to get to paradise and be rewarded with 100 virgins.But lets say only 1000 got thru  killed 5 apiece. Is that acceptable?,0.7,bias,muslims,religion,prejudice against muslims,neutral,"[-0.6280269026756287, 0.338600754737854, 0.6034390330314636]"
2553,Yep.  Better to say negro.,0.5375,bias,blacks,race,prejudice against blacks,entailment,"[-0.4875381290912628, 1.7184168100357056, -0.543501079082489]"
3268,This case is not an example of white mans sex abuses of natives but of natives abuses of a white man for profit.,0.6,bias,"whites,men","race,gender",prejudice against white man,entailment,"[-0.1704016774892807, 1.3464610576629639, -0.8174379467964172]"
3059,Kid Rock is a redneck like Rachel Dolezal is a black women.,0.5,neutral,,none,,contradiction,"[4.6409993171691895, -0.6637742519378662, -3.556086301803589]"
3588,He escaped the barbarity of extremists and he and his family are well integrated liberal Muslims and success stories.  He should be an excellent role model for Somali and Muslim youth.  I will reserve judgement until I see what he does.,0.6,bias,muslims,religion,prejudice against muslims,contradiction,"[1.108201503753662, 0.2549062669277191, -1.5212466716766357]"
4239,Black folks built this nation and got lynching for the work. Heck white folks can be so mean that when they lost their slaves they invited illegal Mexican immigrants to do the work black slaves use to do.,0.8125,bias,"whites,blacks,mexicans",race,"prejudice against whites,blacks and mexicans",entailment,"[-1.602269172668457, 1.681423544883728, 0.5951534509658813]"
3698,When is the protests against black violence? It maims kills and terrorizes infinitely more blacks then anything else.,0.5,bias,blacks,race,prejudice against blacks,entailment,"[-0.3917267918586731, 1.0812150239944458, -0.31095442175865173]"
991,Wiliki seriously are you allergic to the truth?     The Bible clearly says homosexuality is an abomination.,0.6625,bias,christians,religion,prejudice against christians,entailment,"[-2.4855027198791504, 1.8598408699035645, 0.36491647362709045]"
2030,ahhh...poor muslims. things are so much better in islamic countries where they MUST bury their dead according to the state religion. A quick question do the dead virgins get priority shipping to meet the pressing needs of the arab boogie woogie sky wizard and his male devotees ? Islam is a dangerous myth.,0.77159172,bias,muslims,religion,prejudice against muslims,entailment,"[-2.1551895141601562, 1.334396243095398, 1.1574935913085938]"
1840,This man is such a piece of garbage.   Can you IMAGINE the right wing poutrage if the first black president had done even half of what this clown does?,0.263888889,neutral,,none,,contradiction,"[4.601827621459961, -0.7177664041519165, -3.435744285583496]"
524,Closet Gay Monarchists who practise birth control? No wonder they are spriit deficient.,0.71875,bias,gays,lgbtq,prejudice against gays,entailment,"[-2.0785815715789795, 1.9716055393218994, 1.0690817832946777]"
2769,Why is President Barack Obama the worst president twosail?  Because hes black?,0.5,bias,blacks,race,prejudice against blacks,entailment,"[-0.3891787528991699, 2.142408847808838, -1.0440216064453125]"
172,Rubbish. Never buy Chinese because its garbage.,0.858049625,bias,chinese,race,prejudice against chinese,neutral,"[-2.9719460010528564, 1.8902180194854736, 2.076481580734253]"
1885,Yea he does...Liberals democrats Jihadi terrorists whats the difference? there is none They are all the same. they want us dead kill your enemies before they kill you which we now have a mandate to do. Islam has proven that they cannot even live with each other peacefully the only solution is to rid them for a peaceful earth...the end,0.5,bias,"liberals,democrates,muslims","political,religion","prejudice against liberals,democrats,muslims",entailment,"[-0.631096601486206, 1.3433068990707397, 0.5018659830093384]"
1804,Quite a funny post on many levels.  On one hand funny because it implies the immigrant population is committing sexual assaults on swedish women on the other had funny because it trivializes the very crime and its victims.  And thus we see the life of the laity involves mocking victims pretending to be concerned about crime but trivializing it.  Truly you are a Christian and act consistently with the teachings of Jesus Christ as interpreted by the Theology of the One True Church.,0.833333333,neutral,,none,,contradiction,"[3.0757603645324707, 0.7857090830802917, -3.7569832801818848]"
