,Unnamed: 0,comment_text,identity_attack_x,bias,target,category,rationale,predicted_label,predicted_scores
12,1791,Sharia law FGM child brides murdering gays and apostates etc. have no place in my Canada.,0.8,bias,muslims,religion,prejudice against islam,contradiction,"[0.06537837535142899, -0.07263321429491043]"
13,1905,I find Saudi to hold the no.1 spot on creating islamic terrorists.,0.631578947,bias,muslims,religion,prejudice against muslims,contradiction,"[-0.0013070605928078294, -0.03394746780395508]"
14,4139,I am reminded of Martin Luther Kings Letter From A Birmingham Jail. I am particularly reminded of this paragraph:  We know through painful experience that freedom is never voluntarily given by the oppressor it must be demanded by the oppressed. Frankly I have yet to engage in a direct action campaign that was well timed in the view of those who have not suffered unduly from the disease of segregation. For years now I have heard the word Wait It rings in the ear of every Negro with piercing familiarity. This Wait has almost always meant Never. We must come to see with one of our distinguished jurists that justice too long delayed is justice denied.  Substitute homosexual for Negro and it rings true in this situation.,0.7,neutral,,none,,entailment,"[-0.23207902908325195, -0.04257629066705704]"
15,217,Sure are a lot of blacks in Anchorage terrorizing the community better call TRUMP,0.657142857,bias,blacks,race,prejudice against blacks,contradiction,"[-0.0002848876756615937, -0.0820186585187912]"
16,1628,This is absurd and beyond insane. His parents and supporters encouraged him and Islam brainwashed him to be a killer.  They must pay  The Cdn taxpayers have nothing to do with his problems so why are they always paying for the stupid white people lack of common sense.,0.706896552,bias,"muslims,whites","religion,race",prejudice against muslims and prejudice agianst whites,entailment,"[-0.2721957862377167, -0.10919032990932465]"
17,3436,Statistics show blacks commit 6x the rate of murder of whites so.,0.714285714,bias,"blacks,whites",race,prejudice against blacks and towards whites,contradiction,"[-0.1090719997882843, -0.14168564975261688]"
18,1805,I wish we could deport American Catholics who play censor on comboxes.     Censoring comments because you disagree with them....how incredibly lame.,0.614285714,bias,christians,religion,prejudice against christians,entailment,"[-0.030366936698555946, 0.12970560789108276]"
19,3679,What are you doing to stop the trash like McVeigh you know the homegrown Terrorist...since Trump is keeping the Muslims out you ought to have a plan to rid us of the American Terrorist...MAGA,0.6,bias,muslims,religion,prejudice against muslims,entailment,"[-0.05561315640807152, 0.053761545568704605]"
20,2278,Ah gee I thought I could get a job rounding up Mexicans and Muslims and putting them in boxcars. Promises of a police state crushedmaybe.,0.6,bias,muslims,religion,prejudice against muslims,entailment,"[0.10126417130231857, 0.12497302889823914]"
21,53,I read on three different places on the internet that Nick Travis is a transgender bathroom checker vigilante. Its out there go do your own google search,0.25862069,neutral,,none,,entailment,"[-0.22703687846660614, -0.06485021114349365]"
22,1307,Almost as mendacious as literature from abortionists: an editorial talking about the irrelevance of procreation to sexuality that is captioned by a picture of a mother with a baby not two homosexuals engaged in sodomy.,0.9,bias,homosexuals,lgbtq,prejudice against homosexuals,entailment,"[-0.1404319554567337, 0.11720051616430283]"
23,3462,Yes if the Catholic Church were not so darned ... Catholic ... we could join the LDS and the Anglicans in changing dogma on the fly.  Some minor notes ... the committee discussing birth control was not granted any authority to approve or disapprove anything. It was supposed to be giving the Holy Father some pros and cons to consider. And its report was not for public consumption but was leaked.  When we talk about chance we mean if something is certain the probability is 1 and if absolutely positively cannot occur the probability is 0.  When you write During Vatican II the chance existed to change this ... were looking at 0.,0.5,neutral,,none,,contradiction,"[-0.03982251510024071, -0.11988840997219086]"
24,2787,ISIS terrorists kill people who do not believe as they do. American neoNazis White Supremacists and the KKK also kill people who do not believe as they do.,0.6,bias,whites,race,prejudice against whites,entailment,"[-0.19546499848365784, -0.17279201745986938]"
25,2276,The Dems are just the lesser of 2 evils. The GOP elected a bigot and racist president. What has the GOP done for black folks since the 1960s? When ever I forget that Im black some white person always reminds me that Im black.,0.653333333,bias,whites,race,prejudice against whites,contradiction,"[0.054472628980875015, -0.15706521272659302]"
26,1273,Another Mo...its always the Mos that do this crazy crap...I hate black people that hate white people...just keeps going and going and going..will it ever end with these Mos?,0.746478873,bias,blacks,race,prejudice against blacks and towards whites,entailment,"[-0.006606799550354481, 0.06793033331632614]"
27,1763,The study will never be pursued because the strides that homosexual activists have made in the last 20 years have been accomplished by burying samesex sodomy within the term gay and now lgbt and holding those terms out as about nothing but love and tolerance.  Gay and sodomy you cant have one without the other as the old song goes.,0.5,bias,homosexuals,lgbtq,prejudice against homosexuals,entailment,"[0.020606830716133118, 0.11338616907596588]"
28,2757,This is a tired dialogue that serves no purpose except for providing soap boxes to the writers. A winging atheist is as tiresome as a winging Christian.  Whatever you believe is a private affair and I dont want to listen read or be subjected to the reasons why.,0.5,bias,christians,religion,prejudice against christians,entailment,"[-0.03879240155220032, 0.08428530395030975]"
29,837,Klein is a self hating Jew that no intelligent person takes seriously. Congrats on finishing your first semister of Poli Sci though,0.571428571,bias,jews,religion,prejudice against jews,contradiction,"[0.09717203676700592, -0.009736018255352974]"
30,759,More white supremacist garbage hope you rot in prison but I am sure the Aryan nation scuzz will protect you.,0.716666667,bias,whites,race,prejudice against whites,entailment,"[-0.031957708299160004, 0.009080445393919945]"
31,3112,So if they refuse to dance for a black official or a gay official you are just as approving?,0.546875,neutral,,none,,contradiction,"[-0.07149410247802734, -0.09947787970304489]"
32,792,Its bad enough we already have all these American sickos living in this country shooting up theatre schools churches malls etc. we dont have room for crazy muslims.,1.0,bias,muslims,religion,prejudice towards muslims,contradiction,"[-0.06030125543475151, -0.2329118847846985]"
33,2940,Again your whinge is gay sex is icky.,0.85230179,bias,gays,lgbtq,prejudice against gays,contradiction,"[0.1666724979877472, 0.003373635932803154]"
34,2817,Catholic priests wants all of you to feed their penis.  The priests has a message:  trust in us is to trust in God.  Ha Ha Ha,0.508275494,bias,christians,religion,prejudice against christians,contradiction,"[-0.04670596122741699, -0.08874888718128204]"
35,2166,F texas and all the other bible thumping bigots and sexists.,0.285714286,neutral,,none,,contradiction,"[0.09539733082056046, 0.0469764806330204]"
36,355,IT IS ISLAM.  This murdering cult has been doing it for centuries.   ALL those who are allowed to immigration to America  follow Sharia law ALL of them.,0.8,bias,muslims,religion,prejudice against muslims,entailment,"[-0.04892639443278313, 0.2500717043876648]"
37,3763,Homosexual marriage is a public sinful act recognized as such by the Canon Law and leading de facto to excommunication,0.6,bias,homosexuals,lgbtq,prejudice against homosexuals,entailment,"[0.06914231181144714, 0.1864510178565979]"
38,1022,Watch that top vid in the beginning where they show the protesters engage.  The supremacist guy charges into the crowd and at 0:20 he swings at a girl and whiffs and she comes after him.  LMAO...what a tough hero  Ok ok...white guys cant box...LMAO....,0.5,bias,whites,race,prejudice against whites,entailment,"[-0.14113099873065948, -0.0650307759642601]"
39,3100,Dont worry Richard no one will ever take away your right to hate black people or gay people for having the same legal rights as you. Your bigotry and intolerance will always be protected by the US Constitution so you can feel free to be just as hateful and closeminded as you always have been.,0.6,neutral,,none,,contradiction,"[0.14563818275928497, 0.11774316430091858]"
40,645,You dont see conservatives stepping on the American flag you dont see conservative telling everyone how bad and racist American is. Look in the mirror bud,0.263888889,neutral,,none,,entailment,"[-0.17898806929588318, -0.09618236869573593]"
41,2401,So were supposed to tolerate radical muslims trying to kill us?,0.714285714,bias,muslims,religion,prejudice against muslims,contradiction,"[-0.07099451124668121, -0.15989109873771667]"
42,2962,White genocide.,0.7,bias,whites,race,prejudice against whites,contradiction,"[-0.0372922308743, -0.05616350471973419]"
43,1575,Bunch of racists  I suppose all BLACK bears look alike huh?,0.513157895,bias,blacks,race,prejudice against blacks,entailment,"[-0.0878322497010231, 0.1217019110918045]"
44,569,No white privilege no white guilt. No white guilt means no more free stuff. They will keep pushing the white privilege as its the new argument to make all whites unconsciously racist.,0.5,bias,whites,race,prejudice against whites,contradiction,"[0.011181630194187164, -0.028250891715288162]"
45,375,The only comparison I was making between pedophilia and homosexuality is that Jesus doesnt speak about either the point being that silence does not imply acceptance.    You decided to try and make a distinction with respect to harmfulness and I replied in kind.  While I might have not mentioned harmfulness of lesbianism AIDS is primarily a male homosexuality issue it doesnt change the fact that homosexuality is indeed harmful.,0.8,bias,homosexuals,lgbtq,prejudice against homosexuals,entailment,"[-0.17619851231575012, 0.10682447254657745]"
46,1866,A story about a dying baby and MSW makes it about Trump.  Looking forward to NCRs upcoming story on the bust of the Vatican gay orgy.,0.9,bias,gays,lgbtq,prejudice against gays,contradiction,"[-0.08459629863500595, -0.20885992050170898]"
47,2370,The lying smiling christian crusader didnt mention Comeys testimony....and neither Pence or Handel  mentioned Our Great Leader during their fundraising.......the rats are running.  Obstruction Collusion  StupidityMAGA,0.253521127,neutral,,none,,entailment,"[0.02941374108195305, 0.04740625247359276]"
48,653,Youre right.  I wont.  White man speaks with forked tongue.,0.571428571,bias,"whites,men","race,gender",prejudice against white men,contradiction,"[-0.05791217461228371, -0.1510770171880722]"
49,1907,Yeesh what is this world coming to.  Oh no someone called me a Canuck the other day my feelings are now hurt I better take time off work and sue someone and someone better get punished.  LBGT...isnt that an ice cream store? :    Whatever... what a joke...like where did this come from recently your now proud of it? My apology would have gone like this:  Im very sorry you are a bunch of queers,0.528571429,bias,LGBT,lgbtq,prejudice against LGBT,entailment,"[-0.025582944974303246, 0.1070585548877716]"
50,827,I am sure they are going to come out in droves.  You cant be gay and be conservative.  You cant be gay and be weary of socalled multiculturalism.  You cant be gay and have any opinion that doesnt parrot what some liberal mouthpiece is blabbering.  It is time for gays and women to say Islam is a religion that hates us.,0.672131148,bias,muslims,religion,prejudice against muslims,contradiction,"[0.04535091295838356, -0.16332794725894928]"
51,3113,who kills the most blacks? blacks. if a cop says stop do it. dont approach him dont keep on walking. thank you to all the policemen that keep us safe. and while there are bad cops most are good. which is more than can be said about most of our politicians. obama started this garbage. fergusen brought his death on himself. most do.,0.7,bias,blacks,race,prejudice against blacks,entailment,"[-0.12782442569732666, -0.1196552962064743]"
52,2277,your a fKING ahole take a hike and die you commy chinese fk god you losers are another evil in the world,0.285714286,bias,chinese,race,prejudice against chinese,contradiction,"[-0.020722467452287674, -0.03546459227800369]"
53,3714,I guess that 2 of the 3 responses feel that black lives really dont matter...that black unarmed men can be shot in the back but thats ok...unreal.   ,0.575,bias,blacks,race,prejudice against blacks,entailment,"[0.039369016885757446, 0.2303963601589203]"
54,2988,this is indoctrination 101 as if racism doesnt happen from the left or black community no never  god help this young woman to deal with the brain washing bs the lunatic left is doing to her.,0.285714286,neutral,,none,,contradiction,"[0.1195860356092453, -0.07290993630886078]"
55,1332,If you are a mainreader of the HuffingGlue Post youd believe such trash. Look at countless online videos that the Media refuses to publish. Youll see the rabid violent zealous hatred of the crazy leftist regressive socalled social justice warriors. When called to back up their claims that Trump is racistthey CANT do it. They just then go on to a frustrated namecalling rant against the person questioning them. Its not racist to want to protect your country. Trump only talked about deporting ILLEGAL Aliens. NOT all Mexicans. And as far as Muslims go.......they are a bigoted sexist homophobic hategroup after all....,0.590909091,bias,muslims,religion,prejudice against muslims,entailment,"[-0.19858300685882568, -0.07032164186239243]"
56,3032,Who cares if women march to protest Trump becoming 45th US President??  Brainless act  by silly women with nothing important to do with their time ,0.525,bias,women,gender,prejudice against women,contradiction,"[0.06481193751096725, -0.0878714844584465]"
57,2910,Canada is an international embarrassment.,0.5,bias,canadians,race,prejudice against canada,entailment,"[-0.13191039860248566, -0.050939518958330154]"
58,1716,Putting a black in charge to fix the corruption of whites this is lame seriously.,0.7375,bias,blacks,race,prejudice against blacks,contradiction,"[-0.06497661024332047, -0.09519964456558228]"
59,2187,WHITE LIVES MATTER NO JUSTICE NO PEACE,0.6,bias,whites,race,prejudice against whites,entailment,"[-0.005001363344490528, 0.003570234403014183]"
60,584,NO NO NO NO NO You cannot call Muslims innocent and nothing to so with terrorism then not do the same here. We will speak out harshly against Islam. Arrest me now scum Pay me later for breaching my speech rights.,0.6375,bias,muslims,religion,prejudice against muslims,contradiction,"[0.21675869822502136, 0.05780872330069542]"
61,1401,Got your drift Jay Bob Moslems will never be as good as Christians or Jews and they  must always must be seen as inferior or subhuman or inhuman. Islam is a religion that will never have your respect. Youre coming across loud and clear.,0.936363636,bias,muslims,religion,prejudice against muslims,entailment,"[-0.013924186117947102, 0.17668016254901886]"
62,2005,taliban is you nigga,0.771428571,bias,blacks,race,prejudice against blacks,contradiction,"[0.07158952951431274, -0.08743493258953094]"
63,1338,They have no interest in improving it.  They are against government  involvement except Medicare and Medicare part D for Drugs which was a Bush program and particularly are opposed to a system put in place by Democrats lead by a black guy they hated.,0.5,bias,blacks,race,prejudice against blacks,contradiction,"[0.10295186191797256, 0.01964161917567253]"
64,3786,no doubt but what good does only my understanding do if the races commitin the crimes wont bother trying to understand and work either? you think Im racist and to a degree ill give you credit but it is only because of the black people Ive met and known. Only 10 of 100 I know would I introduce to my friends and family the others belong in halfway houses. The first people to beg me to help them steal with them were black the first con on the run I met was black the first person to admit to me he stole all the food he ever ate in this state was black. The first people I know to kill and be killed over a pair of shoes were both black. And lastly the first bank robbers of the year at this spot were black Grow up in all ways,0.8,bias,blacks,race,blacks are thieves,entailment,"[0.0034691812470555305, 0.1287628710269928]"
65,3108,when Oregonians thankfully overwhelmingly rejected it.  Oregonians rejected it and thats a good thing but its mitigated a bit by the fact the Oregon also made it illegal for blacks to be in the state punishable by a public whipping 39 lashes every six months until they left.  That is the primary reason why Oregon is one of the whitest states in the nation.,0.7,neutral,,none,,entailment,"[-0.04833246022462845, 0.1757355034351349]"
66,2211,People cant create a chaotic situation and then act innocent when a helicopter needs to be called in.  The protestors had a legal permit to be there.  Lobbing concrete filled bottles and assaulting people is not a way to deal with uncomfortable opinions.  Some selfreflection is required from everyone involved  not just evil white nationalists.,1.0,bias,whites,race,prejudice against wwhites,contradiction,"[-0.0007590707391500473, -0.08386450260877609]"
67,1799,Ya its the white guys fault.,0.8,bias,whites,race,prejudice towards whites,contradiction,"[0.06097191572189331, -0.08633165806531906]"
68,2656,How about the teacher I once worked with that told a group of 6th graders that gays are all hellbound pedophiles.  I bet youre OK with that though.,0.525,neutral,,none,,contradiction,"[0.12206859886646271, -0.16847389936447144]"
69,458,proud boys are really just a bunch of gay boys.,0.685714286,bias,gays,lgbtq,prejudice against gays,entailment,"[-0.13889113068580627, 0.09336463361978531]"
70,1876,Very interesting ... What will Trump do next? Ban all Muslim?,0.833333333,neutral,,none,,entailment,"[0.02537003718316555, 0.10171565413475037]"
71,262,Move on people nothing to see. By the end of the day the MSM will blame this on Trump and white supremacists. What where they thinking putting a statue of a Basque separatist in the middle of La Ramblas.,0.5,bias,whites,race,prejudice against whites,contradiction,"[-0.0036907463800162077, -0.2507789433002472]"
72,2584,Can we please have a heterosexual leader.  Would that be possible or am I breaking all the taboos again.  I dont care if someone is gay or not.  I care that I am lead by someone is living the average life of most people and views things as the majority would.  George Smitherman is responsible for all the Utility mess and again he is another gay person with an ego.  Enough of this already.,0.833333333,bias,gays,lgbtq,prejudice against gays,contradiction,"[0.010617585852742195, -0.0038758486043661833]"
73,3286,Then keep them out too. We dont need to import rapists losers welfare leeches South American Marxist priests bathit crazy  European intellectuals Central American MS13 gang members  Muslims looking to make Islam the official religion of America etc. etc. etc....  You and the Pope spend too much time defending Islam. Islam deserves condemnation.,0.6125,bias,muslims,religion,prejudice against muslims,entailment,"[0.005496538709849119, 0.08712494373321533]"
74,2193,How about we reprimand white foreigners who emigrated to South Africa during apartheid ?Dont you think they deserve a few smacks for aiding and abetting apartheid. :,0.5,bias,whites,race,prejudice against whites,contradiction,"[0.10498147457838058, 0.048223815858364105]"
75,542,This story highlights what Ive know for years christians are totally screwed in the head and need to be fought at every turn.  They cant even protect THEIR OWN DAUGHTER ... from this religious monster.  Yikes,0.5,bias,christians,religion,prejudice against christians,entailment,"[-0.017648138105869293, 0.04453491419553757]"
76,1728,Look at what the Jews have contributed to the world: medicinesciencetechnologyeducationmoralityetc. What have the Muslims given us ? Suicide bombing veiled women flying planes into office buildings underage sex etc. The Arabs have a large portion of the world and they can take in their bretheran rather than have Alaska foot the bill.,0.575,bias,muslims,religion,prejudice against muslims,entailment,"[-0.07165110856294632, 0.08309677988290787]"
77,2577,Well thats not very inclusive of Womens bathrooms  The President should decree that all Womens Restrooms receive urinals so as to be more inclusive for the gender confused who just happen to have a penis.,0.2875,neutral,,none,,entailment,"[-0.10159510374069214, -0.06389541178941727]"
78,1741,Zionists who are against Israel are not Zionists but stinking KAPOs.  They are scum the lowest of the low in bed with the Radical Islamic piece of excrement Barack Hussein.  May they enjoy a VERY short existence on this earth.,0.514285714,bias,muslims,religion,prejudice against muslims,entailment,"[-0.04185537248849869, 0.11154239624738693]"
79,4089,Nope. They dont.  Bigots are scum.     Even if they manage to get a degree in something they are still scum.  Black. White Brown doesnt matter.    BA BS JD PhD MFA.  GED.  doesnt matter.    They are still scum,0.605633803,neutral,,none,,contradiction,"[0.051080960780382156, -0.09424491226673126]"
80,3241,One more black lives matter who has lost his way.,0.6,neutral,,none,,contradiction,"[0.026526201516389847, -0.10113096237182617]"
81,3758,How many Catholic bishops will make a deal with the devil in exchange for an antiabortion Supreme court nominee? What deal? Supporting racist and antiMuslim policies by Trump The Prolife movement associated with the Susan B Anthony group have already doused themselves in the Trump Swamp. They have forever weakened and dirtied their message by glorifying the Pussy Grabber in Chief. Many people who may have been supportive of their work will turn away because of their mindless support of the GOP and a man like T rump.,0.7,neutral,,none,,entailment,"[0.028351815417408943, 0.14933685958385468]"
82,1170,M103 relates to hate speech and to follow up on your comment...  . . . it is important to protect All Canadians from crimes.. not just Muslims..,0.5,bias,"canadians,muslims","race,religion",prejudice against canadians and muslims,entailment,"[-0.08449900150299072, 0.10403904318809509]"
83,2169,AntiMuslim hate?  Hmm.... I used to support Islam back in the 80s when it was popular to demonize it for abusive attitudes toward women.  I thought that westerners lacked cultural understanding of Islam.  However after many recent years of Islamic terrorists murdering thousands of innocent people I no longer support Islam.  Islamic terrorism is a daily event Russia is soupdejour today I believe.  There are many countries with large Muslim minorities like France how has that been working for you lately?.  There are Muslim countries like Turkey which nightclub do you want to celebrate New Years Eve in?.  I think Islam is a blight.   I think that Islam is a stupid and barbaric religion forever frozen in 7th century violence.  If I said this in a Muslim country I would be murdered.  If I said this in a European country my life would be in danger.  I believe that in Canada I can still safely say what I think.... but for how long?,0.538461538,bias,muslims,religion,prejudice against muslims,contradiction,"[0.18123216927051544, -0.17227421700954437]"
84,2020,Horrible child molesting idiot lesbian liar...And those are her good qualities,0.614457831,bias,lesbians,lgbtq,prejudice against lesbians,entailment,"[0.04793597012758255, 0.27251654863357544]"
85,2152,It is not a faith thing  traditionally Arabs looked down on blacks and they were very active in the slave trade.,0.5,bias,"arabs,blacks",race,prejudice against arabs and towards blacks,entailment,"[-0.10399683564901352, 0.08056941628456116]"
86,3509,You also see a lot of white people seek out a white doctor lawyer priest real estate agent mechanic music teacher restauranteur etc.  So what?  This lady was rejecting the doctor on duty at a clinic based on hisher race.  This is racist and idiotic.  Is the clinic supposed to have a male and female doctor of every ethnicity on duty at all times?,0.283783784,neutral,,none,,contradiction,"[0.10374779999256134, 0.004162747412919998]"
87,3271,Some day atheists will provide evidence that their nogod doesnt exist. Until then it just seems like another mentally ill club with insane premises to me.,0.6,bias,atheists,religion,prejudice against atheist,entailment,"[-0.07023021578788757, -0.05518459528684616]"
88,2965,how dare they take the person most qualified rather than the white male,0.5,bias,whites,race,prejudice against whites,contradiction,"[0.12911167740821838, -0.012189638800919056]"
89,1796,Whats ridiculous is women claiming to have any understanding whatsoever of what masculinity is or means to a man. Shall we call it womansplaining?  Thats whats ridiculous.,0.5,bias,women,gender,prejudice against women,entailment,"[0.042292457073926926, 0.15358872711658478]"
90,1133,The reality is that nazis neonazis white supremacists are nothing but scum.  The confederate traitors lost get over it.,0.585714286,bias,"nazis,whites","political,race",nazis and whites are scums,contradiction,"[0.11169485747814178, -0.04213185980916023]"
91,4174,After the massacre in Orlando Muslim leaders and gay rights activist exonerated Islam and blamed Trump .,0.5,bias,"muslims,gays","religion,lgbtq",prejudice against muslims and gays,entailment,"[-0.11843950301408768, 0.11248963326215744]"
92,4042,Cant wait for his next meltdown when someone does his genealogy and he finds out his grandma is Jewish and his greatgranddad is Black.,1.0,neutral,,none,,contradiction,"[0.07588114589452744, 0.015709377825260162]"
93,744,Cubans have less class than Mexicans which means they are almost rock bottom.,0.7,bias,"cubans,mexicans",race,prejudice against cubans and mexicans,contradiction,"[0.09673797339200974, -0.008213857188820839]"
94,385,It WOULD be interesting to know the percentage white males that were killed during routine traffic stops. Or the number of white men lynched in the twentieth century for that matter.,0.833333333,bias,whites,race,prejudice against whites,contradiction,"[0.21708373725414276, 0.0032060397788882256]"
95,898,Yeah cause zero did so much for the blacks of America.,0.274193548,neutral,,none,,entailment,"[-0.1189173012971878, 0.0046424404717981815]"
96,1252,Because black on black deaths didnt mean hit...but come hell or high water we stand up against the media hyped race war and will protest.  Wake the flock up sheeple.,0.6,bias,blacks,race,prejudice against blacks,contradiction,"[0.011929048225283623, -0.08372501283884048]"
97,1310,Didnt take long to bring up nazis....since you did anyway....here is a little education for you: nazis were rabid anticommunists antisocialists by extension. For ISIS and their followers religion is center pillar.,0.258064516,neutral,,none,,contradiction,"[-0.051894910633563995, -0.10727152228355408]"
98,3458,It doesnt get better than when Leftist animals eat their own. I especially enjoy it when one self identified victim group like BLM gets into a game of whosethebiggervictim with another selfidentified victim group like the nonsensical womens march.,0.6,bias,"left wing,women","political,gender",prejudice against lefts and women,contradiction,"[-0.09809621423482895, -0.17934155464172363]"
99,520,Islam was never a religion of peace it was borne of the sword and so too shall it end.,0.9,bias,muslims,religion,prejudice against muslims,entailment,"[-0.17870211601257324, 0.08666973561048508]"
100,3152,He doesnt care.  These complacent white animal lovers value animal lives over human lives.  He would rather an entire native village starve than a single whale be killed to feed them.  For all their liberal posturing these people are no less white supremacists than the Arkansas crackers who valued their dogs lives over my familys under Jim Crow.,0.6,bias,whites,race,prejudice against whites,entailment,"[-0.06547678261995316, -0.04444874823093414]"
101,3126,Yes and no one is more threatening than gays. The Catholic Church is more welcoming of the unrepentant serial rapist than a married homosexual.,0.5,bias,"gays,christians","lgbtq,religion",prejudice against gays and towards christians,contradiction,"[0.12407685071229935, 0.060077279806137085]"
102,3834,I dont know why hes so focused on the travel ban we have the birthers the neonazis the white supremacists Russians deplorables evangelicals the holy liars the Real Americans and other problem citizens he needs to be aware of......aoha and enjoy all the Fake News  Fake Facts......lol,0.7,bias,"whites,russians,evangelicals","race,religion",prejudice towards whites and evangelicals,contradiction,"[0.10143473744392395, 0.04729090631008148]"
103,2059,Not all Republicans are racists. However they are all collaborators with racists. They are like the good Germans that never asked where did the Jews disappear to? Today they never question why cops kill so many unarmed black  people including children.,0.6,bias,"blacks,jews","race,religion",prejudice against blacks and jews,entailment,"[-0.03663698211312294, 0.1833450049161911]"
104,94,lefties or liberals with mental disorders cannot handle the truth.,0.5,bias,liberals,political,prejudice against liberals and lefts,entailment,"[0.08090882003307343, 0.17978708446025848]"
105,938,You sound like a part of our problem not a solution. The slur on gay folks and the Pepe the frog  cartoon showing Trump forcing himself on a blond woman Hilary? give you away. Go spread your hate elsewhere.,0.271428571,neutral,,none,,contradiction,"[-0.07424642145633698, -0.11094933748245239]"
106,2185,Investigators worked through the night to determine what led a truck driver to plow down people on a riverfront bike path near the World Trade Center brandishing air guns and yelling God is great in Arabic  Gee it is POSSIBLE that his actions had SOMETHING to do with his membership in the death cult called islam.....,0.6,bias,muslims,religion,prejudice against muslims,contradiction,"[0.04646921902894974, 0.036156147718429565]"
107,2786,Im not sure why thinking half of Trump supporters are a basket of deplorables who are racist sexist homophobic xenophobic and Islamophobic makes somebody prejudiced and closed minded. Its simply a statement of fact.,0.5,neutral,,none,,contradiction,"[0.17470651865005493, 0.06569143384695053]"
108,913,One muslim casualty vs the hundreds and thousands of victims of muslim terrorism this year alone. Darn islamophobia.  I take it you are not including the hundreds of thousands of Muslims bombed back to the Stoneage in the Middle East.,0.6,bias,muslims,religion,prejudice against muslims,entailment,"[-0.1527881771326065, 0.01703052967786789]"
109,2404,The DSM once considered homosexuality a mental disorder.   That changed with further understanding.,0.272727273,neutral,,none,,entailment,"[-0.20511291921138763, -0.2005869597196579]"
110,3561,What is that to mean? There are Jews in our socalled presidents inner circle. There are Jews on the staff of WSJ. There are Jews who are child molesters. There are Jews who are Catholic Muslim Atheist etc.,0.8,bias,jews,religion,prejudice against jews,contradiction,"[0.13370691239833832, 0.05297226458787918]"
111,1295,In the 50s  Muslim garb would have been assumed to be some obscure order of Catholic nuns.,0.5,bias,"muslims,christians",religion,prejudice against muslims and christians,entailment,"[0.05063578858971596, 0.18665403127670288]"
